scenario,seed,improvement_pct__mean_system_total_waiting_time,improvement_pct__mean_system_total_stopped,improvement_pct__mean_system_mean_speed,improvement_pct__throughput_veh_per_hour
burst,301,70.64632970321007,46.74118038606612,32.9911846060846,-5.552873008208595
burst,302,69.9764885135224,46.30764904386952,34.22391795735986,-5.5341674687199225
burst,303,69.5007741937783,44.864280430205426,32.00413855205657,-6.238003838771593
burst,304,72.90392904836702,49.330768397095476,38.864070782239715,-5.2733430091920654
burst,305,69.74360335855792,45.41440123644192,33.20796848785081,-5.5769230769230775
direction_switch,301,93.82316364252505,83.71659204992538,123.08149285979577,3.2048072108162238
direction_switch,302,92.36134569503997,81.44623815165876,111.64937635021681,3.196803196803197
direction_switch,303,93.14925107321226,82.80598052851182,118.59266082584772,3.8210155857214683
direction_switch,304,94.07836743839127,83.95081241701966,129.02203396069277,3.6180904522612947
direction_switch,305,92.4032084857825,80.85053820363508,108.41976361389476,3.460381143430291
unseen_mixed,301,92.74228619595505,81.60953055358854,124.67722097766058,4.0367910066428205
unseen_mixed,302,93.16530738126244,82.05664166564203,128.02194325838863,3.82653061224491
unseen_mixed,303,93.15199123941113,82.17987431649392,129.8755293252933,3.9836567926455686
unseen_mixed,304,93.44721434023313,83.1673703497172,139.21059403164725,4.678663239074575
unseen_mixed,305,92.62307811772015,81.69801313695892,128.61195187273344,3.873598369011201
