scenario,seed,improvement_pct__mean_system_total_waiting_time,improvement_pct__mean_system_total_stopped,improvement_pct__mean_system_mean_speed,improvement_pct__throughput_veh_per_hour
burst,301,36.19183568716268,13.104665369473729,-4.792337882462086,-2.053079619429144
burst,302,37.92408592611368,14.915329768270944,-2.678728449633021,-1.8009004502251125
burst,303,35.1454931231766,13.293659671573671,-3.7773717709247125,-2.0060180541624875
burst,304,39.12121526827103,17.56589967380763,-0.9473967755327002,-2.246630054917635
burst,305,32.33462744369471,10.527030083691477,-4.349591113743857,-2.531017369727047
direction_switch,301,24.7683202242816,2.478163721308144,-1.0467753200486258,-0.04849660523763337
direction_switch,302,9.737134909596662,-3.0433888546164902,-1.8202100488648194,0.24260067928190196
direction_switch,303,14.388508854572017,-3.6253143336127462,-2.071901552855083,0.04844961240310078
direction_switch,304,15.104467518561815,-7.906482465462271,-5.473251686991579,0.0
direction_switch,305,7.781026640675768,-8.19541375872383,-3.5718927165814667,-0.14520813165537272
unseen_mixed,301,2.5167664238840333,4.292217645783652,2.4566328496619376,0.0
unseen_mixed,302,6.602669164130187,6.212510711225361,3.3191969800625567,-0.3428011753183043
unseen_mixed,303,5.298529092094772,6.946516087790322,3.4579144225874257,-0.09813542688909581
unseen_mixed,304,7.427906143650365,9.157351676698191,4.523653648202383,-0.24497795198431027
unseen_mixed,305,1.5907015942130815,5.398566005904679,3.115415844378316,0.1966568338249866
