scenario,seed,improvement_pct__mean_system_total_waiting_time,improvement_pct__mean_system_total_stopped,improvement_pct__mean_system_mean_speed,improvement_pct__throughput_veh_per_hour
balanced,201,88.88349878410338,72.95970917903666,75.99572884222329,1.2787723785166474
balanced,202,90.60080402163382,76.12732095490716,82.95521455854717,1.228878648233487
balanced,203,88.01113743497056,70.40648173578687,67.46035412890251,0.7633587786259775
burst,201,51.458887274463095,39.6622879184312,42.54264496056477,-3.3734939759036147
burst,202,55.410949740601446,40.33833882063224,42.24948827864004,-2.4625784645098987
burst,203,54.55423689023926,39.01607137984666,42.6091075340412,-2.852998065764023
direction_switch,201,91.3851153721157,82.89346747519295,123.738861552562,3.2064128256513142
direction_switch,202,92.56342500128028,84.58305975049245,128.85275434852173,4.295098534613441
direction_switch,203,91.93146312271229,83.32352228262752,122.82279911730089,3.1015507753876936
ew_peak,201,87.6961788379989,82.1724679498886,158.1925696258292,8.787255909558068
ew_peak,202,86.26751504173613,81.60049492339606,155.41006361942942,8.731381612737533
ew_peak,203,87.54818338390879,82.3227763533278,160.2245621273154,9.189468249870947
ns_peak,201,91.89745392155277,81.00888047750765,127.30678599906149,8.517188301693176
ns_peak,202,92.08473878870862,80.56042671342978,122.41587246851347,8.57729840780687
ns_peak,203,92.12034701400721,81.58145675933397,130.0122289087842,8.564102564102576
unseen_mixed,201,92.22467447670748,80.28522437371922,115.03868283388204,4.192229038854806
unseen_mixed,202,92.19969934204606,80.14618322177967,117.57965705903872,4.028556858745538
unseen_mixed,203,92.52502510505747,80.39622942962134,121.43137234643237,4.143222506393886
