step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.713295685471685,0,0.0,0.8953620700498296,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.174585885140955,0,0.0,0.8643373111422558,0,0.0
15.0,18,0,3,0,18,0,6.0,0.3333333333333333,7.897102077126639,3,6.0,0.43748428967883235,3,6.0
20.0,18,0,8,0,18,0,40.0,2.2222222222222223,7.107519240149564,8,40.0,0.36883558252907983,8,40.0
25.0,22,0,5,2,24,0,44.0,2.0,5.727782480990004,5,57.0,0.3495491250555129,5,57.0
30.0,20,0,10,4,24,0,88.0,4.4,6.205963956231284,10,88.0,0.3229506229019026,10,88.0
35.0,24,0,9,4,28,0,77.0,3.2083333333333335,5.286560364998574,9,94.0,0.2674831663127149,9,94.0
40.0,26,0,10,8,34,0,126.0,4.846153846153846,6.910051167713462,10,126.0,0.39522119118277027,10,126.0
45.0,30,0,6,8,38,0,50.0,1.6666666666666667,7.3878205506812975,6,118.0,0.4140684275303484,6,118.0
50.0,28,0,1,12,40,0,1.0,0.03571428571428571,7.5545032737747135,1,63.0,0.3951204898408809,1,63.0
55.0,30,0,5,14,44,0,18.0,0.6,7.263833959815515,5,68.0,0.3755310117511196,5,68.0
60.0,26,0,12,18,44,0,65.0,2.5,5.008870207092794,12,115.0,0.14515198961045614,12,115.0
65.0,29,0,13,21,50,0,88.0,3.0344827586206895,4.888367729242568,13,160.0,0.23727840853771462,13,160.0
70.0,27,0,15,23,50,0,162.0,6.0,4.703799738515123,15,212.0,0.178483747436739,15,212.0
75.0,37,0,12,25,62,0,126.0,3.4054054054054053,6.146583661326921,12,220.0,0.3688089075588138,12,220.0
80.0,33,0,5,29,62,0,29.0,0.8787878787878788,7.156796834236588,5,154.0,0.42989837996566205,5,154.0
85.0,39,0,2,29,68,0,20.0,0.5128205128205128,8.445434318157847,2,92.0,0.4595588555409608,2,92.0
90.0,34,0,7,34,68,0,24.0,0.7058823529411765,6.509733736639465,7,86.0,0.3192531029563989,7,86.0
95.0,33,0,13,39,72,0,77.0,2.3333333333333335,5.096022096819912,13,134.0,0.2030518499892199,13,134.0
100.0,32,0,18,42,74,0,133.0,4.15625,4.519936827647905,18,190.0,0.19867708265807368,18,190.0
105.0,33,0,22,45,78,0,235.0,7.121212121212121,3.5624283321782126,22,292.0,0.17312375363382138,22,292.0
110.0,37,0,18,47,84,0,237.0,6.405405405405405,4.250596777770368,18,334.0,0.27276158591509286,18,334.0
115.0,37,2,12,49,86,0,169.0,4.5675675675675675,5.605999882447586,12,311.0,0.3172491763694417,12,311.0
120.0,39,0,6,49,88,0,49.0,1.2564102564102564,4.659261118560592,6,287.0,0.21710271019635524,6,287.0
125.0,39,2,15,53,92,0,105.0,2.6923076923076925,4.963025235712581,15,281.0,0.22004854258437853,15,281.0
130.0,39,0,14,55,94,0,128.0,3.282051282051282,4.386269205509583,14,305.0,0.1237341127314675,14,305.0
135.0,38,2,13,60,98,0,134.0,3.526315789473684,5.224712144539831,13,277.0,0.2220722017936983,13,277.0
140.0,37,0,7,63,100,0,155.0,4.1891891891891895,6.75542080472493,7,215.0,0.2977848739795015,7,215.0
145.0,38,2,4,68,106,0,17.0,0.4473684210526316,7.033754570482867,4,168.0,0.3983585066460523,4,168.0
150.0,39,0,7,73,112,0,26.0,0.6666666666666666,7.2333516491972,7,102.0,0.44931447288807,7,102.0
155.0,37,0,8,75,112,0,27.0,0.7297297297297297,5.3298986338548096,8,99.0,0.2525869840714836,8,99.0
160.0,40,0,10,78,118,0,24.0,0.6,5.804835246663833,10,92.0,0.27595411049091406,10,92.0
165.0,36,0,9,82,118,0,53.0,1.4722222222222223,4.80014858601437,9,121.0,0.18550316293983962,9,121.0
170.0,37,0,15,87,124,0,116.0,3.135135135135135,4.269223349065853,15,184.0,0.2086284317541198,15,184.0
175.0,34,0,16,90,124,0,157.0,4.617647058823529,2.477888464500804,16,236.0,0.10152618429463586,16,236.0
180.0,36,0,13,92,128,0,185.0,5.138888888888889,4.487148420329284,13,244.0,0.19675613178986792,13,244.0
185.0,42,0,9,92,134,0,116.0,2.761904761904762,5.5677929097167045,9,246.0,0.2832210754371583,9,246.0
190.0,42,0,11,96,138,0,156.0,3.7142857142857144,5.900484388216814,11,229.0,0.2864790639109656,11,229.0
195.0,41,0,15,99,140,0,95.0,2.317073170731707,3.6575442360255503,15,239.0,0.10618573410346487,15,239.0
200.0,41,0,22,103,144,0,189.0,4.609756097560975,4.509368331061045,22,265.0,0.1953225723589983,22,265.0
205.0,40,0,21,106,146,0,196.0,4.9,3.3569353606585053,21,328.0,0.09449831478637104,21,328.0
210.0,39,0,16,111,150,0,145.0,3.717948717948718,4.768792301111479,16,310.0,0.211160302590593,16,310.0
215.0,38,0,10,112,150,0,103.0,2.710526315789474,5.764356134764742,10,272.0,0.18701912518634467,10,272.0
220.0,46,0,3,116,162,0,39.0,0.8478260869565217,7.389094259510853,3,245.0,0.4499359664706568,3,245.0
225.0,39,0,9,123,162,0,71.0,1.8205128205128205,6.707791775045184,9,247.0,0.3847745510682642,9,247.0
230.0,43,0,14,125,168,0,87.0,2.0232558139534884,4.795672945546976,14,255.0,0.24487915606137517,14,255.0
235.0,39,0,13,129,168,0,112.0,2.871794871794872,4.36446666949825,13,242.0,0.1673472875113933,13,242.0
240.0,41,0,13,131,172,0,146.0,3.5609756097560976,4.134703250400616,13,291.0,0.1727616582874964,13,291.0
245.0,39,0,19,135,174,0,225.0,5.769230769230769,2.8397480615219424,19,374.0,0.12390404301601952,19,374.0
250.0,41,0,19,137,178,0,272.0,6.634146341463414,2.5669878183950647,19,423.0,0.13841988399594712,19,423.0
255.0,45,0,16,139,184,0,303.0,6.733333333333333,4.258042914758954,16,428.0,0.22210536015570811,16,428.0
260.0,49,0,13,139,188,0,133.0,2.7142857142857144,5.314395191065665,13,389.0,0.2888992862921892,13,389.0
265.0,46,0,18,144,190,0,199.0,4.326086956521739,4.0677234193994245,18,349.0,0.15532443322856054,18,349.0
270.0,49,0,23,145,194,0,141.0,2.877551020408163,4.19175955863197,23,381.0,0.16316085018493912,23,381.0
275.0,45,0,25,149,194,0,241.0,5.355555555555555,3.3971076326288756,25,405.0,0.07501254909639563,25,405.0
280.0,47,0,26,153,200,0,258.0,5.48936170212766,3.268225634584291,26,466.0,0.1415201556228022,26,466.0
285.0,45,0,20,155,200,0,205.0,4.555555555555555,3.963698739527459,20,431.0,0.12440382049386839,20,431.0
290.0,51,2,16,159,210,0,172.0,3.372549019607843,6.339681639937847,16,400.0,0.3211396176813669,16,400.0
295.0,47,1,10,164,211,0,142.0,3.021276595744681,7.449956892571799,10,344.0,0.3985931765802127,10,344.0
300.0,43,4,4,169,212,0,65.0,1.5116279069767442,6.277450458295949,4,321.0,0.35625916227925697,4,321.0
305.0,44,1,14,173,217,0,115.0,2.6136363636363638,5.137231663274549,14,316.0,0.23738828204050175,14,316.0
310.0,43,2,16,177,220,0,154.0,3.5813953488372094,4.0039849839170705,16,346.0,0.15530848818085885,16,346.0
315.0,43,0,13,181,224,0,188.0,4.372093023255814,4.675834335645877,13,331.0,0.1984932035335627,13,331.0
320.0,42,2,12,184,226,0,237.0,5.642857142857143,6.173668768161507,12,321.0,0.25544561872300536,12,321.0
325.0,43,2,11,189,232,0,246.0,5.72093023255814,5.4252970767859665,11,313.0,0.28238163726319776,11,313.0
330.0,40,0,19,194,234,0,326.0,8.15,4.205199022026337,19,393.0,0.230503847221894,19,393.0
335.0,42,0,19,196,238,0,174.0,4.142857142857143,3.1203661691357523,19,365.0,0.1714010020675781,19,365.0
