step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.210103797078654,0,0.0,0.9267571904352928,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.469847140793187,0,0.0,0.8845668532132392,0,0.0
15.0,18,0,3,0,18,0,7.0,0.3888888888888889,7.7957023157042835,3,7.0,0.48979367693372683,3,7.0
20.0,18,0,8,0,18,0,39.0,2.1666666666666665,7.18668266796062,8,39.0,0.4014486449145422,8,39.0
25.0,23,0,6,1,24,0,47.0,2.0434782608695654,6.588105689038994,6,59.0,0.39063056207839225,6,59.0
30.0,20,0,9,4,24,0,87.0,4.35,6.842718407637625,9,87.0,0.361876717401626,9,87.0
35.0,23,0,7,5,28,0,72.0,3.130434782608696,5.765457242922378,7,90.0,0.30285156608248304,7,90.0
40.0,25,0,9,9,34,0,116.0,4.64,7.321796487939423,9,116.0,0.4156053673821857,9,116.0
45.0,29,0,5,9,38,0,79.0,2.7241379310344827,8.06390862731347,5,123.0,0.4910914420661503,5,123.0
50.0,28,0,3,12,40,0,75.0,2.6785714285714284,7.80393569031309,3,93.0,0.3884425177392799,3,93.0
55.0,29,0,8,15,44,0,112.0,3.8620689655172415,8.962573986696455,8,112.0,0.4319282668845572,8,112.0
60.0,24,0,4,20,44,0,114.0,4.75,7.863107669117685,4,127.0,0.38186032764108696,4,127.0
65.0,25,0,8,25,50,0,149.0,5.96,6.737856520701548,8,149.0,0.32577305487746516,8,149.0
70.0,22,0,8,28,50,0,150.0,6.818181818181818,6.406162267683873,8,162.0,0.3573486783162619,8,162.0
75.0,30,0,10,32,62,0,192.0,6.4,7.507143015210487,10,192.0,0.46452893065456724,10,192.0
80.0,30,0,6,32,62,0,161.0,5.366666666666666,8.215859231438099,6,208.0,0.5305317918661964,6,208.0
85.0,33,0,3,35,68,0,145.0,4.393939393939394,7.7582648540480434,3,162.0,0.42243580757568805,3,162.0
90.0,30,0,7,38,68,0,25.0,0.8333333333333334,6.928427091589487,7,47.0,0.32816729541514367,7,47.0
95.0,30,0,12,42,72,0,78.0,2.6,5.165070162106812,12,95.0,0.20703723197158444,12,95.0
100.0,29,0,13,45,74,0,105.0,3.6206896551724137,4.941330051917599,13,140.0,0.263062853561988,13,140.0
105.0,30,0,8,48,78,0,128.0,4.266666666666667,6.611517752952275,8,150.0,0.3661220471006031,8,150.0
110.0,35,0,7,49,84,0,99.0,2.8285714285714287,6.954778533633506,7,139.0,0.39955683326056596,7,139.0
115.0,32,2,12,54,86,0,149.0,4.65625,6.517011841298751,12,167.0,0.33166489558487305,12,167.0
120.0,32,0,9,56,88,0,159.0,4.96875,5.781528704183932,9,200.0,0.2923934197019389,9,200.0
125.0,32,2,10,60,92,0,173.0,5.40625,5.994848435739653,10,207.0,0.27265654153607916,10,207.0
130.0,32,0,7,62,94,0,40.0,1.25,5.597737006696171,7,169.0,0.2592706022651395,7,169.0
135.0,32,2,13,66,98,0,77.0,2.40625,5.8412689470123915,13,117.0,0.2535367105279006,13,117.0
140.0,32,0,13,68,100,0,92.0,2.875,5.893254182024894,13,152.0,0.2685273999700255,13,152.0
145.0,33,2,5,73,106,0,83.0,2.515151515151515,6.8199261727090725,5,128.0,0.3534172760173968,5,128.0
150.0,37,0,3,75,112,0,16.0,0.43243243243243246,8.633090131765522,3,92.0,0.5153202472208706,3,92.0
155.0,33,0,8,79,112,0,48.0,1.4545454545454546,6.614382235165041,8,86.0,0.28710829466333243,8,86.0
160.0,35,0,16,83,118,0,67.0,1.9142857142857144,5.194269239529813,16,123.0,0.22531934403252601,16,123.0
165.0,31,0,9,87,118,0,85.0,2.7419354838709675,5.171107145357716,9,135.0,0.20721255436292138,9,135.0
170.0,35,0,11,89,124,0,117.0,3.342857142857143,5.168674610262575,11,167.0,0.24836090558689047,11,167.0
175.0,32,0,17,92,124,0,194.0,6.0625,3.682977442579474,17,244.0,0.1548101864258921,17,244.0
180.0,33,0,18,95,128,0,233.0,7.0606060606060606,3.2900362612405627,18,302.0,0.1668867077620792,18,302.0
185.0,37,0,13,97,134,0,254.0,6.864864864864865,5.379796947405645,13,309.0,0.26284973724241467,13,309.0
190.0,41,0,7,97,138,0,184.0,4.487804878048781,6.29495029002783,7,290.0,0.3052945605049398,7,290.0
195.0,37,0,15,103,140,0,243.0,6.5675675675675675,4.730331249021498,15,297.0,0.17583963932679889,15,297.0
200.0,39,0,16,105,144,0,282.0,7.230769230769231,5.130816039037126,16,349.0,0.2192097469603296,16,349.0
205.0,37,0,10,109,146,0,307.0,8.297297297297296,5.4048381673354955,10,344.0,0.18061253741594072,10,344.0
210.0,37,0,5,113,150,0,62.0,1.6756756756756757,6.60764898820714,5,261.0,0.32548698508253804,5,261.0
215.0,33,0,10,117,150,0,41.0,1.2424242424242424,6.031680940674876,10,106.0,0.2169580918162929,10,106.0
220.0,40,0,13,122,162,0,62.0,1.55,6.270983150644827,13,139.0,0.3637511564842163,13,139.0
225.0,35,0,7,127,162,0,70.0,2.0,6.721424110686897,7,145.0,0.3925176889613972,7,145.0
230.0,40,0,5,128,168,0,29.0,0.725,5.24017473551451,5,126.0,0.2631423495152857,5,126.0
235.0,35,0,17,133,168,0,92.0,2.6285714285714286,4.1742237011485885,17,169.0,0.149053972644938,17,169.0
240.0,38,0,17,134,172,0,136.0,3.5789473684210527,3.969450431278859,17,227.0,0.1517820830863123,17,227.0
245.0,37,0,12,137,174,0,153.0,4.135135135135135,4.823411538833847,12,251.0,0.17954274595281494,12,251.0
250.0,38,0,10,140,178,0,198.0,5.2105263157894735,7.329741470202826,10,266.0,0.3352610675437359,10,266.0
255.0,40,0,8,144,184,0,84.0,2.1,6.738881102896175,8,204.0,0.3588136255903785,8,204.0
260.0,38,0,13,150,188,0,138.0,3.6315789473684212,6.189114485622812,13,165.0,0.33510715912580724,13,165.0
265.0,38,0,12,152,190,0,165.0,4.342105263157895,4.726976586026448,12,209.0,0.23703714201751075,12,209.0
270.0,38,0,13,156,194,0,194.0,5.105263157894737,5.229267195508455,13,238.0,0.2631818115846279,13,238.0
275.0,36,0,13,158,194,0,172.0,4.777777777777778,4.611006843327316,13,219.0,0.19917804823021074,13,219.0
280.0,37,0,20,163,200,0,260.0,7.027027027027027,3.3187958397896997,20,307.0,0.19457866405287663,20,307.0
285.0,36,0,21,164,200,0,314.0,8.722222222222221,2.8074655711084784,21,381.0,0.14660401619110824,21,381.0
290.0,44,2,17,166,210,0,350.0,7.954545454545454,5.421334825650101,17,414.0,0.3173822513392936,17,414.0
295.0,46,0,11,166,212,0,170.0,3.6956521739130435,6.42708244087144,11,373.0,0.3721005689645142,11,373.0
300.0,42,2,13,172,214,0,172.0,4.095238095238095,4.611124121177503,13,287.0,0.23023358933426716,13,287.0
305.0,45,0,21,173,218,0,218.0,4.844444444444444,4.008755909972261,21,348.0,0.16599944843821293,21,348.0
310.0,43,2,19,177,220,0,265.0,6.162790697674419,4.0414900277412364,19,393.0,0.1518824573677274,19,393.0
315.0,44,0,13,180,224,0,129.0,2.9318181818181817,4.81385780932493,13,356.0,0.22766043733802507,13,356.0
320.0,43,2,17,183,226,0,176.0,4.093023255813954,5.142256560797259,17,301.0,0.2039663346918084,17,301.0
325.0,45,2,21,187,232,0,235.0,5.222222222222222,4.566808232637614,21,367.0,0.20318360680927683,21,367.0
330.0,42,0,18,192,234,0,286.0,6.809523809523809,4.83526120212283,18,409.0,0.23037524032560275,18,409.0
335.0,44,0,10,194,238,0,157.0,3.5681818181818183,5.39102850264405,10,365.0,0.28343838935232935,10,365.0
340.0,42,0,13,198,240,0,129.0,3.0714285714285716,4.428584924257949,13,286.0,0.20023476714552693,13,286.0
345.0,43,0,15,201,244,0,164.0,3.813953488372093,4.240320008367174,15,282.0,0.19412116724292156,15,282.0
350.0,43,0,15,203,246,0,193.0,4.488372093023256,4.717313702158999,15,311.0,0.14346414409011746,15,311.0
355.0,42,0,15,208,250,0,147.0,3.5,4.90549410336158,15,277.0,0.21304020855698122,15,277.0
360.0,35,0,20,215,250,0,237.0,6.771428571428571,1.5557475899350242,20,367.0,0.0541848100942772,20,367.0
365.0,47,0,23,215,262,0,299.0,6.361702127659575,4.157042202748672,23,443.0,0.269228563663651,23,443.0
370.0,45,0,20,217,262,0,346.0,7.688888888888889,4.011432407735398,20,477.0,0.20387069674449046,20,477.0
375.0,51,0,18,217,268,0,401.0,7.862745098039215,5.365663959812307,18,500.0,0.22162653457461431,18,500.0
380.0,46,0,17,222,268,0,278.0,6.043478260869565,4.439047260818058,17,486.0,0.19477735868215867,17,486.0
385.0,48,0,21,226,274,0,349.0,7.270833333333333,4.69106263072029,21,452.0,0.22117481054330076,21,452.0
390.0,45,0,23,229,274,0,219.0,4.866666666666666,3.2835151260504927,23,450.0,0.08292292760422458,23,450.0
395.0,45,0,23,233,278,0,215.0,4.777777777777778,4.239632797667966,23,398.0,0.15893150543122955,23,398.0
400.0,48,0,21,236,284,0,230.0,4.791666666666667,3.7547148153235224,21,466.0,0.17177648312730928,21,466.0
405.0,49,0,20,239,288,0,196.0,4.0,5.091454136888264,20,486.0,0.256279951611931,20,486.0
410.0,48,0,16,242,290,0,197.0,4.104166666666667,5.187279996000022,16,460.0,0.18731950603821354,16,460.0
415.0,47,0,18,247,294,0,203.0,4.319148936170213,4.918895417740436,18,467.0,0.24749717036064955,18,467.0
420.0,42,0,25,252,294,0,309.0,7.357142857142857,2.3987393200192044,25,573.0,0.09314311068892452,25,573.0
425.0,46,0,25,254,300,0,396.0,8.608695652173912,2.651576659341795,25,659.0,0.14033223268999925,25,659.0
430.0,44,0,23,256,300,0,470.0,10.681818181818182,2.5306124941205086,23,696.0,0.07859292880314886,23,696.0
435.0,56,0,17,256,312,0,349.0,6.232142857142857,5.147705802131552,17,662.0,0.2881545291536818,17,662.0
440.0,52,0,16,260,312,0,257.0,4.9423076923076925,4.876927914509514,16,551.0,0.24902618293547094,16,551.0
445.0,56,0,18,262,318,0,293.0,5.232142857142857,4.144092155194348,18,518.0,0.18773753128378848,18,518.0
450.0,52,0,22,266,318,0,340.0,6.538461538461538,3.5242997081488996,22,549.0,0.1155777890447264,22,549.0
455.0,52,0,20,270,322,0,161.0,3.0961538461538463,3.8753786270704307,20,550.0,0.17686433749323446,20,550.0
460.0,49,0,21,275,324,0,170.0,3.4693877551020407,3.4900124633177634,21,476.0,0.14083852162314295,21,476.0
465.0,52,0,23,276,328,0,231.0,4.4423076923076925,3.146921279739518,23,550.0,0.11838197036455783,23,550.0
470.0,53,0,23,281,334,0,290.0,5.471698113207547,3.819872653124295,23,594.0,0.18289385102865302,23,594.0
475.0,54,2,17,282,336,0,213.0,3.9444444444444446,4.87116784511296,17,576.0,0.2479289957100557,17,576.0
480.0,52,0,14,286,338,0,168.0,3.230769230769231,3.780480399544091,14,491.0,0.14423950443939085,14,491.0
485.0,53,2,20,289,342,0,214.0,4.037735849056604,3.2200214359468142,20,541.0,0.1391304462194692,20,541.0
490.0,52,0,22,292,344,0,272.0,5.230769230769231,3.243613125179011,22,556.0,0.10207337906166801,22,556.0
495.0,53,2,17,295,348,0,213.0,4.018867924528302,3.7270497025168603,17,544.0,0.15296128117121652,17,544.0
500.0,50,0,20,300,350,0,270.0,5.4,3.5830665727782707,20,528.0,0.13842433471802865,20,528.0
505.0,54,2,19,302,356,0,325.0,6.018518518518518,4.292893644984404,19,569.0,0.190680317471023,19,569.0
510.0,54,0,19,308,362,0,383.0,7.092592592592593,4.371081842982905,19,595.0,0.23603325225421215,19,595.0
515.0,53,0,16,309,362,0,281.0,5.30188679245283,3.5656193118330686,16,573.0,0.15975875958901906,16,573.0
520.0,54,0,15,314,368,0,209.0,3.8703703703703702,3.3017093021025694,15,471.0,0.16340788296419548,15,471.0
525.0,53,0,25,315,368,0,267.0,5.037735849056604,2.768878096358155,25,534.0,0.10941430478527353,25,534.0
530.0,56,0,25,318,374,0,334.0,5.964285714285714,3.479996925157511,25,592.0,0.11830064013366874,25,592.0
535.0,54,0,20,320,374,0,208.0,3.8518518518518516,3.6472099850383497,20,510.0,0.11732672306357163,20,510.0
