step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.636005918699714,0,0.0,0.9196881684985564,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.956337865622407,0,0.0,0.8695885877602683,0,0.0
15.0,18,0,3,0,18,0,3.0,0.16666666666666666,6.281844085233301,3,3.0,0.4196893570387853,3,3.0
20.0,18,0,9,0,18,0,37.0,2.0555555555555554,6.201567585798826,9,37.0,0.3561135813679529,9,37.0
25.0,23,0,6,1,24,0,58.0,2.5217391304347827,5.979079184012828,6,66.0,0.39103482393038813,6,66.0
30.0,21,0,8,3,24,0,95.0,4.523809523809524,7.630812190000444,8,95.0,0.4093960825606123,8,95.0
35.0,25,0,4,3,28,0,76.0,3.04,6.710155761468205,4,89.0,0.3248918120963401,4,89.0
40.0,27,0,8,7,34,0,111.0,4.111111111111111,8.12903945373654,8,111.0,0.4817854946432325,8,111.0
45.0,28,0,10,10,38,0,153.0,5.464285714285714,7.1909269317125295,10,153.0,0.4095381423352556,10,153.0
50.0,28,0,12,12,40,0,209.0,7.464285714285714,5.464679952502381,12,209.0,0.24539887464299567,12,209.0
55.0,28,0,18,16,44,0,291.0,10.392857142857142,3.3229860273428313,18,291.0,0.19543674376344267,18,291.0
60.0,27,0,14,17,44,0,264.0,9.777777777777779,2.7287542815165295,14,336.0,0.1668796040987288,14,336.0
65.0,32,0,10,18,50,0,263.0,8.21875,5.637523653023149,10,320.0,0.31006093696954284,10,320.0
70.0,32,0,8,18,50,0,69.0,2.15625,5.377661266245758,8,265.0,0.25263526524716257,8,265.0
75.0,40,0,13,22,62,0,80.0,2.0,6.708793998862174,13,174.0,0.3691443854182426,13,174.0
80.0,38,0,18,24,62,0,163.0,4.2894736842105265,6.770102988471899,18,220.0,0.35180861851259415,18,220.0
85.0,41,0,15,27,68,0,156.0,3.8048780487804876,4.205288639749666,15,243.0,0.21672328433673713,15,243.0
90.0,36,0,14,32,68,0,136.0,3.7777777777777777,3.852133679148566,14,237.0,0.1884688614699596,14,237.0
95.0,40,0,13,32,72,0,175.0,4.375,4.690130062731989,13,286.0,0.20382923230686886,13,286.0
100.0,37,0,21,37,74,0,262.0,7.081081081081081,3.031291196296857,21,373.0,0.13677281463294838,21,373.0
105.0,40,0,20,38,78,0,318.0,7.95,2.6638419792149777,20,436.0,0.1434062457925999,20,436.0
110.0,44,0,18,40,84,0,362.0,8.227272727272727,4.489353969987974,18,456.0,0.2515111563647862,18,456.0
115.0,46,2,11,40,86,0,171.0,3.717391304347826,5.249992316533577,11,406.0,0.28658232704742004,11,406.0
120.0,45,0,13,43,88,0,170.0,3.7777777777777777,4.608401083039298,13,320.0,0.2016927063566034,13,320.0
125.0,45,2,21,47,92,0,261.0,5.8,4.82172574514843,21,357.0,0.13801959787306795,21,357.0
130.0,43,0,27,51,94,0,382.0,8.883720930232558,3.6979754147590738,27,478.0,0.09523720176921993,27,478.0
135.0,43,2,26,55,98,0,409.0,9.511627906976743,2.8931675010573974,26,548.0,0.12536054393999713,26,548.0
140.0,42,0,18,58,100,0,374.0,8.904761904761905,3.918621762120979,18,550.0,0.15754704890714835,18,550.0
145.0,45,2,10,61,106,0,81.0,1.8,5.1683072820610905,10,484.0,0.28298163896105266,10,484.0
150.0,47,0,11,65,112,0,57.0,1.2127659574468086,5.530801022230273,11,370.0,0.31717665556777574,11,370.0
155.0,45,0,14,67,112,0,79.0,1.7555555555555555,4.371924839956059,14,384.0,0.21480920864060032,14,384.0
160.0,47,0,15,71,118,0,95.0,2.021276595744681,4.020471985956147,15,330.0,0.16054719596743663,15,330.0
165.0,45,0,18,73,118,0,148.0,3.2888888888888888,3.9200665634662113,18,405.0,0.13252303087173747,18,405.0
170.0,45,0,22,79,124,0,236.0,5.2444444444444445,2.520663161707794,22,501.0,0.13082285735208402,22,501.0
175.0,44,0,22,80,124,0,296.0,6.7272727272727275,2.33022870180796,22,557.0,0.12008554084996345,22,557.0
180.0,46,0,20,82,128,0,345.0,7.5,2.7114914281438187,20,556.0,0.10545179742096637,20,556.0
185.0,52,0,14,82,134,0,213.0,4.096153846153846,4.278349800621227,14,537.0,0.2166430721089954,14,537.0
190.0,52,0,14,86,138,0,230.0,4.423076923076923,4.492564728373147,14,499.0,0.22123438390680225,14,499.0
195.0,51,0,23,89,140,0,323.0,6.333333333333333,3.758704718149154,23,563.0,0.11126943693693396,23,563.0
200.0,52,0,24,92,144,0,203.0,3.9038461538461537,3.252081440283266,24,555.0,0.11158920711955986,24,555.0
205.0,49,0,27,97,146,0,298.0,6.081632653061225,3.574068636791534,27,513.0,0.10218209884561041,27,513.0
210.0,50,0,31,100,150,0,320.0,6.4,2.827017772091501,31,580.0,0.07161376693914367,31,580.0
215.0,46,0,26,104,150,0,275.0,5.978260869565218,3.4084828695722424,26,564.0,0.10195436851927955,26,564.0
220.0,53,2,19,107,160,0,215.0,4.056603773584905,5.880248054715026,19,506.0,0.2801416188114478,19,506.0
225.0,49,2,12,111,160,0,146.0,2.979591836734694,7.1452365948954375,12,462.0,0.37486964713774884,12,462.0
230.0,45,6,12,117,162,0,144.0,3.2,6.490152091857125,12,400.0,0.3085190674064128,12,400.0
235.0,45,2,14,121,166,0,209.0,4.644444444444445,5.857785112621281,14,445.0,0.29142829863677067,14,445.0
240.0,43,2,21,127,170,0,300.0,6.976744186046512,3.5071200241033793,21,536.0,0.1643378522934777,21,536.0
245.0,44,0,23,130,174,0,379.0,8.613636363636363,2.8263078238096777,23,606.0,0.1680051425634567,23,606.0
250.0,46,0,19,132,178,0,431.0,9.369565217391305,3.746958948338829,19,615.0,0.19352187703575446,19,615.0
255.0,52,0,15,132,184,0,290.0,5.576923076923077,4.55454487197844,15,589.0,0.20732125055314027,15,589.0
260.0,51,0,16,137,188,0,321.0,6.294117647058823,5.352809002601785,16,540.0,0.3008153087183899,16,540.0
265.0,51,0,19,139,190,0,141.0,2.764705882352941,3.428374749574053,19,490.0,0.12420005429303613,19,490.0
270.0,51,0,26,143,194,0,218.0,4.2745098039215685,4.2370307868309665,26,438.0,0.1799699382089729,26,438.0
275.0,48,0,31,146,194,0,364.0,7.583333333333333,3.376791860008795,31,547.0,0.014311600178491925,31,547.0
280.0,49,0,31,151,200,0,384.0,7.836734693877551,3.3309466962794088,31,620.0,0.12481032350123725,31,620.0
285.0,44,0,23,156,200,0,325.0,7.386363636363637,3.219964357375843,23,587.0,0.11102800228048183,23,587.0
290.0,53,2,18,157,210,0,260.0,4.90566037735849,6.0596712070645085,18,522.0,0.2948884281436176,18,522.0
295.0,50,1,7,161,211,0,46.0,0.92,5.999879430803064,7,506.0,0.3402012657771171,7,506.0
300.0,44,4,7,168,212,0,29.0,0.6590909090909091,5.29660925303447,7,419.0,0.30520551440847643,7,419.0
305.0,48,1,15,169,217,0,45.0,0.9375,3.7013821724753875,15,419.0,0.1579081221383032,15,419.0
310.0,48,2,16,172,220,0,80.0,1.6666666666666667,4.160593224135285,16,387.0,0.16306427772306356,16,387.0
315.0,49,0,16,175,224,0,130.0,2.6530612244897958,5.090267914535868,16,322.0,0.17747649358091083,16,322.0
320.0,45,2,11,181,226,0,151.0,3.3555555555555556,4.535288717224438,11,356.0,0.2111172701066818,11,356.0
