step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.967163130175296,0,0.0,0.9515978135055031,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.198746895690691,0,0.0,0.8942140479582559,0,0.0
15.0,18,0,3,0,18,0,7.0,0.3888888888888889,6.034459445249195,3,7.0,0.38801656774318194,3,7.0
20.0,17,0,9,1,18,0,46.0,2.7058823529411766,5.433644665486928,9,46.0,0.3500029341462021,9,46.0
25.0,23,0,6,1,24,0,63.0,2.739130434782609,5.978922304998838,6,70.0,0.40287267200889426,6,70.0
30.0,22,0,8,2,24,0,97.0,4.409090909090909,7.4074421946845765,8,97.0,0.3989291260162623,8,97.0
35.0,25,0,7,3,28,0,93.0,3.72,6.291887754606473,7,93.0,0.304005380791596,7,93.0
40.0,27,0,12,7,34,0,145.0,5.37037037037037,6.194574245186213,12,145.0,0.3696694926913813,12,145.0
45.0,29,0,9,9,38,0,163.0,5.620689655172414,6.016075708006999,9,184.0,0.37970676186525737,9,184.0
50.0,29,0,12,11,40,0,207.0,7.137931034482759,5.69398775372676,12,210.0,0.2759171769025912,12,210.0
55.0,33,0,10,11,44,0,185.0,5.606060606060606,6.002898778447365,10,223.0,0.2644327165275692,10,223.0
60.0,28,0,14,16,44,0,250.0,8.928571428571429,5.9099870593015265,14,253.0,0.23632944728527297,14,253.0
65.0,32,0,10,18,50,0,270.0,8.4375,6.098867611830837,10,295.0,0.27323117265155433,10,295.0
70.0,29,0,8,21,50,0,301.0,10.379310344827585,7.973795683774762,8,312.0,0.3676032380277024,8,312.0
75.0,37,0,8,25,62,0,62.0,1.6756756756756757,7.537033515350804,8,237.0,0.4417740920278348,8,237.0
80.0,31,0,9,31,62,0,50.0,1.6129032258064515,8.110470509505054,9,112.0,0.5065271276513643,9,112.0
85.0,36,0,6,32,68,0,37.0,1.0277777777777777,6.664835030560124,6,74.0,0.342402763520725,6,74.0
90.0,30,0,10,38,68,0,61.0,2.033333333333333,7.152964426114981,10,74.0,0.3487527703611474,10,74.0
95.0,31,0,9,41,72,0,96.0,3.096774193548387,6.253720822763809,9,108.0,0.2895020494373685,9,108.0
100.0,28,0,17,46,74,0,166.0,5.928571428571429,4.416545019368539,17,178.0,0.23026746278703605,17,178.0
105.0,30,0,13,48,78,0,201.0,6.7,4.07354968558212,13,234.0,0.24999464885019038,13,234.0
110.0,34,0,12,50,84,0,243.0,7.147058823529412,6.737737514862807,12,252.0,0.3975307026929411,12,252.0
115.0,36,2,8,50,86,0,128.0,3.5555555555555554,7.501349097564934,8,226.0,0.43090920476204464,8,226.0
120.0,32,0,10,56,88,0,156.0,4.875,5.74039674647071,10,178.0,0.2747002930192839,10,178.0
125.0,34,2,13,58,92,0,183.0,5.382352941176471,5.4011352505759875,13,216.0,0.23258593028958205,13,216.0
130.0,32,0,11,62,94,0,226.0,7.0625,6.71045946588838,11,249.0,0.30370595595913774,11,249.0
135.0,32,2,9,66,98,0,66.0,2.0625,6.152585052187499,9,199.0,0.3061762222631683,9,199.0
140.0,32,0,11,68,100,0,86.0,2.6875,6.491186864375988,11,128.0,0.2896917296129442,11,128.0
145.0,33,2,11,73,106,0,106.0,3.212121212121212,6.0027430415641945,11,166.0,0.31644293921777744,11,166.0
150.0,34,0,9,78,112,0,139.0,4.088235294117647,7.662719835922278,9,189.0,0.480274650574967,9,189.0
155.0,33,0,6,79,112,0,41.0,1.2424242424242424,6.595605922107262,6,157.0,0.3459385371706303,6,157.0
160.0,33,0,13,85,118,0,72.0,2.1818181818181817,5.535997971363496,13,120.0,0.27031701725080215,13,120.0
165.0,32,0,14,86,118,0,105.0,3.28125,4.479451337163001,14,173.0,0.15758453877410208,14,173.0
170.0,34,0,12,90,124,0,150.0,4.411764705882353,6.381037102869763,12,195.0,0.3035474469859159,12,195.0
175.0,32,0,14,92,124,0,189.0,5.90625,5.08509537864197,14,234.0,0.1835467279691292,14,234.0
180.0,33,0,20,95,128,0,277.0,8.393939393939394,3.75456439872791,20,322.0,0.13802113777534808,20,322.0
185.0,35,0,17,99,134,0,326.0,9.314285714285715,4.1055156730978455,17,400.0,0.236144281960021,17,400.0
190.0,37,0,13,101,138,0,366.0,9.891891891891891,5.324139442367368,13,435.0,0.2900179842993229,13,435.0
195.0,39,0,19,101,140,0,450.0,11.538461538461538,6.018072138401795,19,490.0,0.21861466447770184,19,490.0
200.0,38,0,14,106,144,0,265.0,6.973684210526316,5.376421483479871,14,439.0,0.24926869096970794,14,439.0
205.0,34,0,16,112,146,0,300.0,8.823529411764707,5.56142270809339,16,348.0,0.26650006971060525,16,348.0
210.0,37,0,15,113,150,0,136.0,3.675675675675676,5.009860296305323,15,317.0,0.21532290746882016,15,317.0
215.0,32,0,13,118,150,0,119.0,3.71875,5.136864738827333,13,232.0,0.21986419206743127,13,232.0
220.0,42,0,12,120,162,0,90.0,2.142857142857143,6.385478842420533,12,230.0,0.3551194882816486,12,230.0
225.0,38,0,9,124,162,0,80.0,2.1052631578947367,7.5954541922399015,9,212.0,0.44034732505367985,9,212.0
230.0,41,0,10,127,168,0,75.0,1.829268292682927,5.417566601525258,10,201.0,0.26835674766902273,10,201.0
235.0,37,0,18,131,168,0,146.0,3.945945945945946,5.259414248375039,18,230.0,0.22466654883530862,18,230.0
240.0,38,0,16,134,172,0,121.0,3.1842105263157894,4.603018034695737,16,239.0,0.15191753138300193,16,239.0
245.0,36,0,19,138,174,0,205.0,5.694444444444445,5.343960285550693,19,267.0,0.1709365963394313,19,267.0
250.0,35,0,17,143,178,0,188.0,5.371428571428571,4.396847443818407,17,304.0,0.18628233800417907,17,304.0
255.0,36,0,11,148,184,0,120.0,3.3333333333333335,5.666979127028436,11,257.0,0.29150143495010594,11,257.0
260.0,40,0,9,148,188,0,74.0,1.85,6.813754309559846,9,251.0,0.3724348258340077,9,251.0
265.0,37,0,14,153,190,0,123.0,3.324324324324324,3.715928961203632,14,304.0,0.17836864161028554,14,304.0
270.0,39,0,19,155,194,0,167.0,4.282051282051282,2.89446670368832,19,341.0,0.1597445378637995,19,341.0
275.0,37,0,15,157,194,0,204.0,5.513513513513513,3.921879609238347,15,330.0,0.1535175159810477,15,330.0
280.0,43,0,11,157,200,0,101.0,2.3488372093023258,5.125948175263435,11,324.0,0.26510210468147166,11,324.0
285.0,39,0,14,161,200,0,142.0,3.641025641025641,4.823385278385398,14,295.0,0.19094870632426997,14,295.0
290.0,46,2,13,164,210,0,168.0,3.652173913043478,5.6541207235797915,13,321.0,0.29691587188838275,13,321.0
295.0,44,0,11,168,212,0,187.0,4.25,6.430750310313414,11,311.0,0.3503001731741786,11,311.0
300.0,43,2,6,171,214,0,37.0,0.8604651162790697,4.9712072246610255,6,235.0,0.2325801170094447,6,235.0
305.0,43,0,12,175,218,0,82.0,1.9069767441860466,4.804617685764993,12,190.0,0.21072586927363735,12,190.0
310.0,41,2,16,179,220,0,119.0,2.902439024390244,4.133241338745299,16,226.0,0.16724453712393494,16,226.0
315.0,40,0,14,184,224,0,157.0,3.925,4.4674642556885455,14,239.0,0.20598609379577487,14,239.0
320.0,41,2,13,185,226,0,187.0,4.560975609756097,4.237009359962326,13,277.0,0.18446693379307613,13,277.0
325.0,42,2,21,190,232,0,271.0,6.4523809523809526,3.3789701520264868,21,361.0,0.17927860994010258,21,361.0
330.0,43,0,21,191,234,0,327.0,7.604651162790698,3.3082901189613194,21,432.0,0.18442133976503114,21,432.0
335.0,45,0,17,193,238,0,362.0,8.044444444444444,3.673699168459474,17,456.0,0.16729616603620526,17,456.0
340.0,47,0,17,193,240,0,183.0,3.893617021276596,3.7679372346221296,17,429.0,0.13951623669555402,17,429.0
345.0,46,0,15,198,244,0,173.0,3.760869565217391,4.072777919395013,15,353.0,0.17608442095595925,15,353.0
350.0,46,0,18,200,246,0,209.0,4.543478260869565,3.3580278704051554,18,371.0,0.11711098539591283,18,371.0
355.0,46,0,17,204,250,0,247.0,5.369565217391305,4.40906453693162,17,393.0,0.18009020608750717,17,393.0
360.0,43,0,12,207,250,0,87.0,2.0232558139534884,3.5701800224018925,12,350.0,0.10862028114096295,12,350.0
365.0,50,0,18,212,262,0,136.0,2.72,5.240611039885949,18,317.0,0.2820427699599827,18,317.0
370.0,48,0,17,214,262,0,169.0,3.5208333333333335,4.703341115390338,17,343.0,0.2228683543667416,17,343.0
375.0,48,0,16,220,268,0,195.0,4.0625,4.099304883059626,16,353.0,0.1891285298247757,16,353.0
380.0,47,0,12,221,268,0,92.0,1.9574468085106382,3.4039264941135796,12,338.0,0.11053921206472649,12,338.0
385.0,48,0,16,226,274,0,102.0,2.125,4.300484262079394,16,261.0,0.1971158560979451,16,261.0
390.0,47,0,16,227,274,0,133.0,2.8297872340425534,3.714779153558674,16,276.0,0.11467577843785358,16,276.0
395.0,47,0,15,231,278,0,156.0,3.3191489361702127,4.314520407220082,15,272.0,0.1396576947156527,15,272.0
400.0,49,0,13,235,284,0,202.0,4.122448979591836,5.897384527281858,13,277.0,0.26813578836093127,13,277.0
