step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,13.111841206641008,0,0.0,0.915412786559339,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.147463398685014,0,0.0,0.7914558654563427,0,0.0
15.0,18,0,6,0,18,0,10.0,0.5555555555555556,7.038241699008584,6,10.0,0.3876266267443027,6,10.0
20.0,18,0,4,0,18,0,28.0,1.5555555555555556,7.83791645342812,4,30.0,0.46783906852628787,4,30.0
25.0,22,0,4,2,24,0,48.0,2.1818181818181817,7.993069089566432,4,48.0,0.4351294820376662,4,48.0
30.0,20,0,6,4,24,0,48.0,2.4,7.24089443211935,6,52.0,0.38787501843180194,6,52.0
35.0,20,0,8,8,28,0,83.0,4.15,6.1673290760063315,8,83.0,0.2946336479889584,8,83.0
40.0,26,0,5,8,34,0,65.0,2.5,7.829072546768478,5,99.0,0.49758118596016737,5,99.0
45.0,27,0,3,11,38,0,70.0,2.5925925925925926,9.388646765412428,3,80.0,0.6022453011414642,3,80.0
50.0,27,0,4,13,40,0,16.0,0.5925925925925926,7.30672828549596,4,21.0,0.35476027781757674,4,21.0
55.0,27,0,12,17,44,0,66.0,2.4444444444444446,5.844028718644497,12,71.0,0.26195703868254616,12,71.0
60.0,23,0,10,21,44,0,88.0,3.8260869565217392,3.8090007144862135,10,113.0,0.21319303700330833,10,113.0
65.0,28,0,9,22,50,0,118.0,4.214285714285714,6.019007986794013,9,131.0,0.34688158295657373,9,131.0
70.0,28,0,7,22,50,0,83.0,2.9642857142857144,5.985520925217989,7,128.0,0.2937544571567502,7,128.0
75.0,35,0,12,27,62,0,135.0,3.857142857142857,6.853570729932673,12,148.0,0.4080256300116198,12,148.0
80.0,34,0,9,28,62,0,140.0,4.117647058823529,7.435161901491191,9,177.0,0.44713029720728625,9,177.0
85.0,36,0,5,32,68,0,135.0,3.75,7.045676216803533,5,158.0,0.3767888792201024,5,158.0
90.0,33,0,9,35,68,0,26.0,0.7878787878787878,6.247783643381666,9,130.0,0.292610624476917,9,130.0
95.0,31,0,13,41,72,0,71.0,2.2903225806451615,5.588649517013811,13,94.0,0.20954305869108988,13,94.0
100.0,32,0,12,42,74,0,90.0,2.8125,6.020256919082703,12,132.0,0.25614986584235866,12,132.0
105.0,31,0,6,47,78,0,92.0,2.967741935483871,6.745710997243102,6,127.0,0.34280395765366545,6,127.0
110.0,35,0,6,49,84,0,122.0,3.4857142857142858,8.409329615638004,6,127.0,0.45275361352375265,6,127.0
115.0,31,2,4,55,86,0,61.0,1.967741935483871,6.957356009523371,4,108.0,0.41083583856925576,4,108.0
120.0,29,0,11,59,88,0,102.0,3.5172413793103448,7.306194945756979,11,107.0,0.4242425404537383,11,107.0
125.0,31,2,9,61,92,0,103.0,3.3225806451612905,5.30897613788204,9,133.0,0.22655001727814347,9,133.0
130.0,29,0,8,65,94,0,122.0,4.206896551724138,6.707804548753218,8,146.0,0.32853545781955035,8,146.0
135.0,31,2,9,67,98,0,74.0,2.3870967741935485,6.5258867882948435,9,92.0,0.27829977713451065,9,92.0
140.0,27,0,16,73,100,0,139.0,5.148148148148148,4.4772863047013605,16,157.0,0.21770454128163128,16,157.0
145.0,31,3,14,74,105,0,173.0,5.580645161290323,4.030793997026419,14,212.0,0.22791957725214645,14,212.0
150.0,36,0,11,76,112,0,200.0,5.555555555555555,7.109836032827639,11,234.0,0.4475379979918938,11,234.0
155.0,36,0,8,76,112,0,127.0,3.5277777777777777,5.398330251090105,8,221.0,0.2761780486908947,8,221.0
160.0,38,0,17,80,118,0,193.0,5.078947368421052,5.024728035570488,17,231.0,0.23264614819346113,17,231.0
165.0,36,0,18,82,118,0,241.0,6.694444444444445,3.3896096982822046,18,295.0,0.07331473522858765,18,295.0
170.0,37,0,15,87,124,0,287.0,7.756756756756757,5.5488732613095095,15,333.0,0.26531010464817667,15,333.0
175.0,36,0,9,88,124,0,112.0,3.111111111111111,5.647580417885099,9,279.0,0.21296846752973878,9,279.0
180.0,34,0,11,94,128,0,106.0,3.1176470588235294,5.1932527601259535,11,192.0,0.23775699622132895,11,192.0
185.0,38,0,11,96,134,0,125.0,3.289473684210526,5.000625748944493,11,207.0,0.2545122474835273,11,207.0
190.0,39,0,10,99,138,0,146.0,3.7435897435897436,6.787520431880637,10,223.0,0.36360023603714425,10,223.0
195.0,37,0,11,103,140,0,127.0,3.4324324324324325,4.31842843024205,11,206.0,0.17921187507494218,11,206.0
200.0,37,0,23,107,144,0,223.0,6.027027027027027,3.5046961529359337,23,302.0,0.16532919183920566,23,302.0
205.0,37,0,22,109,146,0,288.0,7.783783783783784,2.316696579123323,22,384.0,0.10443764932047282,22,384.0
210.0,39,0,17,111,150,0,331.0,8.487179487179487,4.381575142054245,17,430.0,0.2232350071242016,17,430.0
215.0,39,0,15,111,150,0,400.0,10.256410256410257,5.596295275824259,15,465.0,0.18268272690518375,15,465.0
220.0,47,0,12,115,162,0,280.0,5.957446808510638,6.287807230951994,12,435.0,0.3624554981124477,12,435.0
225.0,43,0,12,119,162,0,263.0,6.116279069767442,6.651988666217568,12,356.0,0.3733482282824328,12,356.0
230.0,45,0,12,123,168,0,290.0,6.444444444444445,4.416956093223074,12,386.0,0.19282069846136482,12,386.0
235.0,41,0,18,127,168,0,350.0,8.536585365853659,5.154770218815232,18,435.0,0.22681794818241666,18,435.0
240.0,42,0,16,130,172,0,117.0,2.7857142857142856,4.575201749083204,16,368.0,0.1863104859535345,16,368.0
245.0,40,0,19,134,174,0,164.0,4.1,4.918065063707117,19,282.0,0.21552152491756674,19,282.0
250.0,41,0,21,137,178,0,215.0,5.2439024390243905,3.606754297608985,21,356.0,0.14799194200675608,21,356.0
255.0,44,0,16,140,184,0,262.0,5.954545454545454,5.51274788941289,16,406.0,0.273589541716211,16,406.0
260.0,45,0,13,143,188,0,289.0,6.4222222222222225,5.9615861157536365,13,426.0,0.3250060006712997,13,426.0
265.0,42,0,21,148,190,0,383.0,9.119047619047619,4.847275095006562,21,484.0,0.1921633026950226,21,484.0
270.0,44,0,24,150,194,0,457.0,10.386363636363637,4.312195441127807,24,571.0,0.17987952442347105,24,571.0
275.0,39,0,17,155,194,0,506.0,12.974358974358974,4.41058323471613,17,624.0,0.17175377263015593,17,624.0
280.0,43,0,13,157,200,0,303.0,7.046511627906977,5.327066089707552,13,562.0,0.26127652049334776,13,562.0
285.0,39,0,13,161,200,0,171.0,4.384615384615385,4.7640658523959445,13,414.0,0.20550481852064761,13,414.0
