step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.782504309484992,0,0.0,0.893611687324816,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.846133521896595,0,0.0,0.8294019374386502,0,0.0
15.0,18,0,2,0,18,0,2.0,0.1111111111111111,6.023931442669447,2,2.0,0.381773760304142,2,2.0
20.0,18,0,10,0,18,0,46.0,2.5555555555555554,5.588885784857501,10,46.0,0.3232310194952078,10,46.0
25.0,22,2,7,0,22,0,59.0,2.6818181818181817,4.438107477658192,7,75.0,0.2469769141486951,7,75.0
30.0,22,0,8,2,24,0,98.0,4.454545454545454,7.427951023040265,8,98.0,0.40834556251024007,8,98.0
35.0,26,0,8,2,28,0,138.0,5.3076923076923075,8.437941469829333,8,138.0,0.37404217454858896,8,138.0
40.0,27,0,10,7,34,0,184.0,6.814814814814815,8.186782861390729,10,184.0,0.46349547067897634,10,184.0
45.0,26,0,10,12,38,0,234.0,9.0,7.393150247088792,10,234.0,0.4549014724820742,10,234.0
50.0,27,0,14,13,40,0,294.0,10.88888888888889,4.998831756484218,14,294.0,0.2587365791746404,14,294.0
55.0,29,0,10,15,44,0,202.0,6.9655172413793105,4.780514475416987,10,288.0,0.2991851220808655,10,288.0
60.0,26,0,13,18,44,0,246.0,9.461538461538462,4.820070431271502,13,256.0,0.23418541712263852,13,256.0
65.0,32,0,12,18,50,0,288.0,9.0,5.696341438702371,12,308.0,0.28902922574040246,12,308.0
70.0,28,0,12,22,50,0,348.0,12.428571428571429,5.86280613392225,12,358.0,0.2675019150329884,12,358.0
75.0,38,0,14,24,62,0,417.0,10.973684210526315,7.890858733119494,14,427.0,0.44397984504464144,14,427.0
80.0,35,0,14,27,62,0,487.0,13.914285714285715,7.417350991764087,14,497.0,0.4113906254865988,14,497.0
85.0,35,0,10,33,68,0,202.0,5.771428571428571,4.812126980356978,10,422.0,0.3023374541906917,10,422.0
90.0,34,0,11,34,68,0,82.0,2.411764705882353,5.797729747605339,11,260.0,0.31984933049163805,11,260.0
95.0,36,0,12,36,72,0,142.0,3.9444444444444446,6.798609780560612,12,161.0,0.30756338111451065,12,161.0
100.0,35,0,12,39,74,0,160.0,4.571428571428571,5.693337659909433,12,205.0,0.26076223658467484,12,205.0
105.0,34,0,12,44,78,0,215.0,6.323529411764706,6.583983820334186,12,239.0,0.338341971171875,12,239.0
110.0,36,0,10,48,84,0,99.0,2.75,6.433643446643966,10,195.0,0.34963902135720176,10,195.0
115.0,34,2,14,52,86,0,165.0,4.852941176470588,6.314244665665794,14,179.0,0.3093926220997573,14,179.0
120.0,34,0,12,54,88,0,184.0,5.411764705882353,5.781379300336183,12,224.0,0.28628786662281375,12,224.0
125.0,32,2,12,60,92,0,228.0,7.125,4.964067632945319,12,251.0,0.25160337093633317,12,251.0
130.0,34,0,11,60,94,0,141.0,4.147058823529412,4.412204429725534,11,250.0,0.19339289961502187,11,250.0
135.0,35,2,14,63,98,0,187.0,5.3428571428571425,5.048701583481685,14,219.0,0.22672442752443508,14,219.0
140.0,34,0,16,66,100,0,210.0,6.176470588235294,4.690903695185552,16,268.0,0.23014398273236583,16,268.0
145.0,36,3,10,69,105,0,231.0,6.416666666666667,6.040761883251503,10,284.0,0.31600510334122067,10,284.0
150.0,40,0,13,72,112,0,169.0,4.225,6.287499173396927,13,222.0,0.3795362784542574,13,222.0
155.0,35,0,18,77,112,0,249.0,7.114285714285714,4.297461199165938,18,302.0,0.25462389290117937,18,302.0
160.0,40,0,22,78,118,0,304.0,7.6,3.4778088435832943,22,374.0,0.1810573202250314,22,374.0
165.0,38,0,17,80,118,0,361.0,9.5,4.020544197219823,17,413.0,0.1398193642856829,17,413.0
170.0,43,0,13,81,124,0,238.0,5.534883720930233,5.226443282804253,13,392.0,0.2529340639642163,13,392.0
175.0,37,0,17,87,124,0,290.0,7.837837837837838,4.411802097494595,17,356.0,0.18065622582077603,17,356.0
180.0,40,0,20,88,128,0,351.0,8.775,3.7409593225291404,20,428.0,0.1264773833799348,20,428.0
185.0,41,0,15,93,134,0,407.0,9.926829268292684,4.987848107895684,15,477.0,0.25159916273690347,15,477.0
190.0,43,0,12,95,138,0,193.0,4.488372093023256,5.148960945026504,12,430.0,0.28058407320650675,12,430.0
195.0,42,0,15,98,140,0,114.0,2.7142857142857144,4.388245014514051,15,310.0,0.19417424900677682,15,310.0
200.0,43,0,16,101,144,0,147.0,3.4186046511627906,4.828412466441624,16,300.0,0.22440594762953456,16,300.0
205.0,41,0,14,105,146,0,176.0,4.2926829268292686,4.820952227712329,14,331.0,0.19092321762881048,14,331.0
210.0,42,0,10,108,150,0,117.0,2.7857142857142856,5.893401583265144,10,294.0,0.29427442157928474,10,294.0
215.0,37,0,16,113,150,0,184.0,4.972972972972973,3.9627913128760266,16,303.0,0.08499985073353898,16,303.0
220.0,45,0,19,117,162,0,237.0,5.266666666666667,5.573494280087025,19,368.0,0.31127520010768506,19,368.0
