step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.934590250890471,0,0.0,0.934939556693573,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.803016981113688,0,0.0,0.9273406596467221,0,0.0
15.0,18,0,3,0,18,0,4.0,0.2222222222222222,6.450693340968704,3,4.0,0.37229999174035644,3,4.0
20.0,18,0,9,0,18,0,43.0,2.388888888888889,6.607183285217113,9,43.0,0.3529788889344004,9,43.0
25.0,21,0,7,3,24,0,58.0,2.761904761904762,4.568901992280122,7,67.0,0.3220050693773724,7,67.0
30.0,21,0,8,3,24,0,97.0,4.619047619047619,7.248792271864652,8,97.0,0.39134475028765425,8,97.0
35.0,25,0,8,3,28,0,100.0,4.0,6.816834100848601,8,100.0,0.31222570130871635,8,100.0
40.0,27,0,13,7,34,0,155.0,5.7407407407407405,6.573822358280859,13,155.0,0.3732562272035816,13,155.0
45.0,29,0,11,9,38,0,108.0,3.7241379310344827,5.504578421363894,11,160.0,0.35389177841055686,11,160.0
50.0,29,0,15,11,40,0,176.0,6.068965517241379,5.907576494153918,15,176.0,0.30227289135417384,15,176.0
55.0,33,0,11,11,44,0,143.0,4.333333333333333,6.068022902788443,11,205.0,0.2555281039317119,11,205.0
60.0,29,0,7,15,44,0,139.0,4.793103448275862,6.50845139326869,7,182.0,0.2556947946244362,7,182.0
65.0,31,0,5,19,50,0,15.0,0.4838709677419355,7.150409588919008,5,128.0,0.365510551712245,5,128.0
70.0,25,0,8,25,50,0,33.0,1.32,5.752927855602934,8,74.0,0.26723235608613916,8,74.0
75.0,36,0,8,26,62,0,30.0,0.8333333333333334,6.878788507520633,8,80.0,0.40774382718766505,8,80.0
80.0,33,0,4,29,62,0,24.0,0.7272727272727273,8.91827138764309,4,71.0,0.5527902670092891,4,71.0
85.0,36,0,7,32,68,0,49.0,1.3611111111111112,6.7082897512518205,7,88.0,0.3398862120063862,7,88.0
90.0,32,0,18,36,68,0,116.0,3.625,4.353472974683774,18,155.0,0.2044480641155467,18,155.0
95.0,32,0,17,40,72,0,166.0,5.1875,2.8772525321127342,17,222.0,0.1620577303375405,17,222.0
100.0,33,0,12,41,74,0,192.0,5.818181818181818,4.888810598197,12,250.0,0.24834869672673818,12,250.0
105.0,37,0,10,41,78,0,95.0,2.5675675675675675,5.214194386772686,10,239.0,0.2533591095969262,10,239.0
110.0,38,0,12,46,84,0,130.0,3.4210526315789473,6.134733746502858,12,195.0,0.349172661186428,12,195.0
115.0,39,2,14,47,86,0,150.0,3.8461538461538463,5.843612841352876,14,215.0,0.28193166105754747,14,215.0
120.0,37,0,7,51,88,0,144.0,3.891891891891892,6.27186003207741,7,215.0,0.3034214900593713,7,215.0
125.0,37,2,6,55,92,0,30.0,0.8108108108108109,6.193934099351033,6,157.0,0.2909332075006211,6,157.0
130.0,34,0,11,60,94,0,70.0,2.0588235294117645,5.695134300918948,11,127.0,0.24763722122862183,11,127.0
135.0,35,2,14,63,98,0,99.0,2.8285714285714287,4.867285706457023,14,164.0,0.20178935789561428,14,164.0
140.0,33,0,8,67,100,0,112.0,3.393939393939394,6.460493308510386,8,158.0,0.30888188392699584,8,158.0
145.0,36,2,2,70,106,0,12.0,0.3333333333333333,6.684753708058739,2,128.0,0.37149446078667564,2,128.0
150.0,37,0,8,75,112,0,41.0,1.1081081081081081,7.394873831353588,8,90.0,0.4220131153995592,8,90.0
155.0,35,0,8,77,112,0,47.0,1.3428571428571427,5.920484612493784,8,103.0,0.2808974829202955,8,103.0
160.0,38,0,10,80,118,0,49.0,1.2894736842105263,6.16622248575469,10,104.0,0.2837218008176221,10,104.0
165.0,33,0,9,85,118,0,74.0,2.242424242424242,5.978864231272031,9,118.0,0.23069865403106588,9,118.0
170.0,35,0,14,89,124,0,134.0,3.8285714285714287,4.701662898234584,14,178.0,0.22468360273291846,14,178.0
175.0,31,0,15,93,124,0,171.0,5.516129032258065,2.554431270259021,15,229.0,0.11968090038941996,15,229.0
180.0,33,0,11,95,128,0,200.0,6.0606060606060606,4.618052517566611,11,246.0,0.23547241858141146,11,246.0
185.0,39,0,8,95,134,0,95.0,2.4358974358974357,6.229304227540672,8,201.0,0.3233189905046495,8,201.0
190.0,39,0,12,99,138,0,144.0,3.6923076923076925,6.252147328799303,12,177.0,0.3180853452703779,12,177.0
195.0,37,0,15,103,140,0,182.0,4.918918918918919,3.8476392650447244,15,225.0,0.1206334267408441,15,225.0
200.0,37,0,13,107,144,0,216.0,5.837837837837838,5.399846614038931,13,259.0,0.2644165235593014,13,259.0
205.0,37,0,8,109,146,0,60.0,1.6216216216216217,5.275816253237417,8,211.0,0.21065809327261545,8,211.0
