step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.490855983885597,0,0.0,0.8922095461182163,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.753536762016177,0,0.0,0.9099716799667746,0,0.0
15.0,18,0,4,0,18,0,5.0,0.2777777777777778,5.775939617766954,4,5.0,0.3595164424505815,4,5.0
20.0,18,0,10,0,18,0,51.0,2.8333333333333335,5.8294507123967385,10,51.0,0.3483700662559847,10,51.0
25.0,24,0,6,0,24,0,60.0,2.5,5.420653064929984,6,75.0,0.3402335518886722,6,75.0
30.0,22,0,8,2,24,0,100.0,4.545454545454546,7.120940926996491,8,100.0,0.3837499692568091,8,100.0
35.0,26,0,10,2,28,0,128.0,4.923076923076923,5.973079927350889,10,128.0,0.26564309948535414,10,128.0
40.0,27,0,12,7,34,0,186.0,6.888888888888889,6.695755162977359,12,186.0,0.393199938430952,12,186.0
45.0,30,0,9,8,38,0,186.0,6.2,6.482940977622546,9,220.0,0.3935607720533349,9,220.0
50.0,29,0,7,11,40,0,213.0,7.344827586206897,6.375275191471368,7,220.0,0.3308740407882296,7,220.0
55.0,32,0,6,12,44,0,98.0,3.0625,6.879279615044082,6,186.0,0.33035000185331037,6,186.0
60.0,28,0,10,16,44,0,130.0,4.642857142857143,6.85418781612761,10,141.0,0.28587830729430275,10,141.0
65.0,30,0,9,20,50,0,145.0,4.833333333333333,5.785764962164633,9,177.0,0.2802764309008151,9,177.0
70.0,25,0,8,25,50,0,184.0,7.36,7.184647946711919,8,193.0,0.3846695411516896,8,193.0
75.0,35,0,8,27,62,0,158.0,4.514285714285714,7.244073710435156,8,192.0,0.4307496272102026,8,192.0
80.0,31,0,12,31,62,0,210.0,6.774193548387097,7.761905229251725,12,219.0,0.4609593433188853,12,219.0
