step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.432250001540469,0,0.0,0.8997968922813642,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.15047635168436,0,0.0,0.877700324206198,0,0.0
15.0,18,0,1,0,18,0,1.0,0.05555555555555555,7.492728946031267,1,1.0,0.4151787811837427,1,1.0
20.0,17,0,8,1,18,0,36.0,2.1176470588235294,6.894310089147186,8,36.0,0.39640582033833693,8,36.0
25.0,21,0,7,3,24,0,59.0,2.8095238095238093,4.870379453259382,7,59.0,0.31547664915584694,7,59.0
30.0,20,0,12,4,24,0,115.0,5.75,4.8588987770302365,12,115.0,0.29946017242654327,12,115.0
35.0,24,0,8,4,28,0,138.0,5.75,4.327010039080613,8,151.0,0.24623600597031653,8,151.0
40.0,28,0,10,6,34,0,188.0,6.714285714285714,7.165104150265853,10,188.0,0.43287492614322337,10,188.0
45.0,32,0,7,6,38,0,126.0,3.9375,6.972850865144373,7,180.0,0.4178079432220289,7,180.0
50.0,30,0,12,10,40,0,175.0,5.833333333333333,6.137086674858333,12,175.0,0.33343609013733017,12,175.0
55.0,32,0,11,12,44,0,187.0,5.84375,5.508506573759056,11,217.0,0.2672600401239994,11,217.0
60.0,28,0,9,16,44,0,229.0,8.178571428571429,6.968292887570636,9,232.0,0.33344227546861427,9,232.0
65.0,31,0,8,19,50,0,56.0,1.8064516129032258,6.26541442848671,8,184.0,0.3049663541272961,8,184.0
70.0,26,0,11,24,50,0,73.0,2.8076923076923075,6.71160142024183,11,106.0,0.33560204551047923,11,106.0
75.0,37,0,9,25,62,0,71.0,1.9189189189189189,7.447460917624824,9,104.0,0.41048846611859485,9,104.0
80.0,31,0,5,31,62,0,78.0,2.5161290322580645,8.988211413423672,5,101.0,0.5717985796605397,5,101.0
85.0,35,0,3,33,68,0,5.0,0.14285714285714285,6.410604640578806,3,65.0,0.3540971867142249,3,65.0
90.0,32,0,13,36,68,0,54.0,1.6875,6.153060167778165,13,70.0,0.2770568899023261,13,70.0
95.0,32,0,10,40,72,0,73.0,2.28125,4.87311224942564,10,108.0,0.22369685862789293,10,108.0
100.0,32,0,9,42,74,0,94.0,2.9375,6.949784025112669,9,118.0,0.3581152081312607,9,118.0
105.0,32,0,11,46,78,0,108.0,3.375,5.468223221141686,11,132.0,0.274648674212228,11,132.0
110.0,33,0,18,51,84,0,182.0,5.515151515151516,4.97663351108867,18,206.0,0.31256708143301837,18,206.0
115.0,34,2,14,52,86,0,211.0,6.205882352941177,4.811722938504508,14,257.0,0.2900053087117386,14,257.0
120.0,34,0,9,54,88,0,222.0,6.529411764705882,4.90770751845748,9,256.0,0.21781088600864573,9,256.0
125.0,38,2,10,54,92,0,131.0,3.4473684210526314,5.949516690109951,10,233.0,0.2785534684943885,10,233.0
130.0,35,0,14,59,94,0,182.0,5.2,5.472288135156652,14,214.0,0.214843391650635,14,214.0
135.0,36,2,16,62,98,0,221.0,6.138888888888889,4.852904496920803,16,260.0,0.18509378690699943,16,260.0
140.0,34,0,10,66,100,0,251.0,7.382352941176471,6.205124590850266,10,286.0,0.2890588707541338,10,286.0
145.0,37,2,9,69,106,0,69.0,1.864864864864865,5.806383716508961,9,237.0,0.31555143284497683,9,237.0
150.0,38,0,9,74,112,0,48.0,1.263157894736842,6.675061915749723,9,141.0,0.4165113744409176,9,141.0
155.0,38,0,10,74,112,0,59.0,1.5526315789473684,4.817635751733431,10,171.0,0.22945539997748987,10,171.0
160.0,41,0,14,77,118,0,76.0,1.853658536585366,5.480322062280053,14,189.0,0.25568213892398783,14,189.0
165.0,38,0,13,80,118,0,130.0,3.4210526315789473,4.880700844035786,13,226.0,0.17423459577784875,13,226.0
170.0,39,0,20,85,124,0,215.0,5.512820512820513,4.212034570707163,20,311.0,0.18974690106867573,20,311.0
175.0,35,0,21,89,124,0,284.0,8.114285714285714,2.212359063323698,21,392.0,0.09125061578778086,21,392.0
180.0,37,0,16,91,128,0,333.0,9.0,4.2309260391387555,16,440.0,0.20633079087315429,16,440.0
185.0,43,0,11,91,134,0,232.0,5.395348837209302,5.708114569655294,11,396.0,0.29628544839776694,11,396.0
190.0,43,0,11,95,138,0,208.0,4.837209302325581,6.042497265797132,11,317.0,0.3014059946041676,11,317.0
195.0,41,0,18,99,140,0,244.0,5.951219512195122,3.936382919240772,18,337.0,0.1328453903371437,18,337.0
200.0,41,0,16,103,144,0,296.0,7.219512195121951,5.2891831250272405,16,384.0,0.24921140938957054,16,384.0
205.0,40,0,12,106,146,0,100.0,2.5,4.456904529071123,12,327.0,0.18172297651442548,12,327.0
210.0,40,0,14,110,150,0,128.0,3.2,5.529632426370638,14,242.0,0.24705361291875588,14,242.0
215.0,37,0,18,113,150,0,171.0,4.621621621621622,3.670748597152859,18,286.0,0.06555473447561498,18,286.0
220.0,45,0,14,117,162,0,214.0,4.7555555555555555,6.602952977843047,14,322.0,0.3663324210894594,14,322.0
225.0,42,0,8,120,162,0,88.0,2.0952380952380953,6.397973195258904,8,274.0,0.34852399740178747,8,274.0
230.0,43,0,10,125,168,0,60.0,1.3953488372093024,5.431606222518983,10,186.0,0.2836375273308872,10,186.0
235.0,40,0,16,128,168,0,97.0,2.425,3.852165820086719,16,235.0,0.14733526156268587,16,235.0
240.0,41,0,16,131,172,0,146.0,3.5609756097560976,4.677270043549955,16,278.0,0.18447838677963455,16,278.0
245.0,40,0,13,134,174,0,107.0,2.675,5.129396956800669,13,265.0,0.21956388304732483,13,265.0
250.0,39,0,17,139,178,0,186.0,4.769230769230769,4.226985064859254,17,292.0,0.14980717284240153,17,292.0
255.0,43,0,23,141,184,0,255.0,5.930232558139535,4.258808529356362,23,361.0,0.19471177506426807,23,361.0
260.0,43,0,28,145,188,0,386.0,8.976744186046512,3.697431642381817,28,492.0,0.21420943890088118,28,492.0
265.0,43,0,25,147,190,0,414.0,9.627906976744185,2.8647072097155477,25,577.0,0.16585087773250284,25,577.0
270.0,45,0,23,149,194,0,381.0,8.466666666666667,4.3624514774086345,23,579.0,0.2079530516742543,23,579.0
275.0,45,0,13,149,194,0,180.0,4.0,4.138822007185676,13,528.0,0.13028548146091842,13,528.0
280.0,46,0,10,154,200,0,79.0,1.7173913043478262,5.450962613959523,10,410.0,0.2647162310428717,10,410.0
285.0,43,0,13,157,200,0,101.0,2.3488372093023258,3.9742241010518105,13,391.0,0.15071376346775342,13,391.0
290.0,49,2,16,161,210,0,133.0,2.7142857142857144,5.811220975991471,16,375.0,0.31821692363332305,16,375.0
295.0,48,0,11,164,212,0,78.0,1.625,5.692896074043188,11,371.0,0.3215607910935769,11,371.0
300.0,45,2,18,169,214,0,151.0,3.3555555555555556,4.475244251236156,18,394.0,0.20629804427277748,18,394.0
305.0,47,0,21,171,218,0,209.0,4.446808510638298,3.3504852125281754,21,453.0,0.13546706854046403,21,453.0
310.0,44,2,19,176,220,0,262.0,5.954545454545454,3.593290350482548,19,471.0,0.14576823854640908,19,471.0
315.0,47,0,19,177,224,0,321.0,6.829787234042553,4.009075788520091,19,545.0,0.14838712556111916,19,545.0
320.0,44,2,21,182,226,0,413.0,9.386363636363637,2.722420482438569,21,645.0,0.11436168088307155,21,645.0
325.0,48,2,24,184,232,0,493.0,10.270833333333334,2.954659939654911,24,723.0,0.1703259227886647,24,723.0
330.0,48,0,20,186,234,0,561.0,11.6875,3.937888468746627,20,766.0,0.20081325804734615,20,766.0
335.0,52,0,16,186,238,0,352.0,6.769230769230769,4.003490644487401,16,683.0,0.17666219990622764,16,683.0
340.0,49,0,15,191,240,0,128.0,2.6122448979591835,4.123361172121852,15,424.0,0.16064138205855416,15,424.0
345.0,51,0,18,193,244,0,156.0,3.0588235294117645,4.070128900587157,18,471.0,0.17266878217751844,18,471.0
350.0,48,0,17,198,246,0,175.0,3.6458333333333335,4.064140558435649,17,481.0,0.1323158752433319,17,481.0
