#{"t_start": 1788075811.044171, "env_id": "None"}
r,l,t
-228.219738,360,16.042712
-186.755643,360,27.131686
-229.669334,360,38.939445
-211.18622,360,50.543165
-204.919361,360,61.631637
-351.761299,360,74.881534
-91.237183,360,83.903332
-27.81537,360,90.800727
-27.778065,360,97.749479
-25.441472,360,104.464035
-24.858493,360,111.333967
-32.746317,360,118.612297
-40.263113,360,126.361197
-42.632797,360,134.1225
-34.857512,360,141.541618
-33.686773,360,148.7701
-32.237836,360,156.077556
-33.080874,360,163.317462
-27.904104,360,170.334315
-28.887835,360,177.380166
-32.975432,360,184.590991
-30.303195,360,191.68337
-39.756889,360,199.215185
-33.995103,360,206.55653
-40.060795,360,214.170146
-84.274754,360,223.07858
-43.432146,360,230.900913
-67.211431,360,240.178853
-115.154209,360,250.309683
-116.900754,360,260.707452
-150.407161,360,271.468627
-219.812291,360,282.752376
-159.853678,360,294.072131
-154.400244,360,305.662827
-134.882044,360,316.830295
-150.484738,360,328.248063
-88.573616,360,338.058625
-109.057982,360,348.417394
-106.000793,360,358.803739
-99.820349,360,368.652778
-90.674259,360,378.462594
-119.499782,360,389.295416
-100.147143,360,399.608682
-120.609099,360,410.486076
-77.570888,360,419.680039
-70.276071,360,428.808271
-64.330858,360,437.622218
-69.308574,360,446.637579
-59.940527,360,455.312196
-80.065946,360,464.897595
-79.724887,360,474.353643
-93.574494,360,484.309272
-88.485318,360,494.333325
-45.057366,360,502.423018
-43.083619,360,510.16393
-44.991143,360,518.372948
-48.266886,360,526.377712
-57.344744,360,534.987004
-72.327888,360,544.278902
-73.651402,360,553.533934
-59.959958,360,562.363952
-56.638467,360,570.633765
-64.267115,360,579.297605
-71.061821,360,587.897506
-43.059017,360,595.789988
-40.733649,360,603.428958
-50.240025,360,611.4988
-66.692162,360,619.817663
-68.042109,360,628.516626
-41.415978,360,636.191685
-67.081056,360,644.895278
-52.593451,360,652.969435
