#{"t_start": 1788077293.9013898, "env_id": "None"}
r,l,t
-56.397748,360,10.948566
-57.619397,360,19.709741
-52.788815,360,28.230932
-84.17597,360,37.80047
-61.523681,360,47.062863
-52.173743,360,55.508794
-53.661511,360,63.772166
-49.487885,360,71.716345
-59.1817,360,80.406005
-68.140121,360,88.964541
-55.83181,360,97.123991
-51.625583,360,105.309556
-53.705457,360,113.499847
-58.068617,360,121.903254
-56.609332,360,130.001724
-54.8196,360,138.054655
-50.753703,360,146.001652
-40.724493,360,153.766325
-38.511745,360,161.08435
-45.707336,360,169.117913
-62.841007,360,177.685884
-61.087655,360,186.000093
-60.662319,360,194.575594
-54.562822,360,203.114647
-53.165429,360,211.235991
-44.421789,360,219.01485
-38.305064,360,226.593813
