scenario,seed,improvement_pct__mean_system_total_waiting_time,improvement_pct__mean_system_total_stopped,improvement_pct__mean_system_mean_speed,improvement_pct__throughput_veh_per_hour
burst,401,76.19815323184427,47.87185477590698,50.797993236712145,-4.688255195746738
burst,402,73.82368285647183,43.83212619163494,43.87338464680116,-5.323741007194244
burst,403,76.69494343943789,47.955218608189995,48.779051527468376,-4.442298406566876
burst,404,74.37982947599946,45.2810557730745,45.81078299586459,-5.060240963855411
burst,405,74.43529634565112,46.06198622528327,48.04753533385911,-4.0963855421686635
direction_switch,401,94.07237123663144,82.69795734973906,114.17948845406822,3.5158211953792184
direction_switch,402,93.83043355867684,82.0614270386266,119.63855845282087,3.720462543991956
direction_switch,403,94.64968957643207,84.41054724422281,135.1046522997514,3.1
direction_switch,404,94.1748897370874,83.20463320463321,125.25822717389265,3.877139979859013
direction_switch,405,94.24633928849946,83.48912857387434,123.8664915040755,3.308270676691729
unseen_mixed,401,92.86302793855315,80.33800329171852,126.04722756835716,3.8874680306905605
unseen_mixed,402,92.32842629069044,79.07593411008436,120.05230154068411,4.13898824731731
unseen_mixed,403,92.4631169276946,79.42811115585985,119.39878461679663,4.0367910066428205
unseen_mixed,404,91.82154691416466,78.16542690815005,114.15846976771738,4.141104294478517
unseen_mixed,405,92.24124182659082,78.61352676915469,114.68268288854668,3.9775624681285175
