scenario,seed,improvement_pct__mean_system_total_waiting_time,improvement_pct__mean_system_total_stopped,improvement_pct__mean_system_mean_speed,improvement_pct__throughput_veh_per_hour
burst,401,48.46589302406842,11.807732497387665,5.09075654210741,-2.2794846382556986
burst,402,42.79837648091269,10.086613812382565,0.48026512764603924,-1.250625312656328
burst,403,48.44891938403772,14.73913817663818,7.175466109895165,-0.9013520280420632
burst,404,47.21052566913158,11.633356915458087,5.323175475153849,-1.5492253873063242
burst,405,42.95734019214183,9.803557330608827,2.614867960072627,-1.5825914935707108
direction_switch,401,28.30404889228419,-2.079934747145187,-2.435024489089075,-0.04849660523763337
direction_switch,402,25.754951903022338,-1.7110266159695808,-1.6301574461922546,-0.14520813165537272
direction_switch,403,27.7624917455426,1.422093981863142,-0.9992704357673999,0.1457017969888295
direction_switch,404,22.951993938976514,-3.4652450276809432,-1.614064172727649,0.0
direction_switch,405,26.839276188913054,-3.254817987152033,-1.8490103492132943,0.1457725947521866
unseen_mixed,401,2.923874526506882,-1.5550487248600384,0.8444307069055353,-0.09837678307918211
unseen_mixed,402,-6.685531099450186,-10.012674271229413,-1.9463409785883297,0.0982318271119731
unseen_mixed,403,3.312475168851807,-4.736518351445565,-0.7370442637153437,-0.04909180166909894
unseen_mixed,404,-15.512768989076028,-17.951517798645984,-5.048713623227048,-0.09808729769497081
unseen_mixed,405,-9.701787022943789,-14.119199472179453,-3.9024790741193534,-0.04901960784312611
