feature_group,feature_count,mean_abs_gradient,occlusion_action_flip_rate,occlusion_mean_abs_chosen_q_change,permutation_action_flip_rate,permutation_mean_abs_chosen_q_change,normalised_mean_abs_gradient,normalised_permutation_action_flip_rate,normalised_permutation_mean_abs_chosen_q_change,combined_importance,seed_mean_combined_importance,seed_std_combined_importance,seed_ci95_half_width
phase,4,0.5544957518577576,0.485,1.2323764562606812,0.38,2.187654972076416,0.09203889246578738,0.39895013123359585,0.506104752249711,0.3323645919830314,0.34078615425161946,0.0,0.0
minimum_green,1,1.2826790809631348,0.3475,2.5726213455200195,0.185,0.9635453820228577,0.21290760408055467,0.19422572178477693,0.22291216077239692,0.21001516221257618,0.23136648425445305,0.0,0.0
incoming_queue,4,1.0176886320114136,0.06,0.12786057591438293,0.1575,0.3577190339565277,0.16892272709310266,0.16535433070866143,0.08275678997211196,0.139011282591292,0.1175211272132536,0.0,0.0
pressure,4,0.8245227336883545,0.055,0.11711309105157852,0.175,0.40187668800354004,0.13685976667501462,0.1837270341207349,0.09297247701904131,0.13785309260493028,0.1231259338641582,0.0,0.0
outgoing_queue,4,0.5977171063423157,0.025,0.03281678631901741,0.04,0.08663670718669891,0.09921306031883595,0.041994750656167985,0.020043036852761716,0.05375028260925521,0.0599197225768639,0.0,0.0
local_queue,1,0.7118948101997375,0.0025,0.031070716679096222,0.005,0.047254856675863266,0.11816503492299765,0.005249343832020998,0.010932211813928575,0.04478219685631574,0.044869051973434736,0.0,0.0
intersection_identity,4,0.3708600699901581,0.225,0.5628631114959717,0.0075,0.18312282860279083,0.061557820753935504,0.007874015748031496,0.04236469415161707,0.03726551021786135,0.0369473666539741,0.0,0.0
network_context,3,0.4661023020744324,0.0025,0.055711422115564346,0.0025,0.04639790579676628,0.07736675982630335,0.002624671916010499,0.010733959841889355,0.0302417971947344,0.031085025878536465,0.0,0.0
simulation_progress,1,0.19862039387226105,0.0025,0.07928776741027832,0.0,0.04832557216286659,0.0329683338634682,0.0,0.011179917326542114,0.014716083730003438,0.014379133333706511,0.0,0.0
