decision_index,case_labels,step,seed,agent,controller,raw_action,executed_action,expert_action,shield_intervened,q_margin,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,q_0,q_1,q_2,q_3,mask_0,mask_1,mask_2,mask_3
178,highest_margin,220.0,1491,5,dqn_shielded,2,2,2,0,9.476024627685549,0.0,0.0,1.0,0.0,0.0,-0.0996679961681366,0.0,0.0996679961681366,0.0,0.0,0.0,0.1973753273487091,0.0,0.0996679961681366,0.0,0.0996679961681366,0.0,0.0996679961681366,0.049958374351263,0.0996679961681366,0.0353406146168708,0.3666666746139526,0.0,0.0,1.0,0.0,-10.11595344543457,-9.708953857421877,-0.0901503562927246,-9.56617546081543,0,0,1,0
198,lowest_margin,245.0,1491,5,dqn_shielded,0,0,1,0,0.1586131453514099,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.1973753273487091,0.0,0.2913126349449157,0.0,0.0996679961681366,0.0,0.2913126349449157,0.0,0.2913126349449157,0.0,0.1973753273487091,0.1853332072496414,0.2449186593294143,0.0414340756833553,0.4083333313465118,0.0,0.0,1.0,0.0,-0.7612257599830627,-0.9198389053344728,-2.7582619190216064,-2.4980242252349854,1,1,1,1
145,expert_disagreement,180.0,1491,2,dqn_shielded,0,0,1,0,0.8730642795562744,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0996679961681366,0.0,0.0996679961681366,0.0,0.0,0.0,0.0996679961681366,0.0,0.0996679961681366,0.0,0.049958374351263,0.049958374351263,0.0996679961681366,0.0353406146168708,0.3000000119209289,0.0,1.0,0.0,0.0,-0.0637066215276718,-0.9367709159851074,-2.2600257396698,-2.3256468772888184,1,1,1,1
