step,seed,agent,controller,raw_action,executed_action,expert_action,shield_intervened,q_margin,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,q_0,q_1,q_2,q_3,mask_0,mask_1,mask_2,mask_3
0.0,1491,1,dqn_shielded,0,0,0,0,8.620020866394043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2681697607040405,-9.305268287658691,-8.888190269470215,-10.37585163116455,1,0,0,0
0.0,1491,2,dqn_shielded,0,0,0,0,8.066967010498047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15729990601539612,-9.044270515441895,-7.909667491912842,-9.962981224060059,1,0,0,0
0.0,1491,5,dqn_shielded,0,0,0,0,8.481938362121582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0445827841758728,-9.011284828186035,-8.437355995178223,-10.255986213684082,1,0,0,0
0.0,1491,6,dqn_shielded,0,0,0,0,7.730100154876709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30729496479034424,-7.671370506286621,-7.422805309295654,-8.850297927856445,1,0,0,0
5.0,1491,1,dqn_shielded,0,0,0,0,8.631559371948242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333767950535,1.0,0.0,0.0,0.0,-0.27111297845840454,-9.326366424560547,-8.90267276763916,-10.398754119873047,1,0,0,0
5.0,1491,2,dqn_shielded,0,0,0,0,8.093461036682129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333767950535,0.0,1.0,0.0,0.0,0.1562654972076416,-9.068689346313477,-7.937195777893066,-9.990900993347168,1,0,0,0
5.0,1491,5,dqn_shielded,0,0,0,0,8.5048189163208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333767950535,0.0,0.0,1.0,0.0,0.04311245679855347,-9.041399002075195,-8.461706161499023,-10.285459518432617,1,0,0,0
5.0,1491,6,dqn_shielded,0,0,0,0,7.756303787231445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333767950535,0.0,0.0,0.0,1.0,0.3066336214542389,-7.699563980102539,-7.449670314788818,-8.878673553466797,1,0,0,0
10.0,1491,1,dqn_shielded,0,0,0,0,2.6657333374023438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666753590107,1.0,0.0,0.0,0.0,-0.2962385416030884,-4.092859268188477,-3.6995792388916016,-2.9619717597961426,1,1,1,1
10.0,1491,2,dqn_shielded,0,0,0,0,2.267712354660034,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666753590107,0.0,1.0,0.0,0.0,0.1888233870267868,-2.342970371246338,-2.0788888931274414,-2.1354246139526367,1,1,1,1
10.0,1491,5,dqn_shielded,0,0,0,0,2.016845703125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666753590107,0.0,0.0,1.0,0.0,0.18405592441558838,-1.9929043054580688,-1.8327898979187012,-2.2599081993103027,1,1,1,1
10.0,1491,6,dqn_shielded,0,0,0,0,2.012343168258667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666753590107,0.0,0.0,0.0,1.0,0.3888121545314789,-2.0871803760528564,-1.6235311031341553,-2.481874704360962,1,1,1,1
15.0,1491,1,dqn_shielded,0,0,0,0,2.6607577800750732,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,1.0,0.0,0.0,0.0,-0.29755479097366333,-4.093332290649414,-3.693023920059204,-2.958312511444092,1,1,1,1
15.0,1491,2,dqn_shielded,0,0,0,0,2.2777211666107178,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.0,1.0,0.0,0.0,0.1844080090522766,-2.3581366539001465,-2.093313217163086,-2.1491281986236572,1,1,1,1
15.0,1491,5,dqn_shielded,0,0,0,0,2.0350403785705566,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.0,0.0,1.0,0.0,0.17922651767730713,-2.0135364532470703,-1.855813980102539,-2.2738633155822754,1,1,1,1
15.0,1491,6,dqn_shielded,0,0,0,0,2.0122623443603516,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.0,0.0,0.0,1.0,0.3866370916366577,-2.092111349105835,-1.6256252527236938,-2.4843523502349854,1,1,1,1
20.0,1491,1,dqn_shielded,2,2,2,0,1.7822233438491821,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0996679961681366,0.0,0.0,0.0,0.0996679961681366,0.0,0.0,0.0,0.0,0.0,0.049958374351263046,0.012499349191784859,0.049958374351263046,0.021647252142429352,0.03333333507180214,1.0,0.0,0.0,0.0,-2.643601417541504,-3.4847724437713623,-0.2946370840072632,-2.0768604278564453,1,1,1,1
20.0,1491,2,dqn_shielded,0,0,0,0,2.095494031906128,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012499349191784859,0.049958374351263046,0.021647252142429352,0.03333333507180214,0.0,1.0,0.0,0.0,0.15481522679328918,-2.3023288249969482,-1.9406788349151611,-2.0481631755828857,1,1,1,1
20.0,1491,5,dqn_shielded,0,0,0,0,1.8025341033935547,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012499349191784859,0.049958374351263046,0.021647252142429352,0.03333333507180214,0.0,0.0,1.0,0.0,0.2233709692955017,-1.8014678955078125,-1.5791630744934082,-1.995591163635254,1,1,1,1
