seed,improvement_pct__mean_system_total_waiting_time,improvement_pct__mean_system_total_stopped,improvement_pct__mean_system_mean_speed,improvement_pct__throughput_veh_per_hour
701,-1337.3034542528167,-440.67190850607574,-49.92839607261328,-2.731411229135053
702,-1349.6146788990827,-530.4835318850736,-53.986235581201456,-1.5691868758915835
703,-1447.9524290362392,-565.4329147389293,-57.38070568359566,-4.761904761904762
704,-1386.2953423481433,-488.69565217391306,-54.03431116651958,-7.062146892655368
705,-1736.0847741215841,-592.6436781609195,-55.79014434725871,-3.3674963396778916
