method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate
dqn_raw,701,1800,360,1800.0,-345.5,21.57777777777778,129.0,0.9492497343638939,4.3,3.838888888888889,18.0,7.971958188701766,13.117204812670147,682.0,659.0,0.0,1318.0,1440,0,0.0,1437,0.9979166666666668
dqn_raw,702,1800,360,1800.0,-375.5,24.82777777777778,158.0,1.0305180700054346,4.793103448275862,4.1722222222222225,12.0,7.892867334011881,13.183867564890146,717.0,703.0,0.0,1406.0,1440,0,0.0,1433,0.9951388888888888
dqn_raw,703,1800,360,1800.0,-401.0,26.458333333333332,154.0,1.0455282274171998,4.529411764705882,4.455555555555556,13.0,7.885761840537835,12.80805660492112,733.0,713.0,0.0,1426.0,1440,0,0.0,1432,0.9944444444444444
dqn_raw,704,1800,360,1800.0,-372.5,23.57777777777778,88.0,1.026783744434054,4.578947368421052,4.138888888888889,12.0,7.925322363588705,13.141582720921392,723.0,706.0,0.0,1412.0,1440,0,0.0,1437,0.9979166666666668
dqn_raw,705,1800,360,1800.0,-343.5,20.833333333333332,101.0,0.9144676901875162,4.04,3.816666666666667,13.0,8.11008861859506,12.514590320810584,698.0,680.0,0.0,1360.0,1440,0,0.0,1433,0.9951388888888888
dqn_shielded,701,1800,360,1800.0,-345.5,21.57777777777778,129.0,0.9492497343638939,4.3,3.838888888888889,18.0,7.971958188701766,13.117204812670147,682.0,659.0,0.0,1318.0,1440,0,0.0,1437,0.9979166666666668
dqn_shielded,702,1800,360,1800.0,-375.5,24.82777777777778,158.0,1.0305180700054346,4.793103448275862,4.1722222222222225,12.0,7.892867334011881,13.183867564890146,717.0,703.0,0.0,1406.0,1440,0,0.0,1433,0.9951388888888888
dqn_shielded,703,1800,360,1800.0,-401.0,26.458333333333332,154.0,1.0455282274171998,4.529411764705882,4.455555555555556,13.0,7.885761840537835,12.80805660492112,733.0,713.0,0.0,1426.0,1440,0,0.0,1432,0.9944444444444444
dqn_shielded,704,1800,360,1800.0,-372.5,23.57777777777778,88.0,1.026783744434054,4.578947368421052,4.138888888888889,12.0,7.925322363588705,13.141582720921392,723.0,706.0,0.0,1412.0,1440,0,0.0,1437,0.9979166666666668
dqn_shielded,705,1800,360,1800.0,-343.5,20.833333333333332,101.0,0.9144676901875162,4.04,3.816666666666667,13.0,8.11008861859506,12.514590320810584,698.0,680.0,0.0,1360.0,1440,1,0.0006944444444444,1434,0.9958333333333332
fixed,701,1800,360,1800.0,-875.5,202.99166666666667,873.0,8.106927175036217,30.103448275862068,9.727777777777778,25.0,6.511406250993499,12.876589708022353,682.0,658.0,0.0,1316.0,0,0,0.0,0,0.0
fixed,702,1800,360,1800.0,-983.25,223.92777777777778,811.0,8.217092730776459,28.0,10.925,32.0,6.351693539365296,13.183867564890146,717.0,698.0,0.0,1396.0,0,0,0.0,0,0.0
fixed,703,1800,360,1800.0,-1062.75,249.79722222222222,787.0,8.737747373423463,27.964285714285715,11.808333333333334,28.0,6.241369464516764,12.80805660492112,733.0,711.0,0.0,1422.0,0,0,0.0,0,0.0
fixed,704,1800,360,1800.0,-995.25,230.025,742.0,8.377434012313609,28.53846153846154,11.058333333333334,26.0,6.360992732341239,13.141582720921392,723.0,701.0,0.0,1402.0,0,0,0.0,0,0.0
fixed,705,1800,360,1800.0,-940.75,220.125,778.0,8.488116405540366,29.05,10.452777777777778,27.0,6.454850326291757,12.514590320810584,698.0,676.0,0.0,1352.0,0,0,0.0,0,0.0
