method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,episode,expert_episode,epsilon,replay_size,gradient_step,mean_loss,mean_td_loss,mean_imitation_loss,shield_rate,expert_agreement_rate,exploratory_actions,device
shared_dqn,812,1800,360,1800.0,-90.55000000000005,33.483333333333334,144.0,1.390692481596345,6.0,5.030555555555556,16.0,7.583992563483381,14.95725925026968,712.0,686.0,0.0,1372.0,12,False,0.10297866666666666,17280,4071,0.05536603001463744,0.03141339734817545,0.15968421151240667,0.05277777777777778,0.95,156,cpu
shared_dqn,813,1800,360,1800.0,-98.25000000000004,34.66111111111111,144.0,1.3312889499799723,5.3,5.458333333333333,18.0,7.395267436948153,14.231565191718744,745.0,710.0,0.0,1420.0,13,False,0.09625866666666666,18720,4431,0.05546667091548443,0.03194374479094727,0.15681950077414514,0.05,0.95625,127,cpu
shared_dqn,814,1800,360,1800.0,-119.14999999999993,45.58888888888889,158.0,1.5655242682305976,5.666666666666667,6.6194444444444445,18.0,7.098584314005444,12.975211022692184,786.0,768.0,0.0,1536.0,14,False,0.08953866666666667,20160,4791,0.05524763270902137,0.03116341282406615,0.16056145889063675,0.05,0.9513888888888888,135,cpu
shared_dqn,815,1800,360,1800.0,-68.74999999999984,23.025,129.0,1.0533537712655179,4.961538461538462,3.8194444444444446,13.0,8.046381326920654,14.268764282339212,667.0,644.0,0.0,1288.0,15,False,0.08281866666666667,21600,5151,0.054540547511229914,0.030847876084347567,0.15795113636801641,0.03819444444444445,0.9576388888888889,115,cpu
shared_dqn,816,1800,360,1800.0,-89.04999999999991,31.913888888888888,206.0,1.2862148811703285,7.357142857142857,4.947222222222222,17.0,7.583591223460977,13.201148376331329,723.0,705.0,0.0,1410.0,16,False,0.07609866666666666,23040,5511,0.054425150404373804,0.031469425354670316,0.1530381617653701,0.03263888888888889,0.9708333333333333,100,cpu
shared_dqn,817,1800,360,1800.0,-84.65000000000005,27.802777777777777,130.0,1.147979116810433,5.3,4.7027777777777775,13.0,7.662763336085107,12.69499100695928,732.0,699.0,0.0,1398.0,17,False,0.06937866666666667,24480,5871,0.051719132443476055,0.02998819086804158,0.1448729386760129,0.03958333333333333,0.9625,99,cpu
shared_dqn,818,1800,360,1800.0,-68.24999999999983,22.36111111111111,115.0,0.9752097438328143,4.888888888888889,3.7916666666666665,12.0,8.16874537157782,14.795303550089113,716.0,693.0,0.0,1386.0,18,False,0.06265866666666667,25920,6231,0.051450399925104445,0.03034453429023011,0.14070576541125773,0.027083333333333334,0.9715277777777778,75,cpu
shared_dqn,819,1800,360,1800.0,-98.15000000000006,34.18333333333333,140.0,1.2896084785314041,4.44,5.4527777777777775,15.0,7.3986266555298155,12.930237364208274,757.0,727.0,0.0,1454.0,19,False,0.05593866666666668,27360,6591,0.051854634295321174,0.030578814113202193,0.14183879592973325,0.027777777777777776,0.9743055555555555,82,cpu
shared_dqn,820,1800,360,1800.0,-94.29999999999977,34.42777777777778,180.0,1.3402876074007135,5.625,5.238888888888889,18.0,7.592303773495592,13.53073613326894,713.0,695.0,0.0,1390.0,20,False,0.049218666666666674,28800,6951,0.051816402168737515,0.030666313612730138,0.14100058414041997,0.03263888888888889,0.9652777777777778,90,cpu
shared_dqn,821,1800,360,1800.0,-94.99999999999996,32.575,164.0,1.2104714380285646,5.466666666666667,5.277777777777778,16.0,7.558752688286672,13.361111445703509,778.0,755.0,0.0,1510.0,21,False,0.04249866666666667,30240,7311,0.052618719104470475,0.03140357365288461,0.14143429776239727,0.027083333333333334,0.9722222222222222,77,cpu
shared_dqn,822,1800,360,1800.0,-85.14999999999993,28.147222222222222,125.0,1.0737129519791715,4.466666666666667,4.730555555555555,16.0,7.795424896183335,13.221851284835294,738.0,721.0,0.0,1442.0,22,False,0.03577866666666668,31680,7671,0.05122662406000826,0.03043672136393272,0.13859934517078928,0.020833333333333332,0.9791666666666666,60,cpu
shared_dqn,823,1800,360,1800.0,-86.29999999999981,31.038888888888888,225.0,1.2073859712335482,7.03125,4.794444444444444,17.0,7.705592503094979,13.780373071498927,715.0,688.0,0.0,1376.0,23,False,0.029058666666666677,33120,8031,0.04752648784261611,0.028807024994037218,0.12479641356815895,0.020833333333333332,0.9791666666666666,47,cpu
shared_dqn,824,1800,360,1800.0,-75.34999999999984,24.622222222222224,115.0,1.0553458632154997,4.055555555555555,4.186111111111111,14.0,7.819767188543627,13.58320201399272,688.0,667.0,0.0,1334.0,24,False,0.022338666666666673,34560,8391,0.04814666124681632,0.0299460350173629,0.12133750401230323,0.0125,0.9868055555555556,40,cpu
shared_dqn,825,1800,360,1800.0,-83.89999999999986,27.325,127.0,1.0872500663637004,4.5,4.661111111111111,13.0,7.687134059310228,14.99844663695236,730.0,714.0,0.0,1428.0,25,False,0.01561866666666667,36000,8751,0.04624005147876839,0.029122484089910156,0.11411711107939482,0.007638888888888889,0.9902777777777778,28,cpu
shared_dqn,826,1800,360,1800.0,-77.84999999999981,24.658333333333335,125.0,1.008188173001713,5.0,4.325,13.0,7.948533055938977,13.791286959195126,758.0,733.0,0.0,1466.0,26,False,0.010000000000000009,37440,9111,0.04406089783232245,0.02800085377982921,0.10706695658154786,0.010416666666666666,0.9881944444444445,21,cpu
shared_dqn,827,1800,360,1800.0,-85.1,27.925,174.0,1.1179921747553094,6.214285714285714,4.727777777777778,16.0,7.676985376219395,13.413442751883744,733.0,712.0,0.0,1424.0,27,False,0.010000000000000009,38880,9471,0.0433067548657871,0.027373094480329502,0.10622439842878116,0.008333333333333333,0.9944444444444445,20,cpu
shared_dqn,828,1800,360,1800.0,-93.25000000000001,30.394444444444446,175.0,1.1000684810702208,5.0,5.180555555555555,17.0,7.649392135045753,14.118863580293155,767.0,738.0,0.0,1476.0,28,False,0.010000000000000009,40320,9831,0.04015833543510073,0.025924660553897007,0.09489116222701138,0.003472222222222222,0.99375,17,cpu
shared_dqn,829,1800,360,1800.0,-80.00000000000013,26.552777777777777,122.0,1.077846702492438,4.190476190476191,4.444444444444445,15.0,7.8297881445357635,13.1746103131968,706.0,687.0,0.0,1374.0,29,False,0.010000000000000009,41760,10191,0.03922394479417966,0.025526034008038954,0.09131940173295637,0.006944444444444444,0.9888888888888889,15,cpu
shared_dqn,830,1800,360,1800.0,-88.75000000000006,30.141666666666666,138.0,1.1753539942404996,6.0,4.930555555555555,14.0,7.608155956874657,13.377044813716935,740.0,716.0,0.0,1432.0,30,False,0.010000000000000009,43200,10551,0.040281175480534635,0.026194220958536282,0.09391302692496942,0.002777777777777778,0.99375,20,cpu
shared_dqn,831,1800,360,1800.0,-73.14999999999992,21.96388888888889,94.0,0.9183661096140899,3.2413793103448274,4.063888888888889,13.0,7.949066547462421,12.929055407831036,729.0,707.0,0.0,1414.0,31,False,0.010000000000000009,44640,10911,0.03813194492314425,0.02499962473003608,0.08754879746379124,0.004861111111111111,0.99375,13,cpu
shared_dqn,832,1800,360,1800.0,-66.09999999999987,19.78611111111111,102.0,0.88036225463623,5.0,3.672222222222222,12.0,8.180627433585718,15.352617,696.0,670.0,0.0,1340.0,32,False,0.010000000000000009,46080,11271,0.036207937881247036,0.024395315922124104,0.07875081045139166,0.004166666666666667,0.9944444444444445,12,cpu
shared_dqn,833,1800,360,1800.0,-83.74999999999997,27.266666666666666,161.0,1.0713331956851366,4.472222222222222,4.652777777777778,15.0,7.711543276036004,14.604229740655091,725.0,694.0,0.0,1388.0,33,False,0.010000000000000009,47520,11631,0.03603564544787837,0.02409354050307431,0.07961403025935093,0.004166666666666667,0.9951388888888889,8,cpu
shared_dqn,834,1800,360,1800.0,-80.39999999999988,26.608333333333334,119.0,1.0292412618829536,5.176470588235294,4.466666666666667,14.0,7.860156157692482,14.109582835738417,740.0,718.0,0.0,1436.0,34,False,0.010000000000000009,48960,11991,0.03472348118666559,0.023537225206382573,0.07457503666066462,0.006944444444444444,0.9902777777777778,16,cpu
shared_dqn,835,1800,360,1800.0,-81.29999999999988,25.602777777777778,121.0,1.0290066370440007,4.481481481481482,4.516666666666667,13.0,7.795661236346016,13.063191965896685,735.0,696.0,0.0,1392.0,35,False,0.010000000000000009,50000,12351,0.03196906928076512,0.021806281881355163,0.0677519139342217,0.004166666666666667,0.9923611111111111,18,cpu
shared_dqn,836,1800,360,1800.0,-85.19999999999993,26.086111111111112,137.0,0.9697806412147104,4.724137931034483,4.733333333333333,15.0,7.737944841613737,13.558510205419942,770.0,749.0,0.0,1498.0,36,False,0.010000000000000009,50000,12711,0.03193037016575949,0.02174626399193787,0.0678940386718346,0.003472222222222222,0.9930555555555556,15,cpu
shared_dqn,837,1800,360,1800.0,-64.84999999999992,20.477777777777778,110.0,0.9191207271270421,4.523809523809524,3.602777777777778,14.0,8.13723287117281,13.619981101849149,665.0,646.0,0.0,1292.0,37,False,0.010000000000000009,50000,13071,0.03246717737056315,0.02254509760791229,0.066147195541675,0.0020833333333333333,0.9972222222222222,12,cpu
shared_dqn,838,1800,360,1800.0,-63.699999999999775,19.619444444444444,98.0,0.9043448289486751,5.764705882352941,3.5388888888888888,12.0,8.307157371170673,15.940210348780855,690.0,663.0,0.0,1326.0,38,False,0.010000000000000009,50000,13431,0.03250010760966689,0.02266672171988628,0.06555590329755634,0.003472222222222222,0.9951388888888889,14,cpu
shared_dqn,839,1800,360,1800.0,-65.64999999999976,20.258333333333333,141.0,0.9031776873615742,4.862068965517241,3.647222222222222,13.0,8.11377841506545,13.518442570633539,700.0,689.0,0.0,1378.0,39,False,0.010000000000000009,50000,13791,0.03188216743680338,0.021503574864214493,0.06919061436952284,0.00625,0.9916666666666667,14,cpu
shared_dqn,840,1800,360,1800.0,-80.09999999999998,28.288888888888888,202.0,1.0773839275565815,4.6976744186046515,4.45,21.0,7.9438577049097,13.145970897662238,707.0,691.0,0.0,1382.0,40,False,0.010000000000000009,50000,14151,0.03925740810680307,0.03335562241393038,0.039345236636796066,0.018055555555555554,0.9673611111111111,12,cpu
