method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,episode,network,epsilon,coordination,q_states
independent,506,1800,360,1800.0,-12.019999999999996,151.64444444444445,796.0,4.911918371231371,23.41176470588235,9.05,30.0,6.663568934591438,13.6842741341352,742.0,685.0,0.0,1370.0,6,2x2,0.177147,0.0,3649
independent,507,1800,360,1800.0,-2.3700000000000023,62.12777777777778,450.0,2.309723798009492,19.0,6.019444444444445,18.0,7.543965235226862,14.149368170118684,740.0,710.0,0.0,1420.0,7,2x2,0.1594323,0.0,3790
independent,508,1800,360,1800.0,-37.14999999999996,501.6694444444444,3382.0,11.357529499821172,79.39024390243902,13.730555555555556,50.0,6.325726922339575,12.803928420592293,707.0,644.0,0.0,1288.0,8,2x2,0.14348907,0.0,4109
independent,509,1800,360,1800.0,-3.1099999999999905,172.6472222222222,1508.0,5.18073085252599,48.64516129032258,9.125,26.0,6.48835796708511,13.892634780046668,728.0,696.0,0.0,1392.0,9,2x2,0.129140163,0.0,4280
independent,510,1800,360,1800.0,-0.629999999999999,28.90833333333333,248.0,1.2723805705247255,8.857142857142858,3.733333333333333,14.0,8.592415582332926,13.503437113334224,722.0,698.0,0.0,1396.0,10,2x2,0.1162261467,0.0,4349
independent,511,1800,360,1800.0,-1.559999999999998,33.71944444444444,472.0,1.2670517775923864,15.733333333333333,3.991666666666666,20.0,8.578612734734987,13.504042319410663,718.0,694.0,0.0,1388.0,11,2x2,0.10460353203,0.0,4411
independent,512,1800,360,1800.0,-0.3699999999999984,25.83055555555556,251.0,1.1190274699931266,8.964285714285714,3.3222222222222224,15.0,8.684384633827115,12.45444062070574,720.0,698.0,0.0,1396.0,12,2x2,0.094143178827,0.0,4462
independent,513,1800,360,1800.0,-7.469999999999997,36.23888888888889,405.0,1.4289917488277089,13.064516129032258,4.136111111111111,20.0,8.412395856704956,13.001209803502713,714.0,685.0,0.0,1370.0,13,2x2,0.0847288609443,0.0,4509
independent,514,1800,360,1800.0,-1.24,16.369444444444444,151.0,0.7518453132971179,7.411764705882353,2.855555555555556,11.0,9.007957375772053,12.92337287254666,716.0,696.0,0.0,1392.0,14,2x2,0.07625597484987,0.0,4536
independent,515,1800,360,1800.0,-0.0200000000000007,17.991666666666667,164.0,0.8022502494356,5.434782608695652,2.886111111111111,14.0,9.029206890146613,14.275795696234717,735.0,717.0,0.0,1434.0,15,2x2,0.068630377364883,0.0,4568
