method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,episode,network,epsilon,coordination,q_states
cooperative,501,1800,360,1800.0,-117.79999999999973,2614.991666666667,10995.0,31.852099320469673,108.86138613861387,51.291666666666664,97.0,2.4966965855687056,13.960149932202429,643.0,543.0,0.0,1086.0,1,2x2,0.3,0.5,1084
cooperative,502,1800,360,1800.0,-200.8799999999999,3681.8333333333335,11548.0,41.71775063726959,106.73831775700934,55.125,105.0,2.3877780636094337,13.289268116848364,586.0,490.0,0.0,979.9999999999999,2,2x2,0.27,0.5,2048
cooperative,503,1800,360,1800.0,-183.55999999999995,2933.1194444444445,13751.0,33.04201782509974,110.89516129032258,49.266666666666666,110.0,2.627657614460261,14.695501593598712,692.0,568.0,0.0,1136.0,3,2x2,0.24300000000000002,0.5,2935
cooperative,504,1800,360,1800.0,-147.13,1596.4055555555556,4958.0,21.65974339797238,58.125,39.5,86.0,3.0670340036365764,15.649076697579979,646.0,547.0,0.0,1094.0,4,2x2,0.21870000000000003,0.5,3630
cooperative,505,1800,360,1800.0,-68.88999999999989,1280.8583333333333,4869.0,20.369211218266255,69.6470588235294,31.619444444444444,64.0,3.4393862170670273,12.659540412851452,716.0,640.0,0.0,1280.0,5,2x2,0.19683000000000003,0.5,4284
cooperative,506,1800,360,1800.0,-8.950000000000001,208.45277777777778,776.0,5.887335380837734,22.17142857142857,13.366666666666667,30.0,5.416323863979405,13.6842741341352,742.0,687.0,0.0,1374.0,6,2x2,0.17714700000000003,0.5,4673
cooperative,507,1800,360,1800.0,-104.54000000000006,1740.2777777777778,7150.0,22.115266144558014,82.183908045977,39.269444444444446,81.0,3.318031080978675,14.149368170118683,685.0,591.0,0.0,1182.0,7,2x2,0.15943230000000003,0.5,5309
cooperative,508,1800,360,1800.0,-46.59999999999998,615.7333333333333,3218.0,12.01857312313663,53.42857142857143,19.544444444444444,64.0,4.854455992589797,11.548278995632595,702.0,631.0,0.0,1262.0,8,2x2,0.14348907000000002,0.5,5710
cooperative,509,1800,360,1800.0,-1.8099999999999976,97.41388888888889,850.0,3.272934669635016,28.333333333333332,8.272222222222222,27.0,6.812635231979645,13.892634780046667,728.0,704.0,0.0,1408.0,9,2x2,0.12914016300000003,0.5,5889
cooperative,510,1800,360,1800.0,-0.7899999999999987,58.775,377.0,2.2589400052313877,11.78125,6.0777777777777775,22.0,7.572840970785145,13.503437113334224,722.0,692.0,0.0,1384.0,10,2x2,0.11622614670000003,0.5,5980
cooperative,511,1800,360,1800.0,-3.7199999999999998,42.56388888888889,370.0,1.8535847924763094,14.588235294117647,4.566666666666666,16.0,8.121668024630369,12.832036115163259,718.0,690.0,0.0,1380.0,11,2x2,0.10460353203000003,0.5,6045
cooperative,512,1800,360,1800.0,-0.5299999999999996,55.09166666666667,316.0,2.057942221667764,9.575757575757576,5.708333333333333,17.0,7.675998577351604,12.45444062070574,720.0,692.0,0.0,1384.0,12,2x2,0.09414317882700003,0.5,6125
cooperative,513,1800,360,1800.0,-40.540000000000006,407.18055555555554,3290.0,10.300982535917978,56.724137931034484,12.022222222222222,48.0,6.442246096317476,13.001209803502713,714.0,655.0,0.0,1310.0,13,2x2,0.08472886094430003,0.5,6343
cooperative,514,1800,360,1800.0,-0.12999999999999973,54.522222222222226,622.0,2.1259402199029704,22.214285714285715,5.094444444444444,20.0,7.9756234411882465,12.811293718160352,716.0,699.0,0.0,1398.0,14,2x2,0.07625597484987003,0.5,6419
cooperative,515,1800,360,1800.0,-0.3200000000000003,23.78611111111111,278.0,1.0011399254142117,11.12,3.55,16.0,8.616889744763844,14.275795696234715,735.0,715.0,0.0,1430.0,15,2x2,0.06863037736488302,0.5,6449
independent,501,1800,360,1800.0,-125.67999999999972,3069.025,9622.0,39.77374972161517,122.93548387096774,49.43611111111111,84.0,2.420429338625681,13.960149932202429,614.0,521.0,0.0,1042.0,1,2x2,0.3,0.0,1032
independent,502,1800,360,1800.0,-213.48000000000025,3339.902777777778,14498.0,35.19993801823464,110.67175572519083,53.23611111111112,131.0,2.54827204556982,13.289268116848364,627.0,486.0,0.0,972.0,2,2x2,0.27,0.0,1948
independent,503,1800,360,1800.0,-46.06,596.2916666666666,2474.0,11.350405305095638,38.86111111111112,25.97222222222222,74.0,3.772265112115877,14.695501593598712,746.0,656.0,0.0,1312.0,3,2x2,0.243,0.0,2573
independent,504,1800,360,1800.0,-117.03999999999996,1540.9611111111112,8252.0,23.91676915875179,112.36986301369863,23.447222222222223,66.0,4.74040501947077,15.64907669757998,672.0,602.0,0.0,1204.0,4,2x2,0.2187,0.0,3045
independent,505,1800,360,1800.0,-8.859999999999989,461.8416666666666,3578.0,10.613445050429826,76.12765957446808,16.283333333333335,49.0,4.833322792898894,12.659540412851452,741.0,698.0,0.0,1396.0,5,2x2,0.19683,0.0,3401
