seed,improvement_pct__mean_system_total_waiting_time,improvement_pct__mean_system_total_stopped,improvement_pct__mean_system_mean_speed,improvement_pct__throughput_veh_per_hour
701,-19.20713767669718,-85.43689320388349,-33.25380276372216,-2.43161094224924
702,-17.03178108020939,-81.64251207729468,-33.9063664441451,-2.292263610315186
703,-1.664683576678861,-76.49964714184895,-33.764965916091185,-3.79746835443038
704,-23.306645412938206,-95.72971615172068,-36.207213608909456,-2.5677603423680457
705,-27.676194081645527,-92.39968110550093,-36.015603913464425,-2.2189349112426036
