method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,episode,network,experiment_tag,epsilon,coordination,q_states,guided_actions,random_actions,greedy_actions,pressure_overrides
cooperative,520,1800,360,1800.0,-10531.0,412.93888888888887,1033.0,7.3480033439376475,17.220338983050848,29.252777777777776,51.0,3.1938541824430535,11.665041940559094,705.0,640.0,0.0,1280.0,20,2x2,compact_v2,0.07178550565975962,0.5,635,71,33,1336,429
cooperative,521,1800,360,1800.0,-10801.0,406.5111111111111,1162.0,7.077207147955691,17.6875,30.002777777777776,56.0,3.236043668796789,14.38105545927423,736.0,667.0,0.0,1334.0,21,2x2,compact_v2,0.06604266520697885,0.5,645,72,30,1338,455
cooperative,522,1800,360,1800.0,-12322.0,512.8138888888889,1471.0,8.182039298691281,21.955223880597014,34.227777777777774,58.0,2.8796752645831867,12.1731630401159,722.0,646.0,0.0,1292.0,22,2x2,compact_v2,0.060759251990420544,0.5,656,78,32,1330,482
cooperative,523,1800,360,1800.0,-12159.0,500.15833333333336,1251.0,8.113503945858689,19.5625,33.775,55.0,2.934465752670799,12.345445872118134,721.0,662.0,0.0,1324.0,23,2x2,compact_v2,0.0558985118311869,0.5,674,53,26,1361,486
cooperative,524,1800,360,1800.0,-13090.0,498.7027777777778,1263.0,7.513942128003309,16.4025974025974,36.361111111111114,62.0,2.8644378575509815,14.295599868658467,737.0,662.0,0.0,1324.0,24,2x2,compact_v2,0.05142663088469195,0.5,676,35,26,1379,555
cooperative,525,1800,360,1800.0,-11857.0,481.39166666666665,1194.0,8.05233756964054,22.513513513513512,32.93611111111111,52.0,3.016437198308954,12.382678390841066,723.0,657.0,0.0,1314.0,25,2x2,compact_v2,0.047312500413916596,0.5,678,52,14,1374,524
cooperative,526,1800,360,1800.0,-11083.0,470.80833333333334,1664.0,8.255749614463669,24.115942028985508,30.78611111111111,62.0,3.123076712922028,12.620051751797474,692.0,620.0,0.0,1240.0,26,2x2,compact_v2,0.04352750038080327,0.5,679,40,17,1383,499
cooperative,527,1800,360,1800.0,-11739.0,514.7611111111111,1594.0,8.472907638834187,27.428571428571427,32.608333333333334,58.0,3.007399104278365,13.696564194848186,718.0,632.0,0.0,1264.0,27,2x2,compact_v2,0.04004530035033901,0.5,682,41,17,1382,580
cooperative,528,1800,360,1800.0,-9633.0,375.3722222222222,995.0,7.307518717262571,23.05263157894737,26.758333333333333,49.0,3.4064743025995807,12.505155436158125,708.0,643.0,0.0,1286.0,28,2x2,compact_v2,0.03684167632231189,0.5,683,37,14,1389,516
cooperative,529,1800,360,1800.0,-12062.0,477.1972222222222,1621.0,7.880295732563593,33.770833333333336,33.50555555555555,56.0,2.9514590909557756,12.56816782916837,741.0,658.0,0.0,1316.0,29,2x2,compact_v2,0.033894342216526936,0.5,685,30,16,1394,553
cooperative,530,1800,360,1800.0,-11516.0,515.9333333333333,1397.0,9.05289103084168,25.72222222222222,31.988888888888887,65.0,3.032216960338388,13.723770233741933,669.0,601.0,0.0,1202.0,30,2x2,compact_v2,0.031182794839204782,0.5,687,22,8,1410,519
independent,501,1800,360,1800.0,-5400.0,160.9388888888889,550.0,3.8247108486604513,11.033333333333331,15.0,40.0,5.3015399758414645,13.960149932202429,762.0,723.0,0.0,1446.0,1,2x2,compact_v2,0.35,0.0,301,415,154,871,76
independent,502,1800,360,1800.0,-5097.0,192.20555555555555,624.0,5.534159750698855,16.157894736842106,14.158333333333331,32.0,5.050803886951078,13.289268116848364,675.0,632.0,0.0,1264.0,2,2x2,compact_v2,0.322,0.0,354,316,141,983,137
independent,503,1800,360,1800.0,-5311.0,169.0861111111111,555.0,4.457240065379751,13.214285714285714,14.752777777777778,37.0,4.978561776866679,14.695501593598712,749.0,699.0,0.0,1398.0,3,2x2,compact_v2,0.29624,0.0,395,303,120,1017,123
independent,504,1800,360,1800.0,-5516.0,179.74444444444444,657.0,4.578384263205422,13.615384615384617,15.322222222222225,39.0,4.939026041237341,15.64907669757998,699.0,656.0,0.0,1312.0,4,2x2,compact_v2,0.2725408,0.0,415,285,119,1036,175
independent,505,1800,360,1800.0,-7556.0,283.85277777777776,906.0,6.19641841776749,19.695652173913043,20.988888888888887,37.0,4.1485348580420816,12.659540412851452,746.0,692.0,0.0,1384.0,5,2x2,compact_v2,0.250737536,0.0,440,275,109,1056,233
independent,506,1800,360,1800.0,-6734.0,241.3111111111111,668.0,5.674776471350787,16.794117647058822,18.70555555555556,41.0,4.451425569299411,13.6842741341352,741.0,687.0,0.0,1374.0,6,2x2,compact_v2,0.23067853312,0.0,448,230,96,1114,255
independent,507,1800,360,1800.0,-6744.0,236.2277777777778,706.0,5.412998648195361,18.03448275862069,18.73333333333333,42.0,4.521620751998691,14.149368170118684,740.0,690.0,0.0,1380.0,7,2x2,compact_v2,0.2122242504704,0.0,459,209,107,1124,224
independent,508,1800,360,1800.0,-6307.0,244.1,1319.0,6.065984005924573,25.862745098039216,17.519444444444446,46.0,4.49040669007804,11.046131371207734,707.0,652.0,0.0,1304.0,8,2x2,compact_v2,0.195246310432768,0.0,464,209,87,1144,196
independent,509,1800,360,1800.0,-6914.0,257.0444444444444,910.0,5.851023924356445,19.4,19.20555555555556,39.0,4.347140639320052,13.892634780046668,728.0,688.0,0.0,1376.0,9,2x2,compact_v2,0.1796266055981466,0.0,506,181,93,1166,231
independent,510,1800,360,1800.0,-8230.0,304.6222222222222,896.0,6.335046393575898,21.33333333333333,22.86111111111111,43.0,3.9052571377380128,13.503437113334224,722.0,667.0,0.0,1334.0,10,2x2,compact_v2,0.1652564771502949,0.0,540,159,84,1197,270
independent,511,1800,360,1800.0,-7490.0,266.71944444444443,654.0,5.9885219174408135,13.833333333333334,20.80555555555556,40.0,4.041787707800932,12.83203611516326,718.0,672.0,0.0,1344.0,11,2x2,compact_v2,0.1520359589782713,0.0,543,156,68,1216,295
independent,512,1800,360,1800.0,-6985.0,248.90277777777777,759.0,5.562503202938948,14.882352941176473,19.40277777777778,39.0,4.347031212153374,12.45444062070574,720.0,680.0,0.0,1360.0,12,2x2,compact_v2,0.1398730822600096,0.0,563,144,69,1227,299
independent,513,1800,360,1800.0,-6095.0,207.3388888888889,672.0,5.173774598878167,13.714285714285714,16.930555555555557,38.0,4.684130232722644,13.001209803502713,714.0,677.0,0.0,1354.0,13,2x2,compact_v2,0.1286832356792088,0.0,567,131,67,1242,239
independent,514,1800,360,1800.0,-5782.0,225.29722222222225,880.0,5.933487550499027,17.6,16.06111111111111,39.0,4.805460329799407,12.590097133263942,716.0,687.0,0.0,1374.0,14,2x2,compact_v2,0.1183885768248721,0.0,567,107,43,1290,204
independent,515,1800,360,1800.0,-8457.0,299.1333333333333,734.0,6.094766925492817,14.979591836734691,23.491666666666667,45.0,3.849892953452969,14.400294686905758,735.0,691.0,0.0,1382.0,15,2x2,compact_v2,0.1089174906788823,0.0,587,96,47,1297,303
independent,516,1800,360,1800.0,-8008.0,294.89444444444445,908.0,6.400239616440442,20.06451612903226,22.244444444444444,43.0,3.8682631665770537,14.751033862458582,721.0,670.0,0.0,1340.0,16,2x2,compact_v2,0.1002040914245718,0.0,597,94,34,1312,307
independent,517,1800,360,1800.0,-7691.0,296.05555555555554,944.0,6.584238438086534,20.08510638297872,21.363888888888887,45.0,3.8681688848838833,13.88735888671017,681.0,622.0,0.0,1244.0,17,2x2,compact_v2,0.092187764110606,0.0,613,68,37,1335,337
independent,518,1800,360,1800.0,-9138.0,305.1611111111111,919.0,5.747382397976725,16.596153846153847,25.383333333333333,50.0,3.6451272712841023,12.470379620892691,764.0,706.0,0.0,1412.0,18,2x2,compact_v2,0.0848127429817575,0.0,621,92,36,1312,403
