step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,-0.5,84,0,0.0,80,0.9523809523809523,0.0,0,19,0,2,18,37,0,12.0,0.631578947368421,7.997813644350318,2,12.0,0.37931303273125466,0,2.0,0.15030922828050713,0,3.0,0.1007024187532285,0,2.0,0.8437266325544381,2,19.0
110.0,-1.0,88,0,0.0,83,0.9431818181818182,0.0,0,22,0,4,19,41,0,32.0,1.4545454545454546,10.18193389267328,3,27.0,0.4407876426324447,0,0.0,1.0,1,5.0,0.5849467330098065,0,2.0,0.8552507783832008,4,34.0
115.0,-0.5,92,0,0.0,87,0.9456521739130435,0.0,0,21,0,2,22,43,0,16.0,0.7619047619047619,10.640834390337634,2,24.0,0.494854398136504,0,0.0,1.0,0,0.0,0.8922830677384385,0,2.0,0.9910958022228142,2,26.0
120.0,-1.0,96,0,0.0,91,0.9479166666666666,0.0,0,22,0,4,25,47,0,32.0,1.4545454545454546,9.494845006177176,3,30.0,0.5799349621457899,0,0.0,1.0,0,2.0,0.9056174000013061,1,6.0,0.5099422724751631,4,38.0
125.0,-0.25,100,0,0.0,94,0.94,0.0,0,22,0,1,28,50,0,1.0,0.045454545454545456,9.481004218132753,1,18.0,0.5717388333005751,0,0.0,0.9889793935671332,0,2.0,0.922935143635572,0,4.0,0.7003187165701019,1,24.0
130.0,-0.75,104,0,0.0,98,0.9423076923076923,0.0,0,22,0,3,29,51,0,9.0,0.4090909090909091,6.991388918216103,1,6.0,0.3710978411690263,0,2.0,0.9595596665775845,1,4.0,0.1676492933613937,1,3.0,0.255140842763877,3,15.0
135.0,-0.5,108,0,0.0,102,0.9444444444444444,0.0,0,23,0,2,29,52,0,4.0,0.17391304347826086,5.942768348834322,2,5.0,0.18727445835183673,0,2.0,0.9122576199548683,0,3.0,0.16333806907579312,0,2.0,0.07022638876327829,2,12.0
140.0,-1.0,112,0,0.0,106,0.9464285714285714,0.0,0,22,0,4,31,53,0,20.0,0.9090909090909091,8.505457920458117,3,18.0,0.3205444679013409,1,5.0,0.18723372765171578,0,2.0,0.9152040476570086,0,0.0,0.6550071562408603,4,25.0
145.0,-0.25,116,0,0.0,110,0.9482758620689655,0.0,0,25,0,1,31,56,0,1.0,0.04,9.846329498107757,1,17.0,0.2817068287706339,0,3.0,0.19092291486598853,0,2.0,0.9171776034239062,0,0.0,0.9346112434025061,1,22.0
150.0,-0.75,120,0,0.0,114,0.95,0.0,0,21,0,3,35,56,0,11.0,0.5238095238095238,10.020623810201627,2,10.0,0.3254875505365356,0,2.0,0.9148822370459224,1,1.0,0.6610935941907267,0,0.0,0.22862407460949216,3,13.0
155.0,-0.5,124,0,0.0,118,0.9516129032258065,0.0,0,19,0,2,38,57,0,7.0,0.3684210526315789,8.254667519844112,0,8.0,0.4544220837411843,0,2.0,0.9190598358215797,0,0.0,0.10782510665034724,2,7.0,0.0005410914305405519,2,17.0
160.0,-0.5,128,0,0.0,121,0.9453125,0.0,0,16,0,2,41,57,0,6.0,0.375,8.569303731936092,0,0.0,0.8979865676640324,1,3.0,0.1619696144588973,1,7.0,0.6348303517531118,0,7.0,0.6825221593783736,2,17.0
165.0,-0.75,132,0,0.0,125,0.946969696969697,0.0,0,14,0,3,44,58,0,11.0,0.7857142857142857,9.485055558295102,0,0.0,0.9636611007845696,3,13.0,0.0013471502173207086,0,2.0,0.9425280807541485,0,2.0,0.8804233323526311,3,17.0
170.0,-0.5,136,0,0.0,129,0.9485294117647058,0.0,0,19,0,2,44,63,0,5.0,0.2631578947368421,8.311595903765959,1,2.0,0.6392921075549294,0,12.0,0.3989599338644601,0,0.0,0.9430448122107592,1,5.0,0.08361125273927728,2,19.0
175.0,-0.25,140,0,0.0,132,0.9428571428571428,0.0,0,19,0,1,46,65,0,7.0,0.3684210526315789,9.758808320021378,1,7.0,0.6988554442255668,0,0.0,0.9994013842626056,0,0.0,0.9659356816120591,0,4.0,0.12776585032296062,1,11.0
180.0,-0.75,144,0,0.0,135,0.9375,0.0,0,20,0,3,48,68,0,19.0,0.95,9.339461497403821,2,17.0,0.43718619328509645,1,2.0,0.001221849817191821,0,0.0,0.9154861440606931,0,0.0,1.0,3,19.0
185.0,-1.0,148,0,0.0,139,0.9391891891891891,0.0,0,16,0,4,52,68,0,12.0,0.75,6.851480200486781,3,18.0,0.16443749465792146,0,0.0,1.0,1,2.0,0.6364865650505253,0,0.0,1.0,4,20.0
190.0,-0.75,152,0,0.0,143,0.9407894736842105,0.0,0,15,0,3,55,70,0,25.0,1.6666666666666667,7.53301260499854,3,25.0,0.3174367723418417,0,0.0,1.0,0,2.0,0.6437267850663666,0,2.0,0.9142336132371651,3,29.0
195.0,-0.25,156,0,0.0,147,0.9423076923076923,0.0,0,17,0,1,56,73,0,2.0,0.11764705882352941,9.968300703532154,1,24.0,0.40785573568663336,0,0.0,0.9436486244531459,0,2.0,0.928122117595129,0,4.0,0.909037295011543,1,30.0
200.0,-0.5,160,0,0.0,151,0.94375,0.0,0,21,0,2,56,77,0,8.0,0.38095238095238093,10.046432598138518,1,7.0,0.716140374368193,0,2.0,0.9360160243758592,1,3.0,0.6175015074589231,0,4.0,0.7598454551454116,2,16.0
205.0,-0.75,164,0,0.0,155,0.9451219512195121,0.0,0,23,0,3,56,79,0,7.0,0.30434782608695654,7.850157869263894,1,1.0,0.6187636248518081,0,2.0,0.9118521910453187,1,3.0,0.2681092956936706,1,6.0,0.47100106836417593,3,12.0
210.0,-1.0,168,0,0.0,158,0.9404761904761905,0.0,0,27,0,4,56,83,0,18.0,0.6666666666666666,8.429420686122391,1,6.0,0.6218117214966982,0,2.0,0.40050935751132877,3,14.0,0.5171805604808895,0,0.0,0.3181012913547382,4,22.0
215.0,-1.0,172,0,0.0,162,0.9418604651162791,0.0,0,29,0,4,57,86,0,11.0,0.3793103448275862,8.92073956405036,0,3.0,0.6916860638869975,3,11.0,0.39644033246928545,1,16.0,0.5606556678854466,0,0.0,0.9705892460619436,4,30.0
220.0,-0.5,176,0,0.0,166,0.9431818181818182,0.0,0,29,0,2,60,89,0,9.0,0.3103448275862069,8.82292389047347,0,0.0,0.6797503556196918,0,13.0,0.6948051103562569,2,11.0,0.37878890372495716,0,2.0,0.7927775324489517,2,26.0
225.0,-0.75,180,0,0.0,170,0.9444444444444444,0.0,0,28,0,3,64,92,0,7.0,0.25,8.478617965266045,1,2.0,0.5828622859306167,0,2.0,0.7267997708179953,2,14.0,0.29517030473617895,0,2.0,0.9055565029493778,3,20.0
230.0,-1.75,184,0,0.0,174,0.9456521739130435,0.0,0,31,0,7,64,95,0,33.0,1.064516129032258,7.860225830793265,2,12.0,0.6500728054245735,2,4.0,0.5294148026913154,3,18.0,0.2668517551153025,0,2.0,0.14687045628662235,7,36.0
235.0,-1.5,188,0,0.0,178,0.9468085106382979,0.0,0,30,0,6,67,97,0,17.0,0.5666666666666667,6.122755383710972,0,8.0,0.4719969800418888,1,5.0,0.09685479235988892,2,21.0,0.2560635742297552,3,12.0,0.0009514803828505348,6,46.0
240.0,-0.5,192,0,0.0,182,0.9479166666666666,0.0,0,32,0,2,70,102,0,9.0,0.28125,8.963691398386509,1,3.0,0.5807712350006555,1,8.0,0.6134742858498478,0,7.0,0.6398660229172419,0,16.0,0.6446446027794644,2,34.0
245.0,-0.5,196,0,0.0,186,0.9489795918367347,0.0,0,29,0,2,75,104,0,4.0,0.13793103448275862,9.485673128201373,2,7.0,0.3908834538721916,0,2.0,0.9089266391738784,0,0.0,0.9636880223573218,0,4.0,0.8545939951146689,2,13.0
250.0,-1.0,200,0,0.0,190,0.95,0.0,0,32,0,4,75,107,0,22.0,0.6875,8.843514328551043,4,22.0,0.28253345371519595,0,0.0,0.9497808086871697,0,2.0,0.9103856840370375,0,2.0,0.5695431767550047,4,26.0
255.0,-1.75,204,0,0.0,194,0.9509803921568627,0.0,0,35,0,7,77,112,0,27.0,0.7714285714285715,8.76950043342739,4,35.0,0.36012469384150964,0,0.0,0.9381374847997188,0,2.0,0.9415523828528927,3,12.0,0.532568191779905,7,49.0
260.0,-0.75,208,0,0.0,198,0.9519230769230769,0.0,0,35,0,3,80,115,0,8.0,0.22857142857142856,7.7633426274085195,1,25.0,0.27214843803896965,0,2.0,0.8275698332513148,1,3.0,0.5568877726323168,1,13.0,0.48138075058559465,3,43.0
265.0,-1.25,212,0,0.0,202,0.9528301886792453,0.0,0,34,0,5,83,117,0,14.0,0.4117647058823529,7.057345425563418,1,20.0,0.22252707563517868,1,5.0,0.7433936596503524,1,6.0,0.44913179382652785,2,8.0,0.3241870308967533,5,39.0
270.0,-1.75,216,0,0.0,206,0.9537037037037037,0.0,0,33,0,7,87,120,0,26.0,0.7878787878787878,5.874671888256928,5,36.0,0.2405659672951215,0,2.0,0.4742772468937661,2,11.0,0.4020785729857887,0,7.0,0.2270232339945809,7,56.0
