step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,-0.75,84,0,0.0,72,0.8571428571428571,0.0,0,15,0,3,22,37,0,13.0,0.8666666666666667,8.418397245071192,2,11.0,0.38475523258746197,0,3.0,0.29391797131651826,1,2.0,0.0009861272339414056,0,0.0,1.0,3,16.0
110.0,-0.25,88,0,0.0,76,0.8636363636363636,0.0,0,18,0,1,23,41,0,9.0,0.5,10.840406234088233,1,12.0,0.5737896486508627,0,0.0,1.0,0,0.0,0.7435493892199068,0,2.0,0.959693193809061,1,14.0
115.0,-0.5,92,0,0.0,79,0.8586956521739131,0.0,0,16,0,2,27,43,0,15.0,0.9375,10.821662295542154,2,15.0,0.5152366729957996,0,0.0,1.0,0,2.0,0.8780465517050953,0,4.0,0.8779997514280908,2,21.0
120.0,-0.25,96,0,0.0,83,0.8645833333333334,0.0,0,18,0,1,29,47,0,3.0,0.16666666666666666,9.61928249039931,0,5.0,0.6422621539183876,0,0.0,1.0,0,2.0,0.9512724689134786,1,7.0,0.5720835923682466,1,14.0
125.0,-0.25,100,0,0.0,86,0.86,0.0,0,21,0,1,29,50,0,5.0,0.23809523809523808,9.13714129200759,1,5.0,0.6699189447588911,0,2.0,0.9309987499635003,0,2.0,0.14573424795080306,0,5.0,0.5858878221800545,1,14.0
130.0,-1.0,104,0,0.0,90,0.8653846153846154,0.0,0,22,0,4,29,51,0,14.0,0.6363636363636364,6.95504598877707,0,3.0,0.3834748094504413,0,2.0,0.9454812392627895,2,9.0,6.242939607229436e-06,2,9.0,0.08479082762915809,4,23.0
135.0,-0.75,108,0,0.0,94,0.8703703703703703,0.0,0,23,0,3,29,52,0,7.0,0.30434782608695654,7.979839253849968,2,5.0,0.33435327373237983,0,0.0,0.8413469437122312,0,8.0,0.6051755653644035,1,10.0,0.1325488607563796,3,23.0
140.0,-0.5,112,0,0.0,98,0.875,0.0,0,22,0,2,31,53,0,7.0,0.3181818181818182,9.164181038761358,1,9.0,0.2605019159104524,1,3.0,0.17529854507449408,0,2.0,0.9164545213861777,0,2.0,0.513255359852756,2,16.0
145.0,-0.75,116,0,0.0,101,0.8706896551724138,0.0,0,23,0,3,33,56,0,17.0,0.7391304347826086,8.55263942538421,3,17.0,0.18675099948047852,0,2.0,0.6918106023503837,0,2.0,0.5604137316990645,0,0.0,1.0,3,21.0
150.0,-1.0,120,0,0.0,105,0.875,0.0,0,18,0,4,38,56,0,15.0,0.8333333333333334,8.407349806323243,1,19.0,0.2651707027211681,0,2.0,0.926314366416829,3,13.0,0.3610994691204533,0,2.0,0.924162280872946,4,36.0
155.0,-0.25,124,0,0.0,108,0.8709677419354839,0.0,0,16,0,1,41,57,0,2.0,0.125,8.144589375544486,0,4.0,0.6469659026914295,0,0.0,1.0,1,17.0,0.3505390316795612,0,2.0,0.8770393861988293,1,23.0
160.0,-1.25,128,0,0.0,111,0.8671875,0.0,0,16,0,5,41,57,0,20.0,1.25,8.080139477598934,2,10.0,0.31751136236438326,0,0.0,1.0,2,14.0,0.5232546042493739,1,4.0,0.03517045759792675,5,28.0
165.0,-0.5,132,0,0.0,114,0.8636363636363636,0.0,0,17,0,2,41,58,0,16.0,0.9411764705882353,8.11973148829934,2,20.0,0.4191176116951674,0,0.0,1.0,0,8.0,0.26863072516542136,0,1.0,0.21496849955964914,2,29.0
170.0,-0.5,136,0,0.0,118,0.8676470588235294,0.0,0,17,0,2,46,63,0,7.0,0.4117647058823529,9.113650895896487,0,12.0,0.6191294030719013,0,0.0,0.9082590570300898,2,7.0,0.3337127911535401,0,2.0,0.9049549241806294,2,21.0
175.0,0.0,140,0,0.0,121,0.8642857142857143,0.0,0,17,0,0,48,65,0,0.0,0.0,11.3316427531331,0,0.0,0.911039650153261,0,0.0,0.9956133765670396,0,8.0,0.7558211329588465,0,2.0,0.9508902490763185,0,10.0
180.0,0.0,144,0,0.0,124,0.8611111111111112,0.0,0,18,0,0,50,68,0,0.0,0.0,11.324384712812176,0,0.0,0.8169410297391329,0,0.0,0.46254386619506777,0,2.0,0.9062521758366536,0,0.0,1.0,0,2.0
185.0,-0.5,148,0,0.0,127,0.8581081081081081,0.0,0,18,0,2,50,68,0,6.0,0.3333333333333333,9.032178458307364,0,0.0,0.4536459702867994,1,5.0,0.7032272454397936,1,3.0,0.5625791836657997,0,0.0,0.6358128283470331,2,8.0
190.0,-1.25,152,0,0.0,130,0.8552631578947368,0.0,0,16,0,5,54,70,0,20.0,1.25,6.780866268091037,2,8.0,0.2308024072024706,0,0.0,0.9272425431289639,3,14.0,0.0042936717097455486,0,0.0,0.9417274537990479,5,22.0
195.0,-0.5,156,0,0.0,133,0.8525641025641025,0.0,0,19,0,2,54,73,0,6.0,0.3157894736842105,7.578401462390133,0,10.0,0.5638319185779668,1,2.0,0.29073569484825945,1,17.0,0.41512966557632824,0,2.0,0.9636448100010958,2,31.0
200.0,0.0,160,0,0.0,137,0.85625,0.0,0,23,0,0,54,77,0,0.0,0.0,11.041852405633023,0,0.0,0.9165891014116647,0,5.0,0.41753317070633755,0,2.0,0.9097169423126639,0,2.0,0.9510600028944882,0,9.0
