step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
125.0,0.012499999999999997,0,19,0,1,35,54,0,1.0,0.05263157894736842,10.447268500519334,0,7.0,0.42138357037869584,1,1.0,0.5006824985281998,0,2.0,0.8928704303519739,0,0.0,0.9136731732245641,1,10.0
130.0,0.005,0,22,0,1,37,59,0,6.0,0.2727272727272727,12.33975862490522,0,0.0,0.936633095108053,1,8.0,0.7754338868982015,0,0.0,0.960812488973648,0,0.0,0.9004508538821476,1,8.0
135.0,0.015,0,20,0,0,39,59,0,0.0,0.0,11.47731056113759,0,0.0,0.8135338499407808,0,2.0,0.9029100447410565,0,0.0,0.9626681779093047,0,0.0,0.6281986402112056,0,2.0
140.0,-0.01,0,19,0,2,40,59,0,6.0,0.3157894736842105,9.746523917618736,1,4.0,0.32736654905795154,1,2.0,0.3656808549904594,0,0.0,1.0,0,0.0,0.7224203037980729,2,6.0
145.0,0.005000000000000001,0,17,0,0,44,61,0,0.0,0.0,10.147149831419616,0,3.0,0.46514951434074686,0,1.0,0.5521342063000356,0,0.0,1.0,0,0.0,0.7682724203587968,0,4.0
150.0,-0.010000000000000002,0,16,0,1,47,63,0,4.0,0.25,10.751131033907782,1,4.0,0.4977635395780216,0,2.0,0.9617038695082339,0,0.0,0.9217026693821115,0,2.0,0.5744648433120337,1,8.0
155.0,0.01,0,17,0,0,51,68,0,0.0,0.0,11.713571266875519,0,0.0,0.929714530814977,0,2.0,0.7973760065759062,0,0.0,1.0,0,2.0,0.8780450410732494,0,4.0
160.0,-0.009999999999999998,0,17,0,2,51,68,0,6.0,0.35294117647058826,9.938398114303931,1,3.0,0.6789289384703383,1,3.0,0.3492903465011578,0,2.0,0.8793648964787755,0,0.0,0.9455110483691628,2,8.0
165.0,0.004999999999999999,0,16,0,0,53,69,0,0.0,0.0,7.896784292655491,0,0.0,0.36682916196837995,0,4.0,0.1112292315713897,0,2.0,0.9087533073988149,0,0.0,0.518819430522502,0,6.0
170.0,-0.005,0,15,0,1,55,70,0,4.0,0.26666666666666666,10.696874963615805,1,4.0,0.640667911066399,0,2.0,0.7982740773158803,0,0.0,1.0,0,2.0,0.8964200567849347,1,8.0
175.0,0.01,0,14,0,0,58,72,0,0.0,0.0,12.002993713039727,0,0.0,0.6359477573191392,0,2.0,0.9479242228136784,0,0.0,1.0,0,2.0,0.9436105617492853,0,4.0
180.0,0.005,0,16,0,0,58,74,0,0.0,0.0,12.094157468655668,0,0.0,0.9804368612352667,0,0.0,0.9354296145053289,0,2.0,0.8366979547399416,0,0.0,0.6644762661533204,0,2.0
185.0,0.0,0,20,0,0,59,79,0,0.0,0.0,12.813948027514693,0,0.0,0.9403171151088703,0,0.0,0.9610028651604088,0,2.0,0.8901645692285314,0,0.0,0.9485265726032248,0,2.0
190.0,0.005,0,24,0,0,61,85,0,0.0,0.0,12.292340153911605,0,0.0,0.8782040007354757,0,0.0,0.9391816314024201,0,0.0,0.9162204604272302,0,0.0,0.9160041910566488,0,0.0
195.0,-0.0025,0,20,0,1,66,86,0,1.0,0.05,9.165647339517047,1,1.0,0.6738792404445656,0,0.0,0.6742486051106121,0,0.0,0.6658227083128342,0,0.0,0.493275296850429,1,1.0
200.0,-0.0325,0,22,0,3,68,90,0,14.0,0.6363636363636364,9.491468865340288,1,6.0,0.5413314914855336,1,4.0,0.5746295421334682,1,4.0,0.7615587684195623,0,0.0,0.7721754621699034,3,14.0
205.0,-0.019999999999999997,0,25,0,4,69,94,0,22.0,0.88,9.75713951073313,3,19.0,0.5371234004660755,1,3.0,0.5477290333433099,0,0.0,0.8860851509753345,0,0.0,0.7827484503185276,4,22.0
210.0,-0.010000000000000002,0,29,0,2,69,98,0,9.0,0.3103448275862069,9.190116717879107,1,16.0,0.5107458559334763,1,8.0,0.6164871734573948,0,0.0,0.7229521022460442,0,2.0,0.5322102099630291,2,26.0
215.0,0.0325,0,27,0,2,72,99,0,9.0,0.3333333333333333,9.944378122952335,2,9.0,0.3398687093060155,0,2.0,0.8066760466447791,0,0.0,0.8432819948043895,0,2.0,0.8430878738400105,2,13.0
220.0,-0.0175,0,29,0,3,74,103,0,7.0,0.2413793103448276,8.46257479510557,1,11.0,0.3764467264360885,2,7.0,0.5987310115896566,0,0.0,0.3598796102563626,0,2.0,0.8841849064066648,3,20.0
225.0,-0.012499999999999997,0,27,0,2,78,105,0,9.0,0.3333333333333333,8.852172351999792,2,9.0,0.5415739110685828,0,11.0,0.44432026472978187,0,3.0,0.7750936058400981,0,2.0,0.7809780580960544,2,25.0
230.0,0.009999999999999998,0,27,0,3,80,107,0,9.0,0.3333333333333333,9.14383127797994,0,6.0,0.48721375661155647,3,11.0,0.3051477143636937,0,2.0,0.9167971375138843,0,2.0,0.8208018673450166,3,21.0
235.0,0.005000000000000001,0,27,0,1,82,109,0,2.0,0.07407407407407407,8.454180834335975,0,0.0,0.5569339713722024,1,15.0,0.44289253538312856,0,2.0,0.5098181072608472,0,2.0,0.9105533749634599,1,19.0
240.0,-0.015,0,26,0,6,84,110,0,21.0,0.8076923076923077,8.459622149411357,0,0.0,0.7940028667179507,3,16.0,0.5240547169574269,3,9.0,0.2489004781705175,0,0.0,0.7880442465230834,6,25.0
245.0,-0.012500000000000004,0,25,0,2,86,111,0,4.0,0.16,8.3304527064479,0,0.0,0.9927202638809396,2,20.0,0.1770004681256416,0,10.0,0.5883351292845694,0,0.0,0.8676691714543749,2,30.0
250.0,0.02,0,24,0,4,89,113,0,15.0,0.625,9.111619826604583,0,0.0,0.9066871115203954,3,17.0,0.36183165824006785,1,3.0,0.6062556933783653,0,2.0,0.7262517614154141,4,22.0
255.0,-0.017499999999999998,0,23,0,2,93,116,0,9.0,0.391304347826087,9.167317051372601,0,0.0,0.9442402740569379,2,25.0,0.3704503964274433,0,2.0,0.3903961330750399,0,2.0,0.9207787301648551,2,29.0
260.0,0.014999999999999996,0,22,0,2,94,116,0,13.0,0.5909090909090909,9.513544511772498,0,0.0,0.6639766113358144,1,17.0,0.3263805845977569,1,4.0,0.47055872704330093,0,2.0,0.7489212634882515,2,23.0
265.0,0.04,0,17,0,2,99,116,0,5.0,0.29411764705882354,8.987773766010326,1,4.0,0.372666590760421,1,1.0,0.13622176625494511,0,0.0,0.7319496673475899,0,2.0,0.8016456150554059,2,7.0
270.0,-0.015,0,15,0,3,102,117,0,9.0,0.6,8.84425812028287,1,3.0,0.13984395301469402,1,6.0,0.0,1,2.0,0.4531569330333968,0,2.0,0.8218993068822473,3,13.0
275.0,0.007499999999999999,0,12,0,1,106,118,0,6.0,0.5,10.064699866585793,1,6.0,0.0,0,2.0,0.9107263400240271,0,0.0,0.961262011963067,0,2.0,0.9157923469823244,1,10.0
280.0,0.015,0,15,0,0,107,122,0,0.0,0.0,12.054249276804452,0,0.0,0.9491553157713495,0,2.0,0.9355859718626603,0,0.0,0.9125117694157603,0,2.0,0.9807987658875821,0,4.0
285.0,0.0,0,15,0,0,108,123,0,0.0,0.0,12.722983481591715,0,0.0,0.9287435723260381,0,0.0,1.0,0,2.0,0.9074604597383525,0,2.0,0.9437090266756929,0,4.0
290.0,0.0,0,15,0,1,110,125,0,2.0,0.13333333333333333,10.274839495063016,0,0.0,0.9471374770512174,0,0.0,0.8367534729552928,1,4.0,0.3733142531127687,0,0.0,0.9779838455396053,1,4.0
295.0,-0.0075000000000000015,0,13,0,0,113,126,0,0.0,0.0,9.99517108958971,0,0.0,0.9481434973998034,0,0.0,0.9297918650324839,0,7.0,0.1417702426753562,0,0.0,1.0,0,7.0
300.0,-0.01,0,13,0,2,114,127,0,7.0,0.5384615384615384,11.060220391401874,0,0.0,0.9894861956407314,1,2.0,0.6185266079069259,1,7.0,0.4924973817620139,0,2.0,0.8740389574369885,2,11.0
305.0,0.005000000000000001,0,13,0,1,116,129,0,7.0,0.5384615384615384,11.79245367169926,0,0.0,0.9344486462308232,1,7.0,0.5,0,0.0,0.9518166452616906,0,2.0,0.9509471879978834,1,9.0
310.0,0.022500000000000003,0,15,0,0,116,131,0,0.0,0.0,12.168538945859051,0,0.0,0.9490215679277546,0,0.0,0.9892344774288231,0,0.0,0.9672234493861341,0,0.0,0.6883712946154567,0,0.0
315.0,-0.005,0,14,0,0,119,133,0,0.0,0.0,12.237259916531375,0,0.0,0.9415106098381503,0,0.0,0.9421704771369046,0,0.0,0.4052551496244099,0,2.0,0.9634671981600464,0,2.0
