step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
125.0,0.020000000000000014,0,18,0,3,36,54,0,30.0,1.6666666666666667,7.773414156154026,3,73.0,0.22541137278064763,0,0.0,0.35200401278464194,0,2.0,0.8928704303519739,0,0.0,0.8896112693089062,3,75.0
130.0,0.0975,0,23,0,0,36,59,0,0.0,0.0,10.92002403812003,0,33.0,0.6203574299165271,0,3.0,0.7994272199186517,0,0.0,0.960812488973648,0,0.0,0.8453576759005397,0,36.0
135.0,0.08,0,22,0,0,37,59,0,0.0,0.0,12.294834033586017,0,0.0,0.7506149834602295,0,2.0,0.9332547432617055,0,0.0,0.9626681779093047,0,2.0,0.8683365980925126,0,4.0
140.0,0.0025,0,21,0,1,38,59,0,1.0,0.047619047619047616,10.20278485919731,1,1.0,0.3346753896044226,0,0.0,0.5942904062311521,0,0.0,1.0,0,2.0,0.9593640310842595,1,3.0
145.0,-0.04,0,19,0,4,42,61,0,19.0,1.0,9.535337683450832,2,11.0,0.33333657951147927,2,8.0,0.4965869617994766,0,0.0,1.0,0,0.0,0.7890403471201696,4,19.0
150.0,0.009999999999999998,0,19,0,1,44,63,0,1.0,0.05263157894736842,9.069457185005168,0,8.0,0.5967938476502392,1,7.0,0.5331332629936716,0,0.0,0.9005337829304435,0,0.0,0.32452328412933396,1,15.0
155.0,0.0125,0,20,0,1,48,68,0,6.0,0.3,12.182020191782607,0,0.0,0.9519300100114024,1,8.0,0.7872483906924498,0,0.0,0.9087533073988149,0,2.0,0.8967005869015647,1,10.0
160.0,0.0024999999999999996,0,18,0,2,50,68,0,5.0,0.2777777777777778,10.225338205670042,1,2.0,0.7087615506204558,1,5.0,0.6670440617095424,0,0.0,0.4146859365209086,0,2.0,0.9010488668467229,2,9.0
165.0,-0.019999999999999997,0,16,0,4,53,69,0,17.0,1.0625,7.681101109091994,2,8.0,0.25389510620994354,2,9.0,0.014072763499267645,0,0.0,0.9722865813046373,0,0.0,0.7605596499682028,4,17.0
170.0,0.004999999999999999,0,17,0,1,53,70,0,1.0,0.058823529411764705,8.195792626018093,0,8.0,0.5461155496861365,0,6.0,0.12404628920187123,0,0.0,0.9106262681371551,1,1.0,0.0008762200670936691,1,15.0
175.0,0.012499999999999997,0,16,0,1,56,72,0,6.0,0.375,10.520529303194259,0,0.0,0.5254408489183868,0,2.0,0.9470587742356003,0,0.0,0.534073299762321,1,8.0,0.5955456048594795,1,10.0
180.0,0.0075,0,16,0,1,58,74,0,3.0,0.1875,11.308006361098979,0,0.0,0.8971153842775511,0,2.0,0.9532616760394484,1,3.0,2.4151456919558805e-05,0,2.0,0.9232670678597649,1,7.0
185.0,0.0125,0,19,0,0,60,79,0,0.0,0.0,11.618532380254978,0,0.0,0.929736750336429,0,0.0,0.5590013543723187,0,2.0,0.9108548387259588,0,0.0,0.9109275884970508,0,2.0
190.0,-0.0075,0,25,0,2,60,85,0,4.0,0.16,10.865922360590062,0,0.0,0.8879234816973308,1,3.0,0.5170738124085793,0,0.0,0.9360103740348559,1,2.0,0.00015211570777068863,2,5.0
195.0,-0.035,0,23,0,4,63,86,0,17.0,0.7391304347826086,9.777759240744349,2,3.0,0.626548328739324,1,7.0,0.6769610363585454,0,0.0,0.7151865143211223,1,9.0,0.5969755600759529,4,19.0
200.0,0.019999999999999997,0,23,0,2,67,90,0,5.0,0.21739130434782608,9.131083100555088,1,5.0,0.4998153917908871,0,0.0,0.7599168797094878,1,4.0,0.4725294790569319,0,2.0,0.9399476936223001,2,11.0
205.0,1.734723475976807e-18,0,27,0,2,67,94,0,9.0,0.3333333333333333,10.406237512395053,2,9.0,0.5805297824599439,0,0.0,0.8272807523876469,0,2.0,0.9817469520260461,0,0.0,0.7327644061828212,2,11.0
210.0,-0.010000000000000002,0,31,0,2,67,98,0,7.0,0.22580645161290322,9.184252471676896,2,13.0,0.42161798881957097,0,0.0,0.8674193799000456,0,2.0,0.7667826439848374,0,0.0,0.16744118601609054,2,15.0
215.0,-0.029999999999999995,0,28,0,4,71,99,0,25.0,0.8928571428571429,9.719417017453408,4,25.0,0.2765029408216048,0,2.0,0.8995582523686595,0,0.0,0.6154439595197643,0,0.0,0.9701308802202858,4,27.0
220.0,-0.04,0,27,0,5,76,103,0,19.0,0.7037037037037037,8.845202930529519,2,32.0,0.3526970907186877,1,4.0,0.6789732091303098,2,5.0,0.3336735279150014,0,2.0,0.8927656861265818,5,43.0
225.0,0.017500000000000005,0,26,0,4,79,105,0,15.0,0.5769230769230769,9.287084728031228,1,16.0,0.6204095087931164,3,12.0,0.48310356205986094,0,6.0,0.7247526369483779,0,2.0,0.797923602141247,4,36.0
230.0,0.03749999999999999,0,27,0,1,80,107,0,2.0,0.07407407407407407,8.773675918876283,0,5.0,0.4701711537820016,1,14.0,0.3003598100756142,0,2.0,0.8496433227232881,0,0.0,0.7425093766046935,1,21.0
235.0,-0.0024999999999999966,0,28,0,3,81,109,0,13.0,0.4642857142857143,9.844254677881139,1,10.0,0.34078655094097215,1,9.0,0.6108988387953952,1,1.0,0.7017070165314009,0,2.0,0.8953290845180017,3,22.0
240.0,0.024999999999999998,0,23,0,3,87,110,0,6.0,0.2608695652173913,8.083915475982153,0,2.0,0.48143644587092327,2,7.0,0.5420280926024404,1,1.0,0.2992157862492514,0,2.0,0.9544866896491834,3,12.0
245.0,-0.0475,0,23,0,5,88,111,0,27.0,1.173913043478261,9.856509246441869,0,0.0,0.9744113744913225,3,17.0,0.18351730460179647,2,12.0,0.5588126799647545,0,2.0,0.914439589120267,5,31.0
250.0,0.0075,0,23,0,1,90,113,0,2.0,0.08695652173913043,10.245247874874304,0,0.0,0.9392095388774547,1,17.0,0.4463988652702426,0,9.0,0.6553038348109423,0,2.0,0.953249509397879,1,28.0
255.0,0.042499999999999996,0,21,0,2,95,116,0,9.0,0.42857142857142855,10.96065449451219,0,0.0,0.974722510442603,1,7.0,0.6315758465354905,1,2.0,0.5302315962304825,0,2.0,0.9224759458311063,2,11.0
260.0,0.020000000000000004,0,19,0,1,97,116,0,1.0,0.05263157894736842,9.193440332444517,0,0.0,0.6534587190611987,0,0.0,0.5104627436688514,0,0.0,0.4668381619261175,1,3.0,0.7056749003652777,1,3.0
265.0,-0.0425,0,17,0,4,99,116,0,18.0,1.0588235294117647,9.048974067442044,1,5.0,0.35034207366175907,1,2.0,0.0012219892171719247,1,5.0,0.49193470421750984,1,8.0,0.6057553464382234,4,20.0
270.0,0.035,0,14,0,2,103,117,0,2.0,0.14285714285714285,8.468939842948554,1,3.0,0.09211696045801133,0,0.0,1.0,0,0.0,0.9010771951754631,1,3.0,0.6108260978995449,2,6.0
