step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,3,0,0,0,3,0,0.0,0.0,11.879117550961851,0,0.0,0.8910867608860031,0,0.0,0.9098863837673995,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.663461004132733,0,0.0,0.8937333409985566,0,0.0,0.9929357203898248,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,0,8,0,0,0,8,0,0.0,0.0,11.673631152989667,0,0.0,0.8525439851590269,0,0.0,0.4964684584573508,0,0.0,0.9648977208268015,0,0.0,1.0,0,0.0
20.0,-0.02,0,12,0,3,0,12,0,8.0,0.6666666666666666,8.989379114925773,1,4.0,0.506427573854328,2,4.0,0.4698332466950926,0,0.0,0.9442390011461796,0,0.0,0.9652171491734544,3,8.0
25.0,0.0025000000000000005,0,16,0,0,0,16,0,0.0,0.0,9.49895662141239,0,3.0,0.45915411678417256,0,4.0,0.6709748910865921,0,0.0,0.9319096540811371,0,0.0,0.9643374447588717,0,7.0
30.0,-0.0025000000000000005,0,19,0,1,0,19,0,4.0,0.21052631578947367,10.504588323440666,1,4.0,0.6602707336178566,0,0.0,0.9087831951095868,0,2.0,0.8018630057139927,0,2.0,0.6059945046496782,1,8.0
35.0,0.01,0,23,0,0,0,23,0,0.0,0.0,10.381374981913627,0,0.0,0.9471469163123243,0,0.0,0.943100121809783,0,2.0,0.6302016391503251,0,2.0,0.7711110012175209,0,4.0
40.0,-0.017499999999999998,0,26,0,2,0,26,0,4.0,0.15384615384615385,8.936197537301172,1,2.0,0.6201602013029636,0,2.0,0.7028961781609804,1,4.0,0.45446263841344325,0,3.0,0.5749293023934536,2,11.0
45.0,-0.02,0,29,0,4,0,29,0,11.0,0.3793103448275862,7.546891084398506,0,1.0,0.5556866035782435,0,2.0,0.6092096494634096,1,4.0,0.26700343763507894,3,12.0,0.4096412937053981,4,19.0
50.0,-0.04,0,28,0,4,2,30,0,16.0,0.5714285714285714,7.958552511705478,1,5.0,0.7358183088246406,1,3.0,0.5068515212894446,1,8.0,0.47299894451124685,1,19.0,0.38381582542918113,4,35.0
55.0,0.035,0,31,0,4,2,33,0,9.0,0.2903225806451613,8.514471125570836,1,1.0,0.5572477955593184,1,3.0,0.3687095487886108,0,4.0,0.6700224193842711,2,13.0,0.43377202741875387,4,21.0
60.0,-0.052500000000000005,0,30,0,6,5,35,0,36.0,1.2,8.94954090966863,2,8.0,0.3992438964772418,1,9.0,0.48630695788060985,0,2.0,0.6986710648922295,3,23.0,0.40481940627594687,6,42.0
65.0,0.015,0,28,0,1,9,37,0,2.0,0.07142857142857142,7.523309680173164,0,8.0,0.4445420732644608,0,5.0,0.7585985915131892,0,0.0,0.4146280629830061,1,23.0,0.2520306245498737,1,36.0
70.0,0.0125,0,25,0,5,14,39,0,23.0,0.92,8.84760246250306,1,5.0,0.6788365926537191,1,4.0,0.00013814109903381697,2,11.0,0.6240712650673168,1,11.0,0.5600572455429256,5,31.0
75.0,0.015,0,25,0,2,15,40,0,14.0,0.56,9.033802503138416,1,2.0,0.6030187955678578,0,0.0,1.0,0,9.0,0.5796450937852305,1,14.0,0.5966658864814758,2,25.0
80.0,0.0175,0,29,1,2,17,46,0,9.0,0.3103448275862069,9.885684766999738,1,7.0,0.7321792752520493,0,2.0,0.9210390976956416,1,4.0,0.2518109514932935,0,5.0,0.6452806955500342,2,18.0
85.0,0.03,0,28,0,1,23,51,0,2.0,0.07142857142857142,10.071682052645802,1,2.0,0.723687613021034,0,2.0,0.9112465630092677,0,0.0,0.14860397608549725,0,2.0,0.7848447763693407,1,6.0
90.0,-0.02,0,28,0,3,24,52,0,12.0,0.42857142857142855,10.387641139665616,2,8.0,0.6459442481890526,0,0.0,0.5087989368462776,0,2.0,0.9549713260491837,1,4.0,0.4659572724227031,3,14.0
95.0,-0.012499999999999999,0,28,0,2,26,54,0,10.0,0.35714285714285715,8.706170631499356,1,8.0,0.34377130446560994,0,0.0,1.0,0,2.0,0.9389284584664729,1,9.0,0.0,2,19.0
100.0,0.0075,0,25,0,4,31,56,0,11.0,0.44,7.322429098368048,3,10.0,0.24156510331322173,0,2.0,0.8007805575400678,1,3.0,0.3585232219136125,0,1.0,0.9139710699699578,4,16.0
105.0,-0.0175,0,22,0,2,35,57,0,5.0,0.22727272727272727,7.238661734013653,2,16.0,0.27201932760972053,0,2.0,0.85327665236893,0,4.0,0.4170343643043107,0,1.0,0.9926540939032632,2,23.0
110.0,-0.005000000000000001,1,24,0,5,37,61,0,22.0,0.9166666666666666,7.664798516611785,4,20.0,0.29816521066419194,0,0.0,0.8547391251473209,0,2.0,0.7460230687617757,1,3.0,0.0,5,25.0
115.0,-0.045,1,24,0,5,38,62,0,23.0,0.9583333333333334,7.110646831047418,4,33.0,0.25336315917379537,0,0.0,0.9583212346492643,0,2.0,0.9279094756375272,1,8.0,0.0,5,43.0
120.0,0.0125,1,25,0,3,40,65,0,8.0,0.32,7.809829423526554,2,33.0,0.39456994976516524,0,2.0,0.8398350777005436,1,3.0,0.13675347758146278,0,0.0,0.9110603567904828,3,38.0
125.0,-0.027499999999999997,1,25,0,3,44,69,0,8.0,0.32,6.8448747097509886,3,43.0,0.12140301156555945,0,2.0,0.9146840547915835,0,4.0,0.48093344477407396,0,0.0,0.7644773602722431,3,49.0
130.0,-0.054999999999999986,1,30,0,7,44,74,0,36.0,1.2,7.754726502375203,7,71.0,0.24653273215954913,0,0.0,0.7112716003250337,0,0.0,0.936037740259192,0,0.0,0.8011876871676314,7,71.0
135.0,-0.11249999999999999,2,32,0,11,45,77,0,81.0,2.53125,6.486434515210307,10,114.0,0.1363553405992678,0,0.0,0.5740722971839742,0,0.0,0.9049346025682724,1,2.0,0.4597572026270941,11,116.0
140.0,-0.14250000000000002,3,29,0,14,49,78,0,137.0,4.724137931034483,5.552762024257153,14,172.0,0.03594315948849865,0,0.0,0.8448902425107527,0,0.0,0.985129037222592,0,1.0,0.8865198109925874,14,173.0
