step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,2,0,0,0,2,0,0.0,0.0,12.669151457999758,0,0.0,1.0,0,0.0,0.9428154475326904,0,0.0,0.9341420501469508,0,0.0,1.0,0,0.0
10.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.547515776531565,0,0.0,0.9694228654049323,0,0.0,0.9474197187731311,0,0.0,0.9182970752405804,0,0.0,1.0,0,0.0
15.0,0.0,0,7,0,0,0,7,0,0.0,0.0,12.042961801029614,0,0.0,0.9474172598789594,0,0.0,1.0,0,0.0,0.5563339650233404,0,0.0,1.0,0,0.0
20.0,-0.0075,0,9,0,1,0,9,0,3.0,0.3333333333333333,10.75000978006366,0,0.0,0.729341294113768,0,0.0,0.9190969059835623,1,3.0,0.5142751056068621,0,0.0,0.9613667741159002,1,3.0
25.0,-0.0275,0,10,0,3,0,10,0,14.0,1.4,9.26744176325553,1,3.0,0.45029835431234577,0,0.0,0.9722461306678862,2,11.0,0.48449333547256584,0,0.0,0.9336892364217829,3,14.0
30.0,-0.0375,0,13,0,3,0,13,0,29.0,2.230769230769231,10.209373523057263,1,8.0,0.7342559677841773,0,0.0,0.9477201399026837,2,21.0,0.46407819568999786,0,0.0,0.9646000632417239,3,29.0
35.0,-0.037500000000000006,0,14,0,3,1,15,0,44.0,3.142857142857143,9.316570292616614,1,13.0,0.5836368010638403,0,0.0,0.9630439567177871,2,31.0,0.0,0,0.0,0.8772445876192945,3,44.0
40.0,-0.05249999999999999,0,17,0,5,2,19,0,65.0,3.823529411764706,6.814428129434719,3,24.0,0.443135381127976,0,0.0,0.7408501437430735,2,41.0,0.0,0,0.0,0.3385872836853959,5,65.0
45.0,-0.09000000000000001,0,16,0,9,4,20,0,101.0,6.3125,4.068858416003121,4,42.0,0.4144286151910173,1,4.0,0.32614304346461687,2,51.0,0.0,2,4.0,0.002696285283548334,9,101.0
50.0,0.135,0,20,0,6,4,24,0,47.0,2.35,5.458646702563524,2,19.0,0.39737430102118915,2,14.0,0.4246023075010362,0,0.0,1.0,2,14.0,0.20344171424944846,6,47.0
55.0,-0.08499999999999999,0,21,0,7,4,25,0,79.0,3.761904761904762,6.662706706736827,2,29.0,0.33809063552078933,3,27.0,0.5813430948925701,0,0.0,1.0,2,25.0,0.44676314523120586,7,81.0
60.0,-0.09,0,22,0,8,4,26,0,115.0,5.2272727272727275,6.934523370232338,2,39.0,0.3677397541804078,4,43.0,0.5646855937138007,0,0.0,1.0,2,35.0,0.29958645243967436,8,117.0
65.0,-0.10500000000000001,0,25,0,9,4,29,0,159.0,6.36,7.262909714608768,3,53.0,0.43377310653193885,4,62.0,0.4876591178896525,0,0.0,0.9387912091689935,2,44.0,0.0,9,159.0
70.0,-0.12250000000000001,0,30,0,10,4,34,0,208.0,6.933333333333334,8.130574649212868,3,68.0,0.46689003816209246,5,86.0,0.4981579583704066,0,0.0,0.9863564890549221,2,54.0,0.0,10,208.0
75.0,-0.13,0,28,0,11,7,35,0,260.0,9.285714285714286,5.891394688159457,4,85.0,0.21387473082325692,5,111.0,0.2964923952727918,0,0.0,0.9852660672133261,2,64.0,0.3157869759465965,11,260.0
80.0,-0.17249999999999993,0,27,0,15,9,36,0,329.0,12.185185185185185,4.9802723529291955,7,115.0,0.2106393266967822,6,140.0,0.009938990776683124,0,0.0,1.0,2,74.0,0.4597422308172529,15,329.0
85.0,-0.19750000000000004,0,25,0,16,12,37,0,408.0,16.32,3.533068724254325,7,150.0,0.1832255632549354,7,174.0,2.9044649308217726e-05,0,0.0,1.0,2,84.0,0.2608932952207702,16,408.0
90.0,-0.22499999999999995,0,25,0,19,15,40,0,498.0,19.92,2.5223599547873508,9,192.0,0.2781690638132983,7,209.0,0.0,0,0.0,1.0,3,97.0,0.008195984273502498,19,498.0
95.0,0.5724999999999999,0,27,0,9,16,43,0,98.0,3.6296296296296298,4.277354231133062,5,123.0,0.2656328109883992,2,134.0,0.10419403174822059,0,0.0,0.764343999981471,2,12.0,0.19083531418324892,9,269.0
100.0,0.22,0,29,0,6,16,45,0,44.0,1.5172413793103448,7.500283758390298,4,95.0,0.28730064725306254,0,62.0,0.39819253212517625,0,1.0,0.9228330129318068,2,23.0,0.556770374136266,6,181.0
105.0,0.22749999999999995,0,31,0,5,16,47,0,65.0,2.096774193548387,8.801789633228042,3,56.0,0.343545010855467,0,0.0,1.0,0,1.0,0.7948287771980876,2,33.0,0.6133939698779456,5,90.0
110.0,-0.04499999999999997,0,30,0,9,18,48,0,103.0,3.433333333333333,8.553459135166475,5,60.0,0.3004361716617517,0,0.0,1.0,2,6.0,0.7037618282778159,2,42.0,0.5413102378191262,9,108.0
115.0,-0.1075,0,33,0,10,18,51,0,151.0,4.575757575757576,8.116496325036106,6,83.0,0.14212514810194038,0,0.0,0.9784788436998346,2,16.0,0.5737139550970746,2,52.0,0.39311861455473796,10,151.0
120.0,-0.1425,0,30,0,12,21,51,0,208.0,6.933333333333334,7.196413668850948,6,113.0,0.08889397838671018,0,0.0,0.9541715954177304,4,33.0,0.33119393917247075,2,62.0,0.0,12,208.0
