step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
240.0,-0.9199999999999999,24,0,19,116,140,0,369.0,15.375,2.5033733956960145,19,396.0,0.07425642528910747,19,396.0
245.0,-0.9699999999999998,27,0,21,117,144,0,466.0,17.25925925925926,2.9035182130807606,21,493.0,0.15500513337739139,21,493.0
250.0,-1.0500000000000007,29,0,21,119,148,0,571.0,19.689655172413794,3.47160792089776,21,598.0,0.2512849875138791,21,598.0
255.0,0.9000000000000004,31,0,19,119,150,0,481.0,15.516129032258064,3.522445508946811,19,508.0,0.20362088055857092,19,508.0
260.0,-0.11000000000000032,37,0,20,119,156,0,407.0,11.0,4.251155798701004,20,519.0,0.23249185405912545,20,519.0
265.0,0.7600000000000007,38,0,13,120,158,0,249.0,6.552631578947368,5.6207497998828,13,443.0,0.2859952410590613,13,443.0
270.0,0.5299999999999998,35,0,12,123,158,0,280.0,8.0,5.960446680006069,12,390.0,0.23590395862518407,12,390.0
275.0,0.040000000000000036,37,0,15,127,164,0,352.0,9.513513513513514,7.198877267988699,15,386.0,0.3452188489150425,15,386.0
280.0,-0.6800000000000002,35,0,15,131,166,0,427.0,12.2,7.008846401612225,15,454.0,0.3364184761504562,15,454.0
285.0,-0.75,31,0,15,137,168,0,502.0,16.193548387096776,5.662986084776415,15,529.0,0.24705998773163823,15,529.0
290.0,-0.8499999999999996,26,0,18,142,168,0,587.0,22.576923076923077,3.6646134529638608,18,614.0,0.0946376556019951,18,614.0
295.0,0.8799999999999999,27,0,15,145,172,0,391.0,14.481481481481481,3.660785217969227,15,526.0,0.20265051466199738,15,526.0
300.0,1.3399999999999999,33,0,12,147,180,0,298.0,9.030303030303031,7.035117993363102,12,392.0,0.4557649652100558,12,392.0
305.0,1.06,35,0,9,147,182,0,100.0,2.857142857142857,6.515105231696169,9,286.0,0.38420400220709894,9,286.0
310.0,0.4099999999999997,32,0,14,150,182,0,150.0,4.6875,5.443479593498225,14,245.0,0.1839294916488414,14,245.0
315.0,-0.75,34,0,16,152,186,0,226.0,6.647058823529412,6.371534044540262,16,320.0,0.20193190553774817,16,320.0
320.0,-0.8700000000000001,28,0,18,158,186,0,313.0,11.178571428571429,4.536098795492133,18,407.0,0.1566384339708176,18,407.0
325.0,-0.9199999999999999,29,0,19,163,192,0,405.0,13.96551724137931,3.769323133058624,19,499.0,0.21234471345786574,19,499.0
330.0,-1.0,30,0,20,164,194,0,505.0,16.833333333333332,4.172642672633523,20,599.0,0.26479672139217225,20,599.0
335.0,-1.0299999999999994,30,0,22,166,196,0,608.0,20.266666666666666,1.8390638583617909,22,702.0,0.1311735549454515,22,702.0
340.0,0.6899999999999995,34,0,22,166,200,0,539.0,15.852941176470589,3.1349526414620805,22,633.0,0.2049506625094016,22,633.0
345.0,-0.20999999999999996,36,0,24,166,202,0,560.0,15.555555555555555,3.559714705494642,24,654.0,0.19152760761098078,24,654.0
350.0,-0.15000000000000036,41,0,14,167,208,0,361.0,8.804878048780488,5.350801862054273,14,669.0,0.3408373274811386,14,669.0
355.0,1.2300000000000004,41,0,13,169,210,0,376.0,9.170731707317072,6.098046752843891,13,546.0,0.28639325195360404,13,546.0
360.0,-0.16000000000000014,38,0,17,172,210,0,452.0,11.894736842105264,5.778721506968574,17,562.0,0.20548913503844007,17,562.0
