step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.395004047842553,0,0.0,0.8934276954831682,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.423102868132714,0,0.0,0.8375507122606921,0,0.0
15.0,-0.03,16,0,2,0,16,0,3.0,0.1875,5.432600570344807,2,3.0,0.3737916749228856,2,3.0
20.0,-0.42000000000000004,16,0,10,0,16,0,45.0,2.8125,4.909937306719003,10,45.0,0.27042883540986196,10,45.0
25.0,-0.24999999999999994,15,0,6,1,16,0,56.0,3.7333333333333334,4.302115197761764,6,70.0,0.23527271429469385,6,70.0
30.0,-0.21000000000000008,18,0,8,2,20,0,91.0,5.055555555555555,7.010572456126867,8,91.0,0.3161324232108104,8,91.0
35.0,0.040000000000000036,26,0,2,2,28,0,42.0,1.6153846153846154,9.922492487880364,2,87.0,0.6673996563040547,2,87.0
40.0,0.35,22,0,2,6,28,0,52.0,2.3636363636363638,10.17846656827802,2,52.0,0.6570337022614537,2,52.0
45.0,0.42000000000000004,24,0,3,8,32,0,10.0,0.4166666666666667,7.965521383872718,3,10.0,0.43705843927191546,3,10.0
50.0,-0.38,20,0,9,12,32,0,48.0,2.4,6.153097872893864,9,48.0,0.22239810143506714,9,48.0
55.0,-0.20000000000000007,21,0,7,15,36,0,51.0,2.4285714285714284,5.907860206503271,7,68.0,0.29397109787674425,7,68.0
60.0,-0.17999999999999994,17,0,7,19,36,0,86.0,5.0588235294117645,7.343605966218667,7,86.0,0.34242013418401296,7,86.0
65.0,0.08999999999999997,17,0,3,19,36,0,40.0,2.3529411764705883,6.686306651375255,3,77.0,0.15257203777296605,3,77.0
70.0,0.20999999999999996,25,0,4,23,48,0,55.0,2.2,10.567719584015471,4,56.0,0.703519129121648,4,56.0
75.0,-0.04999999999999993,23,0,3,25,48,0,60.0,2.608695652173913,9.83115589774602,3,61.0,0.6748216007364184,3,61.0
80.0,-0.27,23,0,9,29,52,0,87.0,3.782608695652174,6.82156565635648,9,88.0,0.28057915152221263,9,88.0
85.0,0.30000000000000004,21,0,7,31,52,0,47.0,2.238095238095238,6.848034984297014,7,58.0,0.3295047107316422,7,58.0
90.0,-0.25,17,0,7,35,52,0,82.0,4.823529411764706,6.9801902433021255,7,83.0,0.30575976353569945,7,83.0
