step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,1,0,0,0,1,0,0.0,0.0,13.892634780046667,0,0.0,1.0,0,0.0,0.9754141690932717,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,3,0,0,0,3,0,0.0,0.0,11.646557172560925,0,0.0,0.8182422492834428,0,0.0,0.9312349923405323,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,7,0,0,0,7,0,0.0,0.0,11.606756212222958,0,0.0,0.8991049182132199,0,0.0,0.32951232385836926,0,0.0,0.9187896474039474,0,0.0,1.0,0,0.0
20.0,-0.25,10,0,1,0,10,0,4.0,0.4,9.442512949561834,0,0.0,0.6564651396895116,1,4.0,0.4497107493560156,0,0.0,0.9725545932163633,0,0.0,1.0,1,4.0
25.0,-0.5,11,0,2,0,11,0,6.0,0.5454545454545454,7.696407350976258,2,6.0,0.20600671056188163,0,0.0,0.9634259114340491,0,0.0,0.9650025895345836,0,0.0,0.9443257101480713,2,6.0
30.0,-0.25,14,0,1,0,14,0,2.0,0.14285714285714285,8.920417123049727,1,11.0,0.23778280886936942,0,0.0,0.9230523351464194,0,0.0,0.9916540840431907,0,2.0,0.9242526691902198,1,13.0
35.0,-0.25,15,0,1,0,15,0,5.0,0.3333333333333333,10.492171977646468,1,7.0,0.35640380342601174,0,2.0,0.82346665487408,0,0.0,0.983904454993248,0,2.0,0.9375764797929321,1,11.0
40.0,-1.0,20,0,4,0,20,0,9.0,0.45,9.011755441331063,1,5.0,0.4182006301687875,2,7.0,0.6734413417606314,0,0.0,0.8753080207060134,1,3.0,0.6309746789206757,4,15.0
45.0,-1.25,21,0,5,0,21,0,30.0,1.4285714285714286,6.731263366920025,2,15.0,0.44112529060663397,2,17.0,0.4292785485746565,1,4.0,0.6111868214843003,0,0.0,0.1429812571720093,5,36.0
50.0,-2.75,21,0,11,2,23,0,75.0,3.5714285714285716,4.159868308300462,3,26.0,0.20535931242651842,5,38.0,0.162715037646707,2,12.0,0.45940230973485174,1,5.0,0.0,11,81.0
55.0,-3.25,26,0,13,2,28,0,106.0,4.076923076923077,4.952811975525746,4,44.0,0.41626830585154545,4,49.0,0.24869552979128662,4,27.0,0.31915320257662655,1,10.0,0.0,13,130.0
60.0,-2.25,26,0,9,4,30,0,126.0,4.846153846153846,5.089027109503176,4,64.0,0.23221880299839226,3,47.0,0.38956290709463687,1,27.0,0.26479762749780217,1,17.0,0.6395788124976652,9,155.0
65.0,-2.75,28,0,11,4,32,0,175.0,6.25,6.866010154736894,6,88.0,0.13895028219693373,3,58.0,0.34162285867719533,1,15.0,0.6249913521649314,1,24.0,0.8054258040819346,11,185.0
70.0,-3.75,31,0,15,4,35,0,220.0,7.096774193548387,5.201759234673476,7,119.0,0.26082609227185927,4,74.0,0.16012809115507126,2,4.0,0.5705945016244104,2,31.0,0.5502976521201792,15,228.0
75.0,-4.75,34,0,19,4,38,0,305.0,8.970588235294118,3.0464257402880737,7,154.0,0.310240640247663,4,94.0,0.0019001050061822448,3,15.0,0.20109289651598705,5,50.0,0.10198505197416426,19,313.0
80.0,-6.0,37,0,24,4,41,0,328.0,8.864864864864865,2.927519720306139,8,192.0,0.21146257790249154,2,79.0,0.36197821140546016,4,34.0,0.175592050705236,10,92.0,0.00014688295516729352,24,397.0
85.0,-6.5,38,0,26,5,43,0,415.0,10.921052631578947,2.867043682366536,12,242.0,0.07221351164819588,2,26.0,0.4800111707126765,5,55.0,0.15453072879356206,7,120.0,0.03764754112168821,26,443.0
90.0,-5.25,40,0,21,6,46,0,365.0,9.125,3.515007035003246,10,249.0,0.15226343110428556,2,36.0,0.08883081619914264,5,80.0,0.08694124785308772,4,119.0,0.18206779906493042,21,484.0
95.0,-4.25,40,0,17,8,48,0,242.0,6.05,3.7295753094891295,6,200.0,0.15810226551260506,4,56.0,0.3702905712848187,6,107.0,7.454903501725392e-06,1,76.0,0.0603119399662274,17,439.0
100.0,-4.0,41,0,16,11,52,0,195.0,4.7560975609756095,5.061326339986135,7,235.0,0.21931191151368631,4,76.0,0.5240083048561552,3,101.0,0.21618534551890292,2,46.0,0.17468306350017934,16,458.0
