step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,2,0,0,0,2,0,0.0,0.0,10.671827532509624,0,0.0,1.0,0,0.0,0.8936055609629047,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,4,0,0,0,4,0,0.0,0.0,11.046131371207734,0,0.0,0.9079210469494442,0,0.0,0.9450429523062208,0,0.0,0.9961925162601603,0,0.0,1.0,0,0.0
15.0,0.0,6,0,0,0,6,0,0.0,0.0,11.548278995632595,0,0.0,0.9328130934030996,0,0.0,0.9629992563212361,0,0.0,0.9878347734900548,0,0.0,0.920699986021469,0,0.0
20.0,0.0,7,0,0,0,7,0,0.0,0.0,10.137096784314279,0,0.0,0.6025327104535861,0,0.0,0.9675254521385891,0,0.0,0.7971346518027919,0,0.0,0.9564486908431376,0,0.0
25.0,-0.25,9,0,1,0,9,0,5.0,0.5555555555555556,11.16085103583245,1,5.0,0.6219512187145528,0,0.0,0.9870484309955033,0,0.0,0.9695779049845868,0,0.0,0.8899283798348434,1,5.0
30.0,-0.5,12,0,2,0,12,0,11.0,0.9166666666666666,10.305072586972507,1,10.0,0.6602925227389573,0,0.0,0.9397247789512139,0,0.0,0.9346672459009138,1,1.0,0.6980617044787988,2,11.0
35.0,-0.5,16,0,2,0,16,0,21.0,1.3125,8.776161232785046,1,15.0,0.5270526877278663,0,0.0,0.9138190880761708,0,0.0,0.7522867074915295,1,6.0,0.6254611267684071,2,21.0
40.0,-1.5,19,0,6,0,19,0,41.0,2.1578947368421053,6.713955987975223,2,24.0,0.5876036211927852,0,0.0,1.0,1,1.0,0.5721992257890897,3,16.0,0.2833512978226195,6,41.0
45.0,-2.0,20,0,8,0,20,0,78.0,3.9,6.01411430201761,3,37.0,0.41856395632066823,0,0.0,1.0,2,11.0,0.5300873626968194,3,30.0,0.4486672210007868,8,78.0
50.0,-2.75,21,0,11,0,21,0,126.0,6.0,5.072699411650556,5,58.0,0.35425214296225327,0,0.0,1.0,3,23.0,0.027055471065983213,3,45.0,0.44253124072850564,11,126.0
55.0,-3.5,23,0,14,0,23,0,188.0,8.173913043478262,4.130626159285933,6,85.0,0.2134529364213057,0,0.0,0.9279499366795432,4,42.0,4.819338259801744e-05,4,61.0,0.2799100717803167,14,188.0
60.0,-3.0,24,0,12,2,26,0,145.0,6.041666666666667,3.7801699922320737,5,80.0,0.28190005272834845,0,0.0,0.9545808181877504,2,39.0,0.07530353593536708,5,83.0,0.003995300212844531,12,202.0
