step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
170.0,-4.5,30,0,18,44,74,0,189.0,6.3,3.8360053480329603,10,175.0,0.11269885162304187,6,77.0,0.14404028916518175,2,31.0,0.3273286115290826,0,2.0,0.9316337970688607,18,285.0
175.0,-4.5,32,0,18,44,76,0,137.0,4.28125,3.3455249466609382,8,189.0,0.1154583984943816,7,86.0,0.19167004091399456,2,41.0,0.24775308655584186,1,4.0,0.2656836866335582,18,320.0
180.0,-2.75,32,0,11,46,78,0,93.0,2.90625,4.579403083854576,5,172.0,0.2923839040044482,3,61.0,0.19557705910067724,0,13.0,0.5825241488579891,3,16.0,0.3570974390622117,11,262.0
185.0,-2.0,34,0,8,46,80,0,88.0,2.588235294117647,6.029978612142906,6,179.0,0.3202074358009203,2,61.0,0.15299428027563777,0,2.0,0.8452298420096178,0,16.0,0.6891914190435091,8,258.0
190.0,-3.75,36,0,15,46,82,0,144.0,4.0,5.04436269109086,9,218.0,0.1407531684321883,5,56.0,0.14297627245303854,1,3.0,0.39589908055481593,0,4.0,0.48408748984785993,15,281.0
195.0,-5.0,40,0,20,46,86,0,211.0,5.275,3.9876355478827046,11,268.0,0.1706128170617086,3,56.0,0.270987182573807,3,14.0,0.19415710712751114,3,14.0,0.069259972860036,20,352.0
200.0,-5.5,37,0,22,50,87,0,298.0,8.054054054054054,3.7241756937045847,12,328.0,0.14439540522998306,0,25.0,0.5306710963209499,4,33.0,0.0817145882602138,6,41.0,0.2899623791340182,22,427.0
205.0,-5.5,37,0,22,52,89,0,377.0,10.18918918918919,2.722197928552146,14,395.0,0.10982728100169621,0,13.0,0.29590214165260975,5,55.0,4.612630490341843e-05,3,51.0,0.4014859033387243,22,514.0
210.0,-6.0,38,0,24,52,90,0,429.0,11.289473684210526,2.5185345564063097,13,428.0,0.10273961262863088,3,24.0,0.015782769004206974,5,80.0,0.0,3,42.0,0.2275736524484493,24,574.0
215.0,-3.5,41,0,14,52,93,0,355.0,8.658536585365853,4.481835153307113,10,397.0,0.1822832860582128,2,26.0,0.05924416684352655,2,76.0,0.4913215468875153,0,32.0,0.09765518816294164,14,531.0
220.0,-3.25,39,0,13,55,94,0,236.0,6.051282051282051,6.0156844020479765,9,373.0,0.18902921885509777,0,8.0,0.4055952396571087,1,38.0,0.6811217176848857,3,14.0,0.3610759186705753,13,433.0
225.0,-2.25,39,0,9,56,95,0,67.0,1.7179487179487178,5.396010249038477,6,273.0,0.16898954696112897,2,13.0,0.4385531359064231,1,24.0,0.2480754776279379,0,16.0,0.4999464010846732,9,326.0
230.0,-2.25,37,0,9,60,97,0,43.0,1.162162162162162,5.450011871608514,3,282.0,0.26099669349864557,2,23.0,0.5514685526777869,4,41.0,0.005775700232891616,0,4.0,0.5405426579234721,9,350.0
235.0,-3.25,38,0,13,62,100,0,86.0,2.263157894736842,4.557996500100695,4,276.0,0.14741036433332214,3,34.0,0.32412236923124876,5,68.0,0.34840155222289215,1,6.0,0.40979861488801134,13,384.0
240.0,-5.0,38,0,20,64,102,0,171.0,4.5,3.789814576209553,8,305.0,0.04674461554999694,4,52.0,0.3612862515818335,5,93.0,0.4114472381149934,3,17.0,0.0003190944693840379,20,467.0
245.0,-6.75,39,0,27,65,104,0,242.0,6.205128205128205,2.7186785280428247,14,367.0,0.12546156034230282,6,80.0,0.17039189714028855,4,76.0,0.19763021273931103,3,32.0,0.0,27,555.0
250.0,-6.5,40,0,26,66,106,0,333.0,8.325,2.8749246467320297,14,437.0,0.17935914748279239,7,114.0,0.0012517135762497424,2,54.0,0.21641903616042948,3,47.0,0.0,26,652.0
255.0,-6.5,40,0,26,67,107,0,389.0,9.725,3.2654593655202726,16,511.0,0.07471285253314809,5,114.0,0.14996454656403696,2,21.0,0.30076274558450344,3,62.0,0.0,26,708.0
260.0,-5.0,40,0,20,68,108,0,334.0,8.35,4.1860580903013584,15,494.0,0.06928321175118032,3,86.0,0.284229319011093,2,21.0,0.0,0,47.0,0.5569968320105125,20,648.0
265.0,-3.5,38,0,14,71,109,0,217.0,5.7105263157894735,4.970769454985671,10,428.0,0.0984648252850247,2,72.0,0.35403567143362313,2,31.0,0.317053423017346,0,2.0,0.8613948299917471,14,533.0
270.0,-2.5,35,0,10,74,109,0,134.0,3.8285714285714287,5.542106616774123,7,381.0,0.12669476896533816,3,36.0,0.49589759342517814,0,16.0,0.5734853455435168,0,2.0,0.3211192487933702,10,435.0
275.0,-2.5,32,0,10,77,109,0,73.0,2.28125,5.852233219615029,5,349.0,0.11295661535899286,3,49.0,0.40740042751916844,0,2.0,0.90045414833816,2,10.0,0.3662540097690853,10,410.0
