step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0,0,4,0,0.0,0.0,13.960149932202429,0,0.0,0.9421917477002859,0,0.0,1.0,0,0.0,0.9847860102637007,0,0.0,1.0,0,0.0
10.0,0.0,5,0,0,0,5,0,0.0,0.0,13.526518102196587,0,0.0,0.9512488652458261,0,0.0,0.9497231341046808,0,0.0,0.9368080546962364,0,0.0,1.0,0,0.0
15.0,0.0,7,0,0,0,7,0,0.0,0.0,9.837863259002656,0,0.0,0.6710003803863941,0,0.0,1.0,0,0.0,0.6461129017682722,0,0.0,1.0,0,0.0
20.0,-0.5,9,0,2,0,9,0,9.0,1.0,10.457584650640815,1,4.0,0.7629157400773879,0,0.0,1.0,1,5.0,0.6304247116389627,0,0.0,0.9947141495856425,2,9.0
25.0,0.0,10,0,0,0,10,0,0.0,0.0,8.666536338907118,0,0.0,0.8734785792122196,0,0.0,0.9422203223426693,0,0.0,0.46785121049903,0,0.0,0.3466625370378485,0,0.0
30.0,-0.75,16,0,3,0,16,0,9.0,0.5625,9.720541499077969,1,1.0,0.5807418018682414,0,2.0,0.9547010196539536,1,5.0,0.45548298105799717,1,5.0,0.5827554156054493,3,13.0
35.0,0.0,17,0,0,0,17,0,0.0,0.0,10.441396921469064,0,2.0,0.6989725382750718,0,2.0,0.9754231506598643,0,0.0,0.2406641902199029,0,2.0,0.9528499087807706,0,6.0
40.0,-0.75,17,0,3,0,17,0,4.0,0.23529411764705882,9.318445913168485,1,1.0,0.3919750205592328,1,4.0,0.6213272674715112,0,2.0,0.8480643094899858,1,3.0,0.494454810030718,3,10.0
45.0,-0.25,18,0,1,0,18,0,1.0,0.05555555555555555,8.851227730893394,0,0.0,0.4961330397557942,0,0.0,0.36836030609433656,0,2.0,0.8432798901472043,1,3.0,0.5032594873374453,1,5.0
50.0,-1.0,17,0,4,3,20,0,16.0,0.9411764705882353,7.3839253746818585,1,5.0,0.28023539400127423,1,5.0,0.4736604329110032,0,2.0,0.5863565441506446,2,8.0,0.08334976848297959,4,20.0
55.0,-1.25,18,0,5,3,21,0,27.0,1.5,6.64195294756187,2,13.0,0.00018467633615261984,1,10.0,0.49413380286674313,2,8.0,0.41916374869078515,0,7.0,0.1942548531661516,5,38.0
60.0,-1.5,15,0,6,7,22,0,42.0,2.8,4.87036585916437,2,23.0,0.0,2,16.0,0.3074769536434706,2,14.0,0.21571568020496343,0,0.0,1.0,6,53.0
65.0,-1.0,16,0,4,7,23,0,19.0,1.1875,7.947050437304755,0,11.0,0.5911257393640634,1,8.0,0.47740405558974086,3,17.0,0.15158597033319723,0,0.0,1.0,4,36.0
70.0,-0.5,14,0,2,10,24,0,14.0,1.0,8.492477651995161,0,0.0,0.9443646072700284,1,13.0,0.0,1,23.0,0.4276625830843357,0,2.0,0.8986467412288149,2,38.0
