step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,1,0,0,0,1,0,0.0,0.0,13.723770233741933,0,0.0,1.0,0,0.0,0.9627130607388485,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,2,0,0,0,2,0,0.0,0.0,12.295555094504167,0,0.0,1.0,0,0.0,0.9818825160268807,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,4,0,0,0,4,0,0.0,0.0,11.888822650337577,0,0.0,1.0,0,0.0,0.8412775953517749,0,0.0,0.9850076808167119,0,0.0,1.0,0,0.0
20.0,0.0,6,0,0,0,6,0,0.0,0.0,13.216073912522676,0,0.0,1.0,0,0.0,0.8968184148430939,0,0.0,0.9906848631220103,0,0.0,0.9964109769092349,0,0.0
25.0,0.0,6,0,0,0,6,0,0.0,0.0,9.917199984954054,0,0.0,1.0,0,0.0,0.9313009879734185,0,0.0,0.48194901220100583,0,0.0,0.785573618403486,0,0.0
30.0,-0.5,9,0,2,0,9,0,8.0,0.8888888888888888,8.297583468563579,0,0.0,0.9507500057421647,0,0.0,1.0,1,5.0,0.3857273823888269,1,3.0,0.5398940453019891,2,8.0
35.0,-0.75,12,0,3,0,12,0,23.0,1.9166666666666667,9.095878795433407,0,0.0,0.9821134738500299,0,0.0,1.0,2,15.0,0.4288244494433175,1,8.0,0.605382360887946,3,23.0
40.0,-1.25,13,0,5,0,13,0,41.0,3.1538461538461537,5.202414886383802,1,2.0,0.5118465247797745,0,0.0,0.9567804297183394,2,25.0,0.4071174571936783,2,14.0,0.07265917117441516,5,41.0
45.0,-1.75,13,0,7,0,13,0,52.0,4.0,2.8167529217856075,3,14.0,0.00038353993600425974,0,0.0,0.9594122073734774,3,37.0,0.005300694330525475,1,7.0,0.12203695356016671,7,58.0
50.0,-1.75,13,0,7,0,13,0,85.0,6.538461538461538,5.225047474076693,3,29.0,0.0,0,0.0,0.992446291306431,4,56.0,0.0,0,1.0,0.692495259094521,7,86.0
