step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,4,0,0,0,4,0,0.0,0.0,14.38105545927423,0,0.0,0.9527616692272267,0,0.0,1.0,0,0.0,0.9738194258774859,0,0.0,1.0,0,0.0
15.0,0.0,5,0,0,0,5,0,0.0,0.0,14.333764320898757,0,0.0,0.9748561071745282,0,0.0,1.0,0,0.0,0.9586303628943486,0,0.0,1.0,0,0.0
20.0,0.0,6,0,0,0,6,0,0.0,0.0,9.63359207254202,0,0.0,0.6597520399736165,0,0.0,1.0,0,0.0,0.7167324971744333,0,0.0,1.0,0,0.0
25.0,-0.5,7,0,2,0,7,0,7.0,1.0,9.531521940498205,1,2.0,0.6364552723499933,0,0.0,1.0,1,5.0,0.6289780106047965,0,0.0,1.0,2,7.0
30.0,-0.5,10,0,2,0,10,0,17.0,1.7,8.86769130760918,1,7.0,0.7142695683217666,0,0.0,1.0,1,10.0,0.459252724271233,0,0.0,1.0,2,17.0
35.0,-1.0,13,0,4,0,13,0,33.0,2.5384615384615383,7.927461433025799,2,14.0,0.6135313369350507,0,0.0,0.9504490819653924,2,19.0,0.2509312330754836,0,0.0,1.0,4,33.0
40.0,-1.25,14,0,5,1,15,0,52.0,3.7142857142857144,6.531627123856027,3,27.0,0.5312830681621333,0,0.0,0.7240368294583784,2,25.0,0.3038081030578742,0,0.0,1.0,5,52.0
45.0,-2.0,14,0,8,1,15,0,84.0,6.0,5.865851172661523,4,45.0,0.1979749847737632,2,4.0,0.0008259752844013198,2,35.0,0.4938629327743327,0,0.0,1.0,8,84.0
50.0,-2.0,14,0,8,1,15,0,124.0,8.857142857142858,3.9341268215948753,4,65.0,0.0063449904536244705,2,14.0,0.0,2,45.0,0.3843435204866217,0,0.0,1.0,8,124.0
55.0,-2.5,12,0,10,3,15,0,174.0,14.5,0.8361924425113081,5,90.0,1.4749993682719925e-06,2,24.0,0.0,3,60.0,0.14633368306125497,0,0.0,1.0,10,174.0
60.0,-2.25,13,0,9,3,16,0,157.0,12.076923076923077,1.6965808769313446,5,115.0,0.16666666666666666,2,34.0,0.0,2,40.0,0.11632559090373813,0,0.0,1.0,9,189.0
