step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,12.711953557722737,0,0.0,0.8995438934533518,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.239914282358688,0,0.0,0.8679113190602008,0,0.0
15.0,18,0,6,0,18,0,11.0,0.6111111111111112,5.587729011144978,6,11.0,0.3550825771843724,6,11.0
20.0,18,0,10,0,18,0,57.0,3.1666666666666665,5.513751272675609,10,57.0,0.32069357301564516,10,57.0
25.0,22,0,12,2,24,0,111.0,5.045454545454546,4.842823746021197,12,111.0,0.274470072123825,12,111.0
30.0,22,0,8,2,24,0,104.0,4.7272727272727275,5.1765962966245045,8,141.0,0.28865440071455123,8,141.0
35.0,26,0,6,2,28,0,124.0,4.769230769230769,7.574235840226001,6,134.0,0.3888596121635044,6,134.0
40.0,30,0,8,4,34,0,160.0,5.333333333333333,9.504271754936326,8,160.0,0.5060974591322472,8,160.0
45.0,29,0,8,9,38,0,200.0,6.896551724137931,9.116600815127288,8,200.0,0.45608385906502796,8,200.0
50.0,25,0,7,15,40,0,216.0,8.64,6.739597735524728,7,216.0,0.3584878221531996,7,216.0
55.0,25,0,10,19,44,0,261.0,10.44,6.021623721796676,10,261.0,0.3081284850842005,10,261.0
60.0,24,0,10,20,44,0,311.0,12.958333333333334,5.570773009496562,10,311.0,0.269928713341507,10,311.0
65.0,26,0,12,24,50,0,366.0,14.076923076923077,6.837027808958272,12,366.0,0.3483181701529391,12,366.0
70.0,26,0,12,24,50,0,426.0,16.384615384615383,6.799000718565687,12,426.0,0.2710573616439544,12,426.0
75.0,34,0,10,28,62,0,461.0,13.558823529411764,7.254536615166762,10,462.0,0.44509028751140045,10,462.0
80.0,30,0,14,32,62,0,522.0,17.4,6.991714694960454,14,522.0,0.42414675955070513,14,522.0
85.0,36,0,12,32,68,0,563.0,15.63888888888889,4.244540687490475,12,573.0,0.22516591246294476,12,573.0
90.0,32,0,18,36,68,0,651.0,20.34375,4.749059760178124,18,651.0,0.2433717684815012,18,651.0
95.0,36,0,14,36,72,0,333.0,9.25,5.524737260590066,14,575.0,0.2780157697678592,14,575.0
100.0,34,0,14,40,74,0,261.0,7.676470588235294,6.047317723121351,14,393.0,0.29538109779426697,14,393.0
