step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
110.0,-0.75,88,0,0.0,87,0.9886363636363636,20,0,3,26,46,0,8.0,0.4,8.06800059439846,1,5.0,0.6525331481217043,0,2.0,0.8929563192782322,1,3.0,0.3138791338135968,1,4.0,0.5923158275465489,3,14.0
115.0,-1.0,92,0,0.0,91,0.9891304347826086,24,0,4,28,52,0,13.0,0.5416666666666666,8.588322419702058,1,2.0,0.5785198501568408,0,2.0,0.8947591073920258,3,13.0,0.2493054226594672,0,2.0,0.8668212141101654,4,19.0
120.0,-1.25,96,0,0.0,95,0.9895833333333334,25,0,5,29,54,0,19.0,0.76,7.782564451237335,2,11.0,0.6205985719617452,1,3.0,0.3370301479991505,2,21.0,0.3574037820534126,0,2.0,0.8848947565938724,5,37.0
125.0,-0.75,100,0,0.0,98,0.98,27,0,3,29,56,0,16.0,0.5925925925925926,7.033055789221725,0,7.0,0.5568142392950459,1,6.0,0.22274299514248935,2,17.0,0.4352377981886078,0,2.0,0.1350948127536524,3,32.0
130.0,-1.75,104,0,0.0,102,0.9807692307692307,27,0,7,30,57,0,31.0,1.1481481481481481,7.068164094976262,1,4.0,0.33422732426451535,3,20.0,0.5306111886694732,0,8.0,0.3941634594083278,3,11.0,0.0005261365968516556,7,43.0
135.0,-0.5,108,0,0.0,106,0.9814814814814815,27,0,2,33,60,0,5.0,0.18518518518518517,8.396160337072798,1,4.0,0.43418370534382744,0,17.0,0.6782772216003462,1,6.0,0.4609356024299052,0,13.0,0.6154739816442186,2,40.0
140.0,-0.75,112,0,0.0,110,0.9821428571428571,26,0,3,38,64,0,10.0,0.38461538461538464,10.175280312108736,2,9.0,0.6417786156616202,1,3.0,0.618883785502213,0,2.0,0.8815092468739181,0,4.0,0.9072437128830263,3,18.0
145.0,-0.25,116,0,0.0,114,0.9827586206896551,28,0,1,38,66,0,2.0,0.07142857142857142,9.113662467597154,0,6.0,0.4926518103971535,1,3.0,0.3816212817318816,0,2.0,0.7201515313469329,0,2.0,0.8513484217399792,1,13.0
150.0,-1.5,120,0,0.0,118,0.9833333333333333,28,0,6,40,68,0,23.0,0.8214285714285714,8.122628066862552,3,9.0,0.2120429839219781,1,9.0,0.6246709619173677,1,4.0,0.3085797931551533,1,5.0,0.4035809672487956,6,27.0
155.0,-0.25,124,0,0.0,122,0.9838709677419355,24,0,1,44,68,0,4.0,0.16666666666666666,7.21528429765804,1,15.0,0.34399534166006535,0,5.0,0.5974325881330942,0,1.0,0.2293306948705207,0,1.0,0.2012666862190571,1,22.0
160.0,0.0,128,0,0.0,126,0.984375,23,0,0,47,70,0,0.0,0.0,10.292862820841833,0,4.0,0.7077155239102848,0,2.0,0.24977817241427894,0,2.0,0.8952317547763702,0,4.0,0.9112589341509578,0,12.0
165.0,-0.5,132,0,0.0,130,0.9848484848484849,22,0,2,50,72,0,8.0,0.36363636363636365,11.119197404730706,0,0.0,0.9196907039109874,2,10.0,3.4219031612029914e-05,0,2.0,0.9134944006219277,0,4.0,0.8657590449279601,2,16.0
170.0,-0.5,136,0,0.0,134,0.9852941176470589,23,0,2,52,75,0,3.0,0.13043478260869565,8.674076415853605,0,0.0,0.8088062754042973,0,6.0,0.6521465323147716,1,3.0,0.5311352938705117,1,4.0,0.5010451843663398,2,13.0
175.0,-1.0,140,0,0.0,138,0.9857142857142858,23,0,4,54,77,0,5.0,0.21739130434782608,5.864671975064873,1,2.0,0.47500456255205636,0,0.0,0.8230419312654517,1,4.0,0.16220320206532254,2,6.0,0.1411106591559604,4,12.0
180.0,-1.5,144,0,0.0,142,0.9861111111111112,24,0,6,54,78,0,31.0,1.2916666666666667,8.495226853010509,3,15.0,0.3624046439318466,0,0.0,0.8508763874368446,1,5.0,0.4805633650137327,2,12.0,5.563941869456889e-06,6,32.0
185.0,-1.0,148,0,0.0,146,0.9864864864864865,22,0,4,58,80,0,15.0,0.6818181818181818,7.140545041283144,2,18.0,0.3737742859481175,1,1.0,0.04095605333061258,1,4.0,0.33418176883115486,0,9.0,0.26014588114994525,4,32.0
190.0,-1.0,152,0,0.0,150,0.9868421052631579,21,0,4,62,83,0,34.0,1.619047619047619,9.358680242177794,2,21.0,0.6481996877124764,0,3.0,0.7459307544910174,2,14.0,0.0,0,2.0,0.9116958414291626,4,40.0
195.0,0.0,156,0,0.0,154,0.9871794871794872,21,0,0,65,86,0,0.0,0.0,10.463441165625781,0,10.0,0.5888315181710196,0,2.0,0.9499769687929316,0,8.0,0.20577463893566383,0,4.0,0.9283842859849045,0,24.0
200.0,-0.5,160,0,0.0,158,0.9875,20,0,2,67,87,0,3.0,0.15,8.968429639793392,0,0.0,0.6635878500446315,1,3.0,0.52779938891436,0,2.0,0.9077252217466816,1,6.0,0.5859784016457125,2,11.0
205.0,-0.75,164,0,0.0,162,0.9878048780487805,21,0,3,67,88,0,8.0,0.38095238095238093,7.293515527650255,2,6.0,0.2619421490509945,0,4.0,0.26454337490910124,0,2.0,0.9397598091765353,1,7.0,0.44183494123158634,3,19.0
210.0,-1.75,168,0,0.0,166,0.9880952380952381,22,0,7,69,91,0,36.0,1.6363636363636365,6.118835628547331,3,20.0,0.19143949909810296,1,3.0,0.5104526949938609,1,4.0,0.5311774704360037,2,13.0,0.15362189228988765,7,40.0
215.0,-1.25,172,0,0.0,170,0.9883720930232558,24,0,5,69,93,0,30.0,1.25,6.18161712474695,2,26.0,0.28039449944903727,1,8.0,0.6072031357887826,1,5.0,0.25236472740736093,1,13.0,0.1178244298672841,5,52.0
220.0,-1.0,176,0,0.0,174,0.9886363636363636,21,0,4,73,94,0,47.0,2.238095238095238,8.78006213764021,2,29.0,0.4576927995449873,1,13.0,0.6560092685755579,1,8.0,0.6101689528292554,0,2.0,0.5244131547397272,4,52.0
225.0,-0.25,180,0,0.0,178,0.9888888888888889,24,0,1,74,98,0,3.0,0.125,8.644770434812012,0,14.0,0.5838082878589324,0,0.0,0.17927770142928176,1,6.0,0.6559212597254638,0,0.0,1.0,1,20.0
230.0,-0.75,184,0,0.0,182,0.9891304347826086,23,0,3,77,100,0,12.0,0.5217391304347826,10.255849091744636,1,2.0,0.7166935033865445,0,2.0,0.9042444567038083,2,13.0,0.382625165107883,0,4.0,0.8943718612841508,3,21.0
235.0,-0.25,188,0,0.0,186,0.9893617021276596,21,0,1,81,102,0,7.0,0.3333333333333333,9.185068164672797,1,7.0,0.4493630841526698,0,2.0,0.921364171219081,0,11.0,0.33303037534112584,0,4.0,0.8944686913636234,1,24.0
240.0,-1.5,192,0,0.0,190,0.9895833333333334,22,0,6,81,103,0,28.0,1.2727272727272727,7.115647215620097,3,20.0,0.32892157252899046,1,5.0,0.6545485939545056,1,4.0,0.0,1,3.0,0.5549818734208727,6,32.0
245.0,-1.0,196,0,0.0,194,0.9897959183673469,25,0,4,81,106,0,29.0,1.16,6.172998000107795,2,29.0,0.16095884321062,0,2.0,0.5579175288472961,1,9.0,0.48879706447798804,1,5.0,0.3078569843797261,4,45.0
250.0,-1.5,200,0,0.0,198,0.99,23,0,6,83,106,0,53.0,2.3043478260869565,8.43725363827368,2,29.0,0.1581048268264811,1,3.0,0.751123182451763,1,14.0,0.4532660290906505,2,9.0,0.221869435521819,6,55.0
255.0,-0.75,204,0,0.0,202,0.9901960784313726,24,0,3,85,109,0,10.0,0.4166666666666667,8.36939678392158,1,13.0,0.5648144346431812,2,9.0,0.5503730526124194,0,0.0,0.4699900342224706,0,7.0,0.19544689976757929,3,29.0
260.0,-1.25,208,0,0.0,206,0.9903846153846154,23,0,5,89,112,0,30.0,1.3043478260869565,8.920679237628303,1,8.0,0.7234196824344336,4,24.0,0.2535342280432293,0,2.0,0.9382810306860394,0,2.0,0.9612802269697873,5,36.0
265.0,-1.25,212,0,0.0,209,0.9858490566037735,24,0,5,91,115,0,18.0,0.75,8.366973316649512,1,1.0,0.6946648289501375,4,36.0,0.2537063361622029,0,2.0,0.9268048818099314,0,2.0,0.9295655321526907,5,41.0
270.0,-1.5,216,0,0.0,213,0.9861111111111112,26,0,6,93,119,0,37.0,1.4230769230769231,7.809737864026388,1,6.0,0.6495651058571664,3,36.0,0.45153355301614734,1,3.0,0.6117552634734248,1,5.0,0.5681179628030579,6,50.0
275.0,-0.5,220,0,0.0,217,0.9863636363636363,24,0,2,95,119,0,12.0,0.5,7.058524435278591,1,11.0,0.4864534625444898,1,31.0,0.3685026488818447,0,2.0,0.5678957940211762,0,4.0,0.793498790699647,2,48.0
280.0,-1.75,224,0,0.0,221,0.9866071428571429,25,0,7,95,120,0,34.0,1.36,5.928021286518924,2,17.0,0.3308537986297196,4,18.0,0.23909379750088813,1,4.0,0.13439375354537508,0,2.0,0.3486832394448212,7,41.0
