step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
110.0,-2.5,0,0,0.0,0,0.0,28,0,10,15,43,0,131.0,4.678571428571429,7.9826295938527,4,38.0,0.19824372837308601,0,0.0,0.9894785397818713,5,69.0,0.3612577452785424,1,24.0,0.7583452609214921,10,131.0
115.0,-2.75,0,0,0.0,0,0.0,28,0,11,16,44,0,182.0,6.5,7.257712103179888,4,58.0,0.12046733696447251,0,0.0,1.0,6,95.0,0.14024340088792692,1,29.0,0.7465041730370251,11,182.0
120.0,-3.0,0,0,0.0,0,0.0,26,0,12,18,44,0,240.0,9.23076923076923,6.203426631620071,5,81.0,4.6692833438671504e-05,0,0.0,1.0,6,125.0,0.06817117388563192,1,34.0,0.637820371648171,12,240.0
125.0,-3.25,0,0,0.0,0,0.0,24,0,13,23,47,0,302.0,12.583333333333334,5.599511438442725,5,106.0,0.27997511523690155,0,0.0,0.9347140533182935,7,157.0,0.00010697133504580859,1,39.0,0.291982429786251,13,302.0
130.0,-3.5,0,0,0.0,0,0.0,24,0,14,25,49,0,369.0,15.375,5.08137286876447,5,131.0,0.4166916975579833,0,0.0,0.974239555071831,7,192.0,0.0,2,46.0,0.000725116157479071,14,369.0
135.0,-4.0,0,0,0.0,0,0.0,22,0,16,28,50,0,442.0,20.09090909090909,2.3998050620733378,6,158.0,0.2255067757826846,1,1.0,0.002808016924965866,7,227.0,0.0,2,56.0,0.0,16,442.0
140.0,-1.75,0,0,0.0,0,0.0,24,0,7,30,54,0,76.0,3.1666666666666665,4.967620560118935,3,101.0,0.29412607469510915,1,6.0,0.5899774628301863,2,151.0,0.10254899051121313,1,12.0,0.30273768591873046,7,270.0
145.0,-1.0,0,0,0.0,0,0.0,25,0,4,30,55,0,42.0,1.68,8.929694489444993,2,23.0,0.39883406878776756,1,12.0,0.7814961942550056,0,75.0,0.43675334358162415,1,18.0,0.6947101536211246,4,128.0
150.0,-1.25,0,0,0.0,0,0.0,26,0,5,31,57,0,63.0,2.423076923076923,8.930849876469228,3,25.0,0.22727701373658557,1,17.0,0.5725623947127604,0,0.0,1.0,1,23.0,0.7260736130353033,5,65.0
155.0,-2.0,0,0,0.0,0,0.0,28,0,8,31,59,0,98.0,3.5,8.657403073450057,3,40.0,0.0,4,31.0,0.48379170490332224,0,0.0,0.9498953445236074,1,27.0,0.6734444854248892,8,98.0
160.0,-2.5,0,0,0.0,0,0.0,28,0,10,33,61,0,144.0,5.142857142857143,7.8067448257347065,3,55.0,0.3791628039231704,6,57.0,0.23622640830301853,0,0.0,0.9423625400135751,1,32.0,0.6321656138086759,10,144.0
165.0,-2.75,0,0,0.0,0,0.0,29,0,11,35,64,0,197.0,6.793103448275862,7.694056536545769,3,70.0,0.4732653060461906,7,90.0,0.20405897153315627,0,0.0,1.0,1,37.0,0.6393685211644614,11,197.0
170.0,-3.0,0,0,0.0,0,0.0,28,0,12,39,67,0,253.0,9.035714285714286,7.239530538132079,4,86.0,0.32783832342618074,7,125.0,0.3453893326848188,0,0.0,0.9717142178709242,1,42.0,0.48471453143690235,12,253.0
175.0,-3.75,0,0,0.0,0,0.0,24,0,15,44,68,0,318.0,13.25,3.9658037604562666,5,108.0,0.26348923624679504,8,161.0,0.154159914984257,0,0.0,0.6448588388738041,2,49.0,0.0005154545240820326,15,318.0
180.0,-4.5,0,0,0.0,0,0.0,23,0,18,47,70,0,401.0,17.434782608695652,2.545202706434709,5,133.0,0.3738960822683989,10,206.0,0.10365404196339095,1,3.0,0.0005607500258548744,2,59.0,0.0,18,401.0
185.0,-2.25,0,0,0.0,0,0.0,28,0,9,47,75,0,100.0,3.5714285714285716,5.171627103861261,0,58.0,0.5646710836067407,7,169.0,0.12592852573142047,1,8.0,0.5841861299060694,1,12.0,0.39317441539606696,9,247.0
190.0,-1.75,0,0,0.0,0,0.0,31,0,7,47,78,0,54.0,1.7419354838709677,7.6308103675086825,2,19.0,0.5614271888848259,3,130.0,0.25579995041301495,1,14.0,0.8097244331184357,1,18.0,0.7460372830506413,7,181.0
195.0,-1.25,0,0,0.0,0,0.0,32,0,5,48,80,0,71.0,2.21875,8.714757354532555,2,18.0,0.5946822950106624,1,57.0,0.3297347744230215,1,19.0,0.7118853891723079,1,23.0,0.7283421761714793,5,117.0
200.0,-1.75,0,0,0.0,0,0.0,33,0,7,48,81,0,103.0,3.121212121212121,8.281265638380168,3,30.0,0.3112153901128511,1,37.0,0.5577565704450146,2,28.0,0.5273491684827081,1,27.0,0.746196866647476,7,122.0
205.0,-2.5,0,0,0.0,0,0.0,32,0,10,50,82,0,148.0,4.625,8.05880154176911,5,51.0,0.16064892489249558,1,23.0,0.43185686451209354,3,42.0,0.5156602968323644,1,32.0,0.7048606722920067,10,148.0
210.0,-2.75,0,0,0.0,0,0.0,32,0,11,51,83,0,199.0,6.21875,7.55114859462484,6,77.0,0.1435365566358505,1,28.0,0.0,3,57.0,0.3736434962290994,1,37.0,0.6852203352312982,11,199.0
215.0,-3.0,0,0,0.0,0,0.0,31,0,12,54,85,0,255.0,8.225806451612904,6.839154474097055,6,107.0,0.24151573900118828,1,33.0,0.4927681962959618,4,73.0,0.0007519404519020909,1,42.0,0.46228004639865705,12,255.0
220.0,-3.25,0,0,0.0,0,0.0,29,0,13,59,88,0,318.0,10.96551724137931,5.278743964018952,6,137.0,0.3459667417676774,1,38.0,0.32846672212495237,4,93.0,0.2,2,50.0,0.023229521495572107,13,318.0
225.0,-4.5,0,0,0.0,0,0.0,27,0,18,63,90,0,397.0,14.703703703703704,3.38216649043747,7,169.0,0.1328148697453209,2,45.0,0.32073705752373594,4,113.0,0.30352126881243857,5,70.0,0.0002196555867500144,18,397.0
230.0,-2.25,0,0,0.0,0,0.0,28,0,9,66,94,0,81.0,2.892857142857143,5.1390083121513594,4,118.0,0.1950632211553081,1,7.0,0.7351509571147419,0,40.0,0.4525640120692357,4,38.0,0.1300558662537792,9,203.0
235.0,-2.0,0,0,0.0,0,0.0,31,0,8,66,97,0,95.0,3.064516129032258,7.865602836455633,3,77.0,0.45334308155756337,1,13.0,0.7211751396403193,0,0.0,0.639518580389802,4,59.0,0.3691740482437646,8,149.0
240.0,-2.25,0,0,0.0,0,0.0,32,0,9,67,99,0,137.0,4.28125,8.210295617707011,3,40.0,0.4323734708893328,2,20.0,0.585700429645752,0,0.0,0.9015064603429271,4,79.0,0.5006813238495218,9,139.0
245.0,-3.0,0,0,0.0,0,0.0,34,0,12,68,102,0,192.0,5.647058823529412,7.446316697345246,4,56.0,0.1981786820082017,4,38.0,0.5057178580013816,0,0.0,1.0,4,98.0,0.4794296912833363,12,192.0
250.0,-3.25,0,0,0.0,0,0.0,39,0,13,68,107,0,256.0,6.564102564102564,7.467229743723431,4,76.0,0.47587083739202485,5,62.0,0.34982636468409933,0,0.0,1.0,4,118.0,0.3656868692991961,13,256.0
255.0,-3.75,0,0,0.0,0,0.0,41,0,15,70,111,0,326.0,7.951219512195122,7.176765255953599,4,96.0,0.5048512475809984,7,92.0,0.16149607760836887,0,0.0,0.932180260322038,4,138.0,0.0,15,326.0
260.0,-4.75,0,0,0.0,0,0.0,36,0,19,76,112,0,413.0,11.472222222222221,5.438220147697347,6,121.0,0.24024439884038623,9,134.0,0.1730143918644228,0,0.0,0.8514584834891918,4,158.0,0.0,19,413.0
265.0,-5.75,0,0,0.0,0,0.0,34,0,23,81,115,0,517.0,15.205882352941176,3.6242392762796944,9,159.0,0.2345935063440321,9,179.0,0.12738320070774173,1,1.0,0.3302905954522769,4,178.0,0.0,23,517.0
270.0,-6.5,0,0,0.0,0,0.0,32,0,26,85,117,0,641.0,20.03125,1.6155473033410197,10,206.0,0.2552459683803538,10,227.0,0.0007674885313744957,2,10.0,0.18496693230178476,4,198.0,0.0,26,641.0
275.0,-3.75,0,0,0.0,0,0.0,33,0,15,85,118,0,180.0,5.454545454545454,3.3052861518635885,6,150.0,0.18699279807697033,6,187.0,0.17295037355375914,3,22.0,0.17701186863986845,0,100.0,0.42602931176357184,15,459.0
280.0,-1.75,0,0,0.0,0,0.0,35,0,7,85,120,0,82.0,2.342857142857143,6.7221445933995705,2,100.0,0.3497766958620709,2,139.0,0.2656900288691503,3,38.0,0.4632178898484809,0,1.0,0.918861148127231,7,278.0
285.0,-2.25,0,0,0.0,0,0.0,36,0,9,86,122,0,125.0,3.4722222222222223,8.674173447213041,4,69.0,0.4400758107331432,2,75.0,0.41396859297692357,3,53.0,0.6059152178624851,0,1.0,0.8707568460574233,9,198.0
290.0,-2.25,0,0,0.0,0,0.0,39,0,9,87,126,0,170.0,4.358974358974359,8.849270655144865,4,65.0,0.3908052996554748,2,43.0,0.5146241015424748,3,67.0,0.637621812727065,0,0.0,0.8101826154661533,9,175.0
295.0,-2.75,0,0,0.0,0,0.0,36,0,11,90,126,0,223.0,6.194444444444445,8.103754332392093,6,88.0,0.13338137523550014,2,53.0,0.43406204601818754,3,82.0,0.6120248034394931,0,0.0,0.8984818768501831,11,223.0
300.0,-3.25,0,0,0.0,0,0.0,34,0,13,93,127,0,284.0,8.352941176470589,7.450128679805864,7,123.0,0.0,2,63.0,0.27580128917850083,4,98.0,0.50633152457187,0,0.0,0.9315633312284697,13,284.0
305.0,-3.25,0,0,0.0,0,0.0,32,0,13,97,129,0,349.0,10.90625,7.031558505206397,7,158.0,0.0,2,73.0,0.32238448240421785,4,118.0,0.4221621650153037,0,0.0,0.9133291720084653,13,349.0
310.0,-3.75,0,0,0.0,0,0.0,29,0,15,101,130,0,417.0,14.379310344827585,5.603384995122244,7,193.0,0.0,2,83.0,0.3153213085971071,6,141.0,0.19547443506614942,0,0.0,0.8715238318023755,15,417.0
315.0,-5.0,0,0,0.0,0,0.0,25,0,20,107,132,0,504.0,20.16,2.579274605407991,7,228.0,0.0,3,94.0,0.2517231018357406,8,178.0,0.17795751306285007,2,4.0,0.0007170582078424975,20,504.0
320.0,-2.25,0,0,0.0,0,0.0,23,0,9,109,132,0,105.0,4.565217391304348,3.6819739250568544,2,155.0,0.12093515265679414,1,6.0,0.5429412627572033,4,104.0,0.1454972465894216,2,14.0,0.20797170671664014,9,279.0
325.0,-1.25,0,0,0.0,0,0.0,25,0,5,109,134,0,68.0,2.72,7.8512447152920615,0,83.0,0.5999247069375588,1,12.0,0.6713813209747849,2,54.0,0.34635693346811575,2,25.0,0.5558335400216776,5,174.0
330.0,-1.5,0,0,0.0,0,0.0,26,0,6,109,135,0,97.0,3.730769230769231,9.621696224615746,0,0.0,0.9941370006326924,2,21.0,0.6113595580863004,2,43.0,0.4580989201193893,2,35.0,0.666900122980214,6,99.0
335.0,-1.5,0,0,0.0,0,0.0,29,0,6,111,140,0,127.0,4.379310344827586,9.16434366379654,0,0.0,0.7281983987614287,2,30.0,0.6115351143350285,2,53.0,0.30341234357856234,2,44.0,0.6384520513251538,6,127.0
