step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0.0,4,0,0.0,4,1.0,2,0,0,0,2,0,0.0,0.0,12.3994179323306,0,0.0,1.0,0,0.0,1.0,0,0.0,0.923796590781473,0,0.0,1.0,0,0.0
10.0,0.0,0.0,8,0,0.0,8,1.0,3,0,0,0,3,0,0.0,0.0,13.221851284835294,0,0.0,0.9831362813726147,0,0.0,1.0,0,0.0,0.9678394778772732,0,0.0,1.0,0,0.0
15.0,0.0,0.0,12,0,0.0,12,1.0,7,0,0,0,7,0,0.0,0.0,11.94544576140247,0,0.0,0.8657331820190337,0,0.0,0.9599606801395739,0,0.0,0.9003002262496292,0,0.0,1.0,0,0.0
20.0,-0.5,-0.1,16,0,0.0,16,1.0,10,0,2,0,10,0,4.0,0.4,9.00143624010431,1,2.0,0.6509774380682855,0,0.0,0.923663147846165,1,2.0,0.5647341795727651,0,0.0,1.0,2,4.0
25.0,0.0,-0.1,20,0,0.0,20,1.0,11,0,0,0,11,0,0.0,0.0,8.324767442053435,0,0.0,0.5015611061640277,0,0.0,0.9346033374194054,0,1.0,0.41633854674717363,0,0.0,0.9976189445723412,0,1.0
30.0,-0.25,-0.14999999999999997,24,0,0.0,24,1.0,15,0,1,0,15,0,4.0,0.26666666666666666,10.60829227359817,1,4.0,0.47322387454124204,0,2.0,0.8569364233255347,0,0.0,0.7790166041233781,0,2.0,0.9004685807317984,1,8.0
35.0,0.0,-0.14999999999999997,28,0,0.0,28,1.0,17,0,0,0,17,0,0.0,0.0,11.699643826972345,0,0.0,0.9255800304167481,0,2.0,0.9397094059518569,0,0.0,0.9441793147936837,0,2.0,0.8498333039177385,0,4.0
40.0,0.0,-0.14999999999999997,32,0,0.0,32,1.0,20,0,0,0,20,0,0.0,0.0,10.084701594983759,0,0.0,0.9216557406947408,0,2.0,0.661603675533558,0,2.0,0.9278499516097299,0,2.0,0.6136338319943524,0,6.0
45.0,-1.0,-0.35,36,0,0.0,36,1.0,21,0,4,0,21,0,14.0,0.6666666666666666,8.783611182030247,0,0.0,0.9744367706145376,2,10.0,0.3332487717117201,0,2.0,0.8886773446371662,2,8.0,0.5488458425906831,4,20.0
50.0,-0.5,-0.4499999999999999,40,0,0.0,40,1.0,22,0,2,1,23,0,6.0,0.2727272727272727,5.817512081318295,0,0.0,0.4124475438858813,0,6.0,0.4401124396766937,0,2.0,0.5291339355090112,2,15.0,0.35780274439243476,2,23.0
55.0,-2.0,-0.8499999999999999,44,0,0.0,44,1.0,24,0,8,2,26,0,34.0,1.4166666666666667,5.710670157283288,2,8.0,0.5010459327771093,1,4.0,4.473343467839525e-05,2,11.0,0.4222943776858271,3,17.0,0.16547115905698767,8,40.0
60.0,-2.0,-1.2499999999999998,48,0,0.0,48,1.0,29,0,8,2,31,0,46.0,1.5862068965517242,6.299569555296437,2,18.0,0.6040958307141437,1,9.0,0.46149859417037276,1,12.0,0.44337261316688165,4,31.0,0.044382804446598034,8,70.0
65.0,-2.0,-1.6499999999999997,52,0,0.0,52,1.0,25,0,8,6,31,0,62.0,2.48,5.695198080136919,1,17.0,0.4166463371461388,1,14.0,0.28770153565515194,3,15.0,0.23972078919232545,3,33.0,0.1761845782680171,8,79.0
70.0,-2.0,-2.0499999999999994,56,0,0.0,56,1.0,26,0,8,7,33,0,61.0,2.3461538461538463,5.9495210820855515,3,26.0,0.3260230381303955,0,0.0,0.2927525154771229,3,32.0,0.5124684526195522,2,32.0,0.09323773955961578,8,90.0
75.0,-2.0,-2.4499999999999993,60,0,0.0,60,1.0,26,0,8,8,34,0,70.0,2.6923076923076925,7.27547255300854,2,21.0,0.3718206313948967,0,0.0,1.0,4,50.0,0.4579986826734437,2,27.0,0.4269038222303669,8,98.0
80.0,-1.0,-2.6499999999999995,64,0,0.0,64,1.0,24,0,4,12,36,0,17.0,0.7083333333333334,7.374201273502762,1,12.0,0.6083019195022551,0,2.0,0.8690246819880473,3,44.0,0.10926629821123661,0,16.0,0.5456323936610195,4,74.0
85.0,-1.25,-2.8999999999999995,68,0,0.0,68,1.0,26,0,5,14,40,0,17.0,0.6538461538461539,8.077788282791085,2,10.0,0.47792141063714555,0,2.0,0.9059912527761012,3,24.0,0.3251107992608924,0,2.0,0.7864674563063514,5,38.0
90.0,-1.5,-3.1999999999999993,72,0,0.0,72,1.0,26,0,6,15,41,0,21.0,0.8076923076923077,7.9426536333976925,4,24.0,0.4080380531571146,1,3.0,0.43951017373129386,1,18.0,0.4876627302702856,0,2.0,0.8950884359589817,6,47.0
95.0,-1.0,-3.3999999999999995,76,0,0.0,76,1.0,26,0,4,17,43,0,15.0,0.5769230769230769,6.567511156519013,3,26.0,0.285527005471634,0,4.0,0.4132924804082427,1,10.0,0.44332883305152737,0,2.0,0.41949247212168217,4,42.0
100.0,-1.25,-3.6499999999999995,80,0,0.0,80,1.0,26,0,5,19,45,0,22.0,0.8461538461538461,7.043262086315099,2,20.0,0.4140997487592856,0,2.0,0.8107186657690818,0,4.0,0.3307725526907985,3,12.0,0.006121007454608969,5,38.0
105.0,-1.5,-3.9499999999999993,84,0,0.0,84,1.0,24,0,6,21,45,0,17.0,0.7083333333333334,6.861700402145612,2,19.0,0.24296843634000423,1,4.0,0.7062217727650477,2,10.0,0.3222565247175481,1,18.0,0.42821742061139273,6,51.0
110.0,-1.0,-4.1499999999999995,88,0,0.0,88,1.0,23,0,4,23,46,0,18.0,0.782608695652174,7.92316872605266,4,26.0,0.18710304069895448,0,0.0,0.302261026747074,0,8.0,0.6667320065322937,0,6.0,0.7463216341297332,4,40.0
115.0,-1.0,-4.35,92,0,0.0,92,1.0,24,0,4,25,49,0,17.0,0.7083333333333334,9.233765802009707,1,25.0,0.424768789180258,2,6.0,0.30860064669802706,1,6.0,0.7580900839795144,0,2.0,0.9166341673098272,4,39.0
120.0,0.0,-4.35,96,0,0.0,96,1.0,24,0,0,27,51,0,0.0,0.0,10.127948891196146,0,7.0,0.7632416164358374,0,7.0,0.7829127078618604,0,0.0,0.600059500185983,0,2.0,0.7456314801262385,0,16.0
125.0,-0.75,-4.5,100,0,0.0,100,1.0,21,0,3,32,53,0,6.0,0.2857142857142857,10.705164820066912,0,0.0,0.974787319135818,0,2.0,0.8216634617167716,2,5.0,0.48355277854106093,1,5.0,0.6410868560425184,3,12.0
130.0,-0.75,-4.65,104,0,0.0,104,1.0,20,0,3,35,55,0,6.0,0.3,8.664633175642738,1,1.0,0.6955266395880481,1,4.0,0.5952096644711855,1,5.0,0.31000563455455926,0,2.0,0.9575033281556637,3,12.0
135.0,-1.5,-4.95,108,0,0.0,108,1.0,20,0,6,37,57,0,29.0,1.45,5.697888414608012,1,6.0,0.43333191848400043,3,13.0,0.06572109225123099,2,10.0,0.4795023536452125,0,2.0,0.02972403032917061,6,31.0
140.0,-1.75,-5.3,112,0,0.0,112,1.0,21,0,7,38,59,0,41.0,1.9523809523809523,5.651071619426294,3,18.0,0.18655043789607978,2,22.0,0.08957379371406368,0,7.0,0.7380471144976626,2,10.0,0.00014684813008197957,7,57.0
145.0,-0.75,-5.45,116,0,0.0,116,1.0,19,0,3,41,60,0,25.0,1.3157894736842106,7.243942222810592,2,20.0,0.25089544075415876,1,20.0,0.3055003227855641,0,0.0,0.7253745824787968,0,8.0,0.6975493421284081,3,48.0
150.0,0.0,-5.45,120,0,0.0,120,1.0,22,0,0,41,63,0,0.0,0.0,11.438875790778193,0,7.0,0.7720985442342961,0,0.0,0.9722376543538968,0,2.0,0.9147302189012304,0,2.0,0.9363767173114489,0,11.0
155.0,0.0,-5.45,124,0,0.0,124,1.0,24,0,0,42,66,0,0.0,0.0,12.47354253476213,0,0.0,0.9623355118226721,0,0.0,0.9436562608097887,0,2.0,0.8757766531643789,0,2.0,0.8959106130467284,0,4.0
160.0,0.0,-5.45,128,0,0.0,128,1.0,19,0,0,47,66,0,0.0,0.0,10.556861904429066,0,0.0,0.7784437878047905,0,0.0,0.9284177384544888,0,2.0,0.6060696282910706,0,2.0,0.9013670020639486,0,4.0
165.0,-0.75,-5.6000000000000005,132,2,0.015151515151515152,130,0.9848484848484849,19,0,3,49,68,0,7.0,0.3684210526315789,7.069533192823056,0,0.0,0.5289221230177922,0,0.0,0.9205482197894479,2,8.0,0.21174162106185182,1,3.0,0.6394010952224455,3,11.0
170.0,-1.5,-5.9,136,2,0.014705882352941176,134,0.9852941176470589,21,0,6,50,71,0,18.0,0.8571428571428571,7.004052415158012,1,3.0,0.6178429966385816,0,0.0,0.913164493972324,3,15.0,0.19454550291585743,2,11.0,0.43593816320830564,6,29.0
175.0,-0.5,-6.0,140,2,0.014285714285714285,138,0.9857142857142858,22,0,2,52,74,0,16.0,0.7272727272727273,7.246774260309729,1,8.0,0.7040755006115603,0,0.0,0.45102052511660945,0,10.0,0.47501483194678906,1,8.0,0.23877242713293342,2,26.0
180.0,-1.5,-6.300000000000001,144,2,0.013888888888888888,142,0.9861111111111112,23,0,6,52,75,0,37.0,1.608695652173913,5.959591304097207,1,13.0,0.5332712769422178,3,10.0,0.07922550065182077,1,8.0,0.09904153824503387,1,13.0,0.0,6,44.0
185.0,-2.25,-6.750000000000001,148,2,0.013513513513513514,146,0.9864864864864865,28,0,9,53,81,0,50.0,1.7857142857142858,6.432455791953397,3,26.0,0.45173220752757076,2,16.0,0.3057755666624939,4,21.0,0.2494420979015781,0,0.0,1.0,9,63.0
190.0,-2.25,-7.200000000000001,152,2,0.013157894736842105,150,0.9868421052631579,24,0,9,57,81,0,80.0,3.3333333333333335,5.281965447293692,6,51.0,0.18834472446594658,2,20.0,0.3264788149233884,1,24.0,0.3963966642749118,0,2.0,0.9093937346017585,9,97.0
195.0,-1.75,-7.550000000000001,156,2,0.01282051282051282,154,0.9871794871794872,25,0,7,59,84,0,72.0,2.88,5.946364524744253,6,74.0,0.21025296396048432,0,10.0,0.2578025845300642,1,14.0,0.380651966053471,0,2.0,0.9569666828880697,7,100.0
200.0,-1.75,-7.9,160,2,0.0125,158,0.9875,27,0,7,60,87,0,78.0,2.888888888888889,6.651781507076629,5,83.0,0.3034627664993788,1,5.0,0.6418282038108615,0,6.0,0.4153114701653009,1,3.0,0.12381618066001901,7,97.0
205.0,-1.0,-8.099999999999998,164,2,0.012195121951219513,162,0.9878048780487805,26,0,4,62,88,0,27.0,1.0384615384615385,7.9116063063104365,4,66.0,0.308542220108347,0,2.0,0.8986606547729371,0,0.0,0.6774439795692009,0,4.0,0.7511157864954431,4,72.0
210.0,-0.75,-8.249999999999998,168,2,0.011904761904761904,166,0.9880952380952381,25,0,3,64,89,0,10.0,0.4,8.046461690164346,3,42.0,0.17763092366055908,0,2.0,0.48231368619907117,0,2.0,0.9147887636366632,0,4.0,0.8878884453900153,3,50.0
215.0,-1.5,-8.549999999999999,172,2,0.011627906976744186,170,0.9883720930232558,25,0,6,65,90,0,14.0,0.56,6.3660228518587125,2,32.0,0.2047606401062347,3,10.0,0.01877256877096916,0,2.0,0.8465763951627154,1,5.0,0.6281299751810899,6,49.0
