step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,-2.75,-4.4,84,0,0.0,84,1.0,27,0,11,22,49,0,100.0,3.7037037037037037,5.198858701610685,7,84.0,0.10895375460804226,1,24.0,0.1093588063839463,2,18.0,0.41325161331728777,1,15.0,0.5439127916389319,11,141.0
110.0,-2.5,-4.9,88,0,0.0,88,1.0,27,0,10,24,51,0,121.0,4.481481481481482,6.416889877035597,5,105.0,0.1456859644133388,1,8.0,0.47851425077353543,2,21.0,0.36372643819339456,2,23.0,0.45444731424861395,10,157.0
115.0,-1.0,-5.1000000000000005,92,0,0.0,91,0.9891304347826086,28,0,4,25,53,0,76.0,2.7142857142857144,7.968524201242303,3,98.0,0.35494278311625377,0,0.0,0.959421803227059,0,15.0,0.41755403051588935,1,13.0,0.13992717688045306,4,126.0
120.0,-0.5,-5.2,96,0,0.0,95,0.9895833333333334,23,0,2,31,54,0,9.0,0.391304347826087,8.780929412903149,1,74.0,0.3299643216667863,0,0.0,0.9737587247280349,0,2.0,0.8094551117987284,1,10.0,0.7504153930233607,2,86.0
125.0,-1.0,-5.4,100,0,0.0,99,0.99,24,0,4,32,56,0,17.0,0.7083333333333334,8.572932701709808,3,39.0,0.48496301854536084,0,2.0,0.696598801861247,1,3.0,0.09160675581007567,0,4.0,0.9610879379241856,4,48.0
130.0,-0.5,-5.5,104,0,0.0,103,0.9903846153846154,25,0,2,34,59,0,4.0,0.16,7.0750275850017825,1,27.0,0.5032862335271628,1,5.0,0.6789824697786617,0,2.0,0.3930863499013168,0,2.0,0.4169894994390903,2,36.0
135.0,-1.0,-5.7,108,0,0.0,107,0.9907407407407407,25,0,4,34,59,0,15.0,0.6,7.177056541696941,1,6.0,0.45175521032654936,0,2.0,0.3459627227935028,0,2.0,0.8797673000062737,3,11.0,0.00703390086887119,4,21.0
140.0,-1.25,-5.949999999999999,112,0,0.0,111,0.9910714285714286,24,0,5,36,60,0,18.0,0.75,6.318613413009984,1,6.0,0.26610240908514043,3,14.0,0.008550977404798705,0,2.0,0.7549885971511684,1,18.0,0.33279646585644224,5,40.0
145.0,-1.5,-6.249999999999999,116,0,0.0,115,0.9913793103448276,23,0,6,39,62,0,24.0,1.0434782608695652,7.002797257967289,3,15.0,0.492364356927323,1,21.0,0.45941937504429947,2,6.0,0.08464352058989673,0,6.0,0.6862594348642462,6,48.0
150.0,-0.5,-6.349999999999999,120,0,0.0,119,0.9916666666666667,23,0,2,40,63,0,11.0,0.4782608695652174,8.36955429631756,0,15.0,0.5838551519402789,0,2.0,0.8391406696355621,1,12.0,0.09570375921701751,1,5.0,0.00019228339081428438,2,34.0
155.0,-0.75,-6.499999999999999,124,0,0.0,123,0.9919354838709677,22,0,3,42,64,0,17.0,0.7727272727272727,8.857950832114613,1,3.0,0.48260307324788504,1,3.0,0.27097388279733975,1,15.0,0.6493885441563105,0,0.0,1.0,3,21.0
160.0,-1.25,-6.749999999999999,128,0,0.0,127,0.9921875,22,0,5,45,67,0,25.0,1.1363636363636365,9.526832822447203,2,13.0,0.6589087883063988,3,14.0,0.00029703180659465566,0,2.0,0.8852269613912271,0,0.0,1.0,5,29.0
165.0,-0.75,-6.9,132,0,0.0,131,0.9924242424242424,18,0,3,51,69,0,25.0,1.3888888888888888,6.928910755262557,3,25.0,0.4239676816573669,0,13.0,0.41372196680488904,0,2.0,0.43689479236141276,0,2.0,0.9383347932814124,3,42.0
170.0,-1.25,-7.15,136,0,0.0,135,0.9926470588235294,17,0,5,52,69,0,18.0,1.0588235294117647,5.7279076048850435,2,23.0,0.1896712539090738,0,0.0,0.9985226247167753,3,10.0,0.19743197864224687,0,2.0,0.909055328065943,5,35.0
