step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0.0,4,0,0.0,4,1.0,2,0,0,0,2,0,0.0,0.0,13.705766330331533,0,0.0,1.0,0,0.0,0.9699034280350571,0,0.0,0.9094049132082174,0,0.0,1.0,0,0.0
10.0,0.0,0.0,8,0,0.0,8,1.0,2,0,0,0,2,0,0.0,0.0,13.376062373605526,0,0.0,1.0,0,0.0,0.9242498429242509,0,0.0,0.9177456821033816,0,0.0,1.0,0,0.0
15.0,0.0,0.0,12,1,0.08333333333333333,11,0.9166666666666666,3,0,0,0,3,0,0.0,0.0,14.109582835738417,0,0.0,0.9938243671984955,0,0.0,1.0,0,0.0,0.9073735400232978,0,0.0,0.9536515762428026,0,0.0
20.0,-0.25,-0.05,16,1,0.0625,15,0.9375,4,0,1,0,4,0,2.0,0.5,9.460175591018384,0,0.0,0.7934180105645501,0,0.0,1.0,1,2.0,0.0004866666903631702,0,0.0,0.9337041618161459,1,2.0
25.0,-0.25,-0.10000000000000002,20,1,0.05,19,0.95,8,0,1,0,8,0,1.0,0.125,10.073403255310009,1,1.0,0.7090163471929536,0,0.0,1.0,0,0.0,0.6776616394041718,0,0.0,1.0,1,1.0
30.0,0.0,-0.10000000000000002,24,1,0.041666666666666664,23,0.9583333333333334,9,0,0,0,9,0,0.0,0.0,10.506009233044196,0,0.0,0.6533750660709986,0,0.0,0.9595151592830742,0,0.0,0.7968550964630217,0,2.0,0.9958211912517239,0,2.0
35.0,-0.25,-0.15,28,1,0.03571428571428571,27,0.9642857142857143,10,0,1,1,11,0,2.0,0.2,11.021032185094354,1,2.0,0.6675242886715119,0,2.0,0.9240055459247017,0,0.0,0.8399791310093667,0,2.0,0.9677395006173429,1,6.0
40.0,0.0,-0.15,32,1,0.03125,31,0.96875,13,0,0,1,14,0,0.0,0.0,11.086605222169009,0,0.0,0.9413385079466635,0,2.0,0.9302404468686896,0,0.0,1.0,0,2.0,0.505323177629747,0,4.0
45.0,-0.5,-0.25,36,1,0.027777777777777776,35,0.9722222222222222,13,0,2,1,14,0,7.0,0.5384615384615384,9.371914723276822,0,0.0,0.988364914654686,1,4.0,0.35758624679750806,0,2.0,0.9803422961573562,1,7.0,0.6470908611194849,2,13.0
50.0,-0.25,-0.3,40,1,0.025,39,0.975,16,0,1,1,17,0,3.0,0.1875,8.019854226226226,1,3.0,0.5991253997805016,0,1.0,0.16096688676213938,0,2.0,0.8300356547874996,0,0.0,0.8950755824079547,1,6.0
55.0,-1.5,-0.6,44,1,0.022727272727272728,43,0.9772727272727273,18,0,6,1,19,0,23.0,1.2777777777777777,7.7484016860229445,2,13.0,0.5617880538308505,1,3.0,0.4763027957701979,2,8.0,0.3833996817168018,1,1.0,0.0004706124287976785,6,25.0
60.0,-0.5,-0.7,48,1,0.020833333333333332,47,0.9791666666666666,21,0,2,1,22,0,8.0,0.38095238095238093,8.07639559517877,0,8.0,0.6758078272860565,0,0.0,0.9273216868459949,2,9.0,0.051533283655041125,0,0.0,1.0,2,17.0
65.0,-0.75,-0.85,52,1,0.019230769230769232,51,0.9807692307692307,19,0,3,4,23,0,23.0,1.2105263157894737,9.58354096976584,1,5.0,0.5107982211205584,0,2.0,0.8976623295102186,2,18.0,0.3148142261607037,0,2.0,0.9276145023995421,3,27.0
70.0,0.0,-0.85,56,1,0.017857142857142856,55,0.9821428571428571,18,0,0,7,25,0,0.0,0.0,9.064107585475595,0,3.0,0.26367583368059483,0,2.0,0.830897060839764,0,9.0,0.7295317890022011,0,2.0,0.9327454799672246,0,16.0
75.0,-0.25,-0.9000000000000001,60,1,0.016666666666666666,59,0.9833333333333333,15,0,1,10,25,0,2.0,0.13333333333333333,10.335458600034993,0,0.0,0.5758303561513429,1,4.0,0.5234837631615438,0,2.0,0.9272180987522985,0,2.0,0.9001058637496965,1,8.0
80.0,-0.5,-1.0000000000000002,64,1,0.015625,63,0.984375,15,0,2,11,26,0,4.0,0.26666666666666666,7.780577420804389,2,4.0,0.2820404077145696,0,0.0,0.19198635939065573,0,2.0,0.8194411555292551,0,2.0,0.8578539749464289,2,8.0
