step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0.0,4,0,0.0,4,1.0,1,0,0,0,1,0,0.0,0.0,14.795303550089113,0,0.0,1.0,0,0.0,0.9674628896231591,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0.0,8,0,0.0,8,1.0,4,0,0,0,4,0,0.0,0.0,14.732372927874701,0,0.0,0.9522591757023646,0,0.0,0.9811881105802308,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,0.0,12,0,0.0,12,1.0,8,0,0,0,8,0,0.0,0.0,13.746248458180512,0,0.0,0.9575689229651122,0,0.0,0.9452216802200052,0,0.0,1.0,0,0.0,0.9765930902365971,0,0.0
20.0,0.0,0.0,16,0,0.0,16,1.0,8,0,0,0,8,0,0.0,0.0,13.412153742727408,0,0.0,0.9210190507682766,0,0.0,0.9634091993962551,0,0.0,0.9266672403492251,0,0.0,0.9159093501152351,0,0.0
25.0,-0.25,-0.05000000000000001,20,0,0.0,20,1.0,8,0,1,0,8,0,1.0,0.125,11.970566369343036,1,1.0,0.46904455215061264,0,0.0,0.9819250723557066,0,0.0,0.9599075568156228,0,0.0,0.9343482322542503,1,1.0
30.0,0.0,-0.05000000000000001,24,0,0.0,24,1.0,8,0,0,0,8,0,0.0,0.0,12.186952087554463,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9188660577046122,0,0.0,0.9358333625996409,0,0.0
35.0,0.0,-0.05000000000000001,28,0,0.0,28,1.0,10,0,0,1,11,0,0.0,0.0,13.033610808402425,0,0.0,0.9124791204047707,0,2.0,0.9803653763293796,0,0.0,0.9681637721015791,0,0.0,0.973434011766934,0,2.0
40.0,0.0,-0.05000000000000001,32,0,0.0,32,1.0,8,0,0,3,11,0,0.0,0.0,12.902683809029675,0,0.0,0.9559914569896844,0,2.0,0.9889701926321737,0,0.0,1.0,0,0.0,0.9483050719955279,0,2.0
45.0,-0.25,-0.10000000000000002,36,0,0.0,36,1.0,9,0,1,5,14,0,2.0,0.2222222222222222,10.88471771269085,0,0.0,0.8687483858831201,1,4.0,0.6475560138032478,0,0.0,0.9383646188784438,0,0.0,0.9375567869140103,1,4.0
50.0,-0.25,-0.15,40,0,0.0,40,1.0,9,0,1,6,15,0,1.0,0.1111111111111111,9.771271136825826,1,1.0,0.5349938009928873,0,0.0,0.9357844749103457,0,0.0,0.9144604638883488,0,0.0,0.9539333704415711,1,1.0
55.0,-0.75,-0.30000000000000004,44,0,0.0,44,1.0,9,0,3,6,15,0,9.0,1.0,6.880664733085126,2,8.0,0.3081108757457721,1,1.0,0.005251704436280743,0,0.0,0.08262072887267641,0,0.0,0.9275786397550458,3,9.0
60.0,-0.25,-0.35000000000000003,48,0,0.0,48,1.0,14,0,1,6,20,0,3.0,0.21428571428571427,9.246225230034758,0,5.0,0.6044632218246317,0,0.0,0.9811127483863935,1,3.0,0.6118220861403803,0,0.0,1.0,1,8.0
65.0,0.0,-0.35000000000000003,52,0,0.0,52,1.0,13,0,0,9,22,0,0.0,0.0,11.771126150528017,0,0.0,0.8998697113171229,0,0.0,0.9829088181352282,0,2.0,0.9005649811936755,0,2.0,0.9568838436352954,0,4.0
70.0,0.0,-0.35000000000000003,56,0,0.0,56,1.0,13,0,0,10,23,0,0.0,0.0,11.6847170447779,0,0.0,0.7923889327011169,0,0.0,1.0,0,2.0,0.8974244774918423,0,4.0,0.9148338093403336,0,6.0
75.0,-0.75,-0.5,60,0,0.0,60,1.0,16,0,3,10,26,0,8.0,0.5,8.372479780879488,1,5.0,0.6862371368145812,0,0.0,1.0,1,3.0,0.4394682485217506,1,6.0,0.7648511960206718,3,14.0
80.0,-0.75,-0.65,64,0,0.0,64,1.0,17,0,3,10,27,0,14.0,0.8235294117647058,6.777081993495351,2,13.0,0.4874955465645901,0,0.0,1.0,0,2.0,0.6364364554495936,1,3.0,0.4121124058542126,3,18.0
