step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,4,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0,0,8,0.0,0.0,3,0,0,0,3,0,0.0,0.0,11.467131424437964,0,0.0,0.8420771852892774,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,0,0,12,0.0,0.0,4,0,0,0,4,0,0.0,0.0,12.371075571267028,0,0.0,0.8775797957668717,0,0.0,0.9165014706992898,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0.0,0,0,16,0.0,0.0,7,0,0,0,7,0,0.0,0.0,9.51620124460706,0,0.0,0.5129513824196366,0,0.0,0.9630674141958862,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,-0.75,0,0,20,0.0,0.0,8,0,3,0,8,0,9.0,1.125,8.248986497957642,3,9.0,0.24464924799555363,0,0.0,0.962256122535328,0,0.0,1.0,0,0.0,0.953911098486805,3,9.0
30.0,-0.75,0,0,24,0.0,0.0,8,0,3,0,8,0,24.0,3.0,8.132770075631417,3,24.0,0.0,0,0.0,0.9593234995367353,0,0.0,1.0,0,0.0,0.9428936841137479,3,24.0
35.0,-0.75,0,0,28,0.0,0.0,10,0,3,0,10,0,39.0,3.9,8.221605474464202,3,39.0,0.25,0,0.0,0.9179740969873551,0,0.0,1.0,0,0.0,0.7929663825702216,3,39.0
40.0,-1.25,0,0,32,0.0,0.0,12,0,5,0,12,0,58.0,4.833333333333333,6.8375845629910375,3,54.0,0.3806820392867841,0,0.0,0.5222820761452861,0,0.0,0.9241099712399133,2,4.0,0.4999712638389773,5,58.0
45.0,-1.5,0,0,36,0.0,0.0,14,0,6,0,14,0,87.0,6.214285714285714,6.134029008425477,3,69.0,0.3985886220191039,1,4.0,0.00029799714442439767,0,0.0,0.9740323873881365,2,14.0,0.32625925951301304,6,87.0
50.0,-2.25,0,0,40,0.0,0.0,16,0,9,0,16,0,125.0,7.8125,5.594553722638688,4,86.0,0.275668465467799,1,9.0,0.46749830569693973,0,0.0,0.9841718320841308,4,30.0,0.18492054158423094,9,125.0
55.0,-2.5,0,0,44,0.0,0.0,18,0,10,0,18,0,173.0,9.61111111111111,4.4477826416648965,5,109.0,0.15235148792340583,1,14.0,0.5950151611260561,0,0.0,0.7611654005855852,4,50.0,0.16090681306660198,10,173.0
60.0,-2.5,0,1,48,0.0,0.020833333333333332,19,0,10,0,19,0,117.0,6.157894736842105,3.6541874466106528,2,91.0,0.2402500492195999,2,21.0,0.54376956291576,1,2.0,0.023805947683696156,5,74.0,0.16517561035888761,10,188.0
65.0,-1.5,0,3,52,0.0,0.057692307692307696,22,0,6,0,22,0,68.0,3.090909090909091,4.92717616821991,0,21.0,0.6184508972161619,2,31.0,0.25482936828225905,2,13.0,0.40716993892670983,2,68.0,0.05062283624532708,6,133.0
70.0,-2.0,0,3,56,0.0,0.05357142857142857,23,0,8,0,23,0,78.0,3.391304347826087,6.714740839959261,1,23.0,0.619964319815756,4,50.0,0.15625422860697147,2,23.0,0.5280639066937981,1,32.0,0.3199737154404237,8,128.0
75.0,-3.5,0,3,60,0.0,0.05,25,0,14,0,25,0,134.0,5.36,4.441835560340954,3,35.0,0.4076255901458335,5,75.0,0.2683354821933852,3,34.0,0.2002337849957379,3,42.0,0.00033993838184422044,14,186.0
80.0,-3.75,0,3,64,0.0,0.046875,24,0,15,2,26,0,154.0,6.416666666666667,3.1258841194031928,4,55.0,0.26200098646802394,3,59.0,0.36790014897104106,5,55.0,0.0006340264064079853,3,57.0,0.0,15,226.0
85.0,-3.75,0,3,68,0.0,0.04411764705882353,24,0,15,3,27,0,185.0,7.708333333333333,3.0653096528758828,5,79.0,0.03112474841267762,4,55.0,0.19885008771612583,3,51.0,0.24937441382012496,3,72.0,0.0,15,257.0
90.0,-3.5,0,4,72,0.0,0.05555555555555555,24,0,14,3,27,0,207.0,8.625,4.131768626278072,4,73.0,0.0690643918884677,4,75.0,0.0,3,44.0,0.22507027236738197,3,89.0,0.3647599440361623,14,281.0
95.0,-2.25,0,4,76,0.0,0.05263157894736842,23,0,9,5,28,0,197.0,8.565217391304348,5.247964670242711,0,36.0,0.410943041796917,4,95.0,0.0,3,61.0,0.4175350910018828,2,74.0,0.46485250697310576,9,266.0
100.0,-3.0,0,4,80,0.0,0.05,27,0,12,6,33,0,252.0,9.333333333333334,5.725565814559659,2,41.0,0.3716142774713382,4,115.0,0.30420321121762245,4,81.0,0.42724830392097474,2,82.0,0.0,12,319.0
