step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
110.0,-0.5,88,0,88,1.0,0.0,19,0,2,24,43,0,6.0,0.3157894736842105,8.104937253873358,1,17.0,0.3347628649681086,0,0.0,0.9771032778392421,0,6.0,0.6075159706267108,1,4.0,0.4970194374225414,2,27.0
115.0,-0.25,92,0,92,1.0,0.0,20,0,1,24,44,0,1.0,0.05,8.613761750882839,0,0.0,0.9588786143626014,0,2.0,0.6822249854565852,0,0.0,0.9260703550609246,1,5.0,0.10741040792721299,1,7.0
120.0,-0.5,96,0,96,1.0,0.0,18,0,2,26,44,0,4.0,0.2222222222222222,10.001053908712512,0,0.0,1.0,1,5.0,0.7830339142659989,1,1.0,0.49441541993583227,0,2.0,0.3317058989935471,2,8.0
125.0,-0.25,100,0,100,1.0,0.0,17,0,1,30,47,0,6.0,0.35294117647058826,10.039236951777715,0,0.0,0.9993531548962148,0,0.0,0.6423957124351032,1,6.0,0.01326013352684858,0,0.0,1.0,1,6.0
130.0,-0.75,104,0,104,1.0,0.0,17,0,3,32,49,0,9.0,0.5294117647058824,9.218746502936817,0,0.0,0.9528946788698404,3,9.0,0.2228544576147659,0,2.0,0.2280766300786771,0,2.0,0.9992130554332592,3,13.0
135.0,-0.75,108,0,108,1.0,0.0,15,0,3,35,50,0,6.0,0.4,7.487307857279239,1,1.0,0.658325842013435,2,16.0,0.08713364112263025,0,0.0,1.0,0,4.0,0.8727917837725431,3,21.0
140.0,-1.0,112,0,112,1.0,0.0,17,0,4,37,54,0,18.0,1.0588235294117647,7.727514594820603,2,10.0,0.3383495519174924,1,10.0,0.6265190113101838,0,0.0,1.0,1,5.0,0.6577693559632046,4,25.0
145.0,-0.75,116,0,116,1.0,0.0,18,0,3,37,55,0,16.0,0.8888888888888888,7.485280061825307,2,14.0,0.3997860191397091,1,5.0,0.6916211463186138,0,0.0,1.0,0,2.0,0.18470114985724687,3,21.0
150.0,-1.25,120,0,120,1.0,0.0,18,0,5,39,57,0,39.0,2.1666666666666665,9.073244593803066,2,24.0,0.3261610302674868,1,10.0,0.6588430595886303,0,2.0,0.9342424839812702,2,12.0,0.459621669361043,5,48.0
155.0,-0.25,124,0,124,1.0,0.0,19,0,1,40,59,0,2.0,0.10526315789473684,8.94028762440816,0,13.0,0.18507501607895716,1,2.0,0.4807893297387387,0,2.0,0.9394334624151612,0,8.0,0.743374869527112,1,25.0
